 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
    90.678     90.505         0.010      15635.443      5.3132e-02      2.6085e-05      1.3859e-06      6.1366e-07    9.595e-03     3.585e+05       3.46e-01    4.36e-02    289 
    90.678     90.505         0.015      15635.443      5.3132e-02      1.6328e-04      8.6754e-06      3.9426e-06    6.164e-02     5.580e+04       2.23e+00    2.80e-01    1640 
    90.678     90.505         0.020      15635.443      5.3132e-02      5.1451e-04      2.7337e-05      1.2696e-05    1.985e-01     1.733e+04       7.17e+00    9.02e-01    4742 
    90.678     90.505         0.025      15635.443      5.3132e-02      1.1199e-03      5.9500e-05      2.8128e-05    4.398e-01     7.821e+03       1.59e+01    2.00e+00    9925 
    90.678     90.505         0.030      15635.443      5.3132e-02      1.9918e-03      1.0583e-04      5.0484e-05    7.893e-01     4.358e+03       2.85e+01    3.59e+00    17048 
    90.678     90.505         0.040      15635.443      5.3132e-02      4.4818e-03      2.3813e-04      1.1461e-04    1.792e+00     1.919e+03       6.47e+01    8.15e+00    37061 
    90.678     90.505         0.050      15635.443      5.3132e-02      7.9421e-03      4.2198e-04      2.0322e-04    3.177e+00     1.083e+03       1.15e+02    1.44e+01    63969 
    90.678     90.505         0.060      15635.443      5.3132e-02      1.2230e-02      6.4982e-04      3.1320e-04    4.897e+00     7.024e+02       1.77e+02    2.23e+01    96846 
    90.678     90.505         0.070      15635.443      5.3132e-02      1.6698e-02      8.8721e-04      4.2738e-04    6.682e+00     5.148e+02       2.41e+02    3.04e+01    130827 
    90.678     90.505         0.080      15635.443      5.3132e-02      2.1414e-02      1.1378e-03      5.4690e-04    8.551e+00     4.023e+02       3.09e+02    3.89e+01    166728 
    90.678     90.505         0.090      15635.443      5.3132e-02      2.6123e-02      1.3880e-03      6.6598e-04    1.041e+01     3.303e+02       3.76e+02    4.73e+01    203065 
    90.678     90.505         0.100      15635.443      5.3132e-02      3.0802e-02      1.6366e-03      7.8397e-04    1.226e+01     2.806e+02       4.43e+02    5.57e+01    239057 
    90.678     90.505         0.150      15635.443      5.3132e-02      5.0991e-02      2.7093e-03      1.2841e-03    2.008e+01     1.713e+02       7.25e+02    9.13e+01    404554 
    90.678     90.505         0.200      15635.443      5.3132e-02      6.5028e-02      3.4551e-03      1.6208e-03    2.534e+01     1.357e+02       9.15e+02    1.15e+02    535547 
    90.678     90.505         0.250      15635.443      5.3132e-02      7.4017e-02      3.9327e-03      1.8295e-03    2.860e+01     1.203e+02       1.03e+03    1.30e+02    636376 
    90.678     90.505         0.300      15635.443      5.3132e-02      7.9640e-02      4.2314e-03      1.9567e-03    3.059e+01     1.124e+02       1.10e+03    1.39e+02    715366 
    90.678     90.505         0.400      15635.443      5.3132e-02      8.4803e-02      4.5057e-03      2.0596e-03    3.220e+01     1.068e+02       1.16e+03    1.46e+02    827871 
    90.678     90.505         0.500      15635.443      5.3132e-02      8.5431e-02      4.5391e-03      2.0576e-03    3.217e+01     1.069e+02       1.16e+03    1.46e+02    901136 
    90.678     90.505         0.600      15635.443      5.3132e-02      8.4127e-02      4.4698e-03      2.0162e-03    3.152e+01     1.091e+02       1.14e+03    1.43e+02    951264 
    90.678     90.505         0.700      15635.443      5.3132e-02      8.1603e-02      4.3357e-03      1.9445e-03    3.040e+01     1.131e+02       1.10e+03    1.38e+02    987738 
    90.678     90.505         0.800      15635.443      5.3132e-02      7.8941e-02      4.1943e-03      1.8734e-03    2.929e+01     1.174e+02       1.06e+03    1.33e+02    1014134 
    90.678     90.505         0.900      15635.443      5.3132e-02      7.5762e-02      4.0254e-03      1.7929e-03    2.803e+01     1.227e+02       1.01e+03    1.27e+02    1032151 
    90.678     90.505         1.000      15635.443      5.3132e-02      7.3079e-02      3.8829e-03      1.7235e-03    2.695e+01     1.276e+02       9.73e+02    1.22e+02    1048304 
