 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   100.165     100.000         0.010      179518.909      1.2304e-01      3.4395e-03      4.2318e-04      3.6566e-04    6.564e+01     6.017e+02       2.37e+03    2.98e+02    783 
    100.165     100.000         0.015      179518.909      1.2304e-01      9.8638e-03      1.2136e-03      1.0222e-03    1.835e+02     2.152e+02       6.62e+03    8.34e+02    2041 
    100.165     100.000         0.020      179518.909      1.2304e-01      1.7311e-02      2.1299e-03      1.7726e-03    3.182e+02     1.241e+02       1.15e+04    1.45e+03    3444 
    100.165     100.000         0.025      179518.909      1.2304e-01      2.4809e-02      3.0524e-03      2.5305e-03    4.543e+02     8.694e+01       1.64e+04    2.06e+03    4941 
    100.165     100.000         0.030      179518.909      1.2304e-01      3.2472e-02      3.9953e-03      3.2747e-03    5.879e+02     6.718e+01       2.12e+04    2.67e+03    6437 
    100.165     100.000         0.040      179518.909      1.2304e-01      4.5266e-02      5.5694e-03      4.5211e-03    8.116e+02     4.866e+01       2.93e+04    3.69e+03    9266 
    100.165     100.000         0.050      179518.909      1.2304e-01      5.5898e-02      6.8775e-03      5.5417e-03    9.948e+02     3.970e+01       3.59e+04    4.52e+03    11555 
    100.165     100.000         0.060      179518.909      1.2304e-01      6.3688e-02      7.8360e-03      6.2766e-03    1.127e+03     3.505e+01       4.07e+04    5.12e+03    13620 
    100.165     100.000         0.070      179518.909      1.2304e-01      7.1115e-02      8.7498e-03      6.9613e-03    1.250e+03     3.160e+01       4.51e+04    5.68e+03    15530 
    100.165     100.000         0.080      179518.909      1.2304e-01      7.6063e-02      9.3586e-03      7.4243e-03    1.333e+03     2.963e+01       4.81e+04    6.06e+03    17115 
    100.165     100.000         0.090      179518.909      1.2304e-01      7.9946e-02      9.8364e-03      7.7811e-03    1.397e+03     2.827e+01       5.04e+04    6.35e+03    18290 
    100.165     100.000         0.100      179518.909      1.2304e-01      8.2717e-02      1.0177e-02      8.0175e-03    1.439e+03     2.744e+01       5.20e+04    6.54e+03    19603 
    100.165     100.000         0.150      179518.909      1.2304e-01      8.7601e-02      1.0778e-02      8.3525e-03    1.499e+03     2.634e+01       5.41e+04    6.82e+03    23494 
    100.165     100.000         0.200      179518.909      1.2304e-01      8.7234e-02      1.0733e-02      8.2467e-03    1.480e+03     2.668e+01       5.34e+04    6.73e+03    25904 
    100.165     100.000         0.250      179518.909      1.2304e-01      8.4965e-02      1.0454e-02      7.9682e-03    1.430e+03     2.761e+01       5.16e+04    6.50e+03    27392 
    100.165     100.000         0.300      179518.909      1.2304e-01      8.0669e-02      9.9253e-03      7.5052e-03    1.347e+03     2.931e+01       4.86e+04    6.12e+03    28340 
    100.165     100.000         0.400      179518.909      1.2304e-01      7.2447e-02      8.9137e-03      6.6950e-03    1.202e+03     3.286e+01       4.34e+04    5.46e+03    29525 
    100.165     100.000         0.500      179518.909      1.2304e-01      6.5260e-02      8.0294e-03      5.9847e-03    1.074e+03     3.676e+01       3.88e+04    4.88e+03    30157 
    100.165     100.000         0.600      179518.909      1.2304e-01      5.9630e-02      7.3367e-03      5.4229e-03    9.735e+02     4.057e+01       3.51e+04    4.43e+03    30460 
    100.165     100.000         0.700      179518.909      1.2304e-01      5.5316e-02      6.8059e-03      5.0146e-03    9.002e+02     4.387e+01       3.25e+04    4.09e+03    30755 
    100.165     100.000         0.800      179518.909      1.2304e-01      5.0464e-02      6.2090e-03      4.5569e-03    8.181e+02     4.828e+01       2.95e+04    3.72e+03    30962 
    100.165     100.000         0.900      179518.909      1.2304e-01      4.6789e-02      5.7567e-03      4.2082e-03    7.555e+02     5.228e+01       2.73e+04    3.43e+03    31031 
    100.165     100.000         1.000      179518.909      1.2304e-01      4.4351e-02      5.4568e-03      3.9770e-03    7.139e+02     5.532e+01       2.58e+04    3.25e+03    31200 
    100.165     100.000         1.500      179518.909      1.2304e-01      3.2742e-02      4.0284e-03      2.8880e-03    5.184e+02     7.618e+01       1.87e+04    2.36e+03    31319 
    100.165     100.000         2.000      179518.909      1.2304e-01      2.6340e-02      3.2408e-03      2.3350e-03    4.192e+02     9.422e+01       1.51e+04    1.91e+03    31463 
    100.165     100.000         2.500      179518.909      1.2304e-01      2.1584e-02      2.6557e-03      1.9067e-03    3.423e+02     1.154e+02       1.24e+04    1.56e+03    31420 
    100.165     100.000         3.000      179518.909      1.2304e-01      1.8709e-02      2.3020e-03      1.6498e-03    2.962e+02     1.333e+02       1.07e+04    1.35e+03    31343 
    100.165     100.000         4.000      179518.909      1.2304e-01      1.4450e-02      1.7779e-03      1.2689e-03    2.278e+02     1.734e+02       8.22e+03    1.04e+03    31317 
    100.165     100.000         5.000      179518.909      1.2304e-01      1.1423e-02      1.4054e-03      9.9363e-04    1.784e+02     2.214e+02       6.44e+03    8.11e+02    31257 
    100.165     100.000         6.000      179518.909      1.2304e-01      1.0481e-02      1.2895e-03      9.1312e-04    1.639e+02     2.409e+02       5.92e+03    7.45e+02    31255 
    100.165     100.000         7.000      179518.909      1.2304e-01      8.6817e-03      1.0682e-03      7.5044e-04    1.347e+02     2.932e+02       4.86e+03    6.12e+02    31252 
    100.165     100.000         8.000      179518.909      1.2304e-01      7.5579e-03      9.2991e-04      6.5316e-04    1.173e+02     3.368e+02       4.23e+03    5.33e+02    31216 
    100.165     100.000         9.000      179518.909      1.2304e-01      7.1719e-03      8.8240e-04      6.2164e-04    1.116e+02     3.539e+02       4.03e+03    5.07e+02    31266 
    100.165     100.000         10.000     179518.909      1.2304e-01      6.6389e-03      8.1682e-04      5.7394e-04    1.030e+02     3.833e+02       3.72e+03    4.68e+02    31276 
    200.195     200.000         0.010      8920.060      1.9536e-01      2.6751e-04      5.2261e-05      3.5920e-05    3.204e-01     6.125e+03       1.16e+01    1.46e+00    153 
    200.195     200.000         0.015      8920.060      1.9536e-01      1.4381e-03      2.8096e-04      1.8110e-04    1.615e+00     1.215e+03       5.83e+01    7.34e+00    629 
    200.195     200.000         0.020      8920.060      1.9536e-01      3.4718e-03      6.7826e-04      4.2969e-04    3.833e+00     5.120e+02       1.38e+02    1.74e+01    1497 
    200.195     200.000         0.025      8920.060      1.9536e-01      6.2694e-03      1.2248e-03      7.5881e-04    6.769e+00     2.899e+02       2.44e+02    3.08e+01    2503 
    200.195     200.000         0.030      8920.060      1.9536e-01      9.9056e-03      1.9352e-03      1.2090e-03    1.078e+01     1.820e+02       3.89e+02    4.90e+01    3905 
    200.195     200.000         0.040      8920.060      1.9536e-01      1.8485e-02      3.6113e-03      2.2281e-03    1.988e+01     9.874e+01       7.17e+02    9.03e+01    7000 
    200.195     200.000         0.050      8920.060      1.9536e-01      2.7456e-02      5.3638e-03      3.2925e-03    2.937e+01     6.682e+01       1.06e+03    1.33e+02    10231 
    200.195     200.000         0.060      8920.060      1.9536e-01      3.5651e-02      6.9648e-03      4.2473e-03    3.789e+01     5.180e+01       1.37e+03    1.72e+02    13320 
    200.195     200.000         0.070      8920.060      1.9536e-01      4.3612e-02      8.5202e-03      5.1871e-03    4.627e+01     4.241e+01       1.67e+03    2.10e+02    16385 
    200.195     200.000         0.080      8920.060      1.9536e-01      5.0207e-02      9.8085e-03      5.9334e-03    5.293e+01     3.708e+01       1.91e+03    2.41e+02    19247 
    200.195     200.000         0.090      8920.060      1.9536e-01      5.6407e-02      1.1020e-02      6.6490e-03    5.931e+01     3.309e+01       2.14e+03    2.70e+02    21862 
    200.195     200.000         0.100      8920.060      1.9536e-01      6.1113e-02      1.1939e-02      7.1827e-03    6.407e+01     3.063e+01       2.31e+03    2.91e+02    24081 
    200.195     200.000         0.150      8920.060      1.9536e-01      7.9928e-02      1.5615e-02      9.3121e-03    8.306e+01     2.363e+01       3.00e+03    3.78e+02    33723 
    200.195     200.000         0.200      8920.060      1.9536e-01      8.8022e-02      1.7196e-02      1.0172e-02    9.073e+01     2.163e+01       3.28e+03    4.12e+02    40141 
    200.195     200.000         0.250      8920.060      1.9536e-01      9.1333e-02      1.7843e-02      1.0507e-02    9.372e+01     2.094e+01       3.38e+03    4.26e+02    44418 
    200.195     200.000         0.300      8920.060      1.9536e-01      9.1596e-02      1.7894e-02      1.0479e-02    9.347e+01     2.100e+01       3.37e+03    4.25e+02    47596 
    200.195     200.000         0.400      8920.060      1.9536e-01      9.0064e-02      1.7595e-02      1.0227e-02    9.122e+01     2.151e+01       3.29e+03    4.15e+02    52237 
    200.195     200.000         0.500      8920.060      1.9536e-01      8.5152e-02      1.6635e-02      9.6231e-03    8.584e+01     2.286e+01       3.10e+03    3.90e+02    54614 
    200.195     200.000         0.600      8920.060      1.9536e-01      8.0121e-02      1.5653e-02      9.0133e-03    8.040e+01     2.441e+01       2.90e+03    3.65e+02    56461 
    200.195     200.000         0.700      8920.060      1.9536e-01      7.5413e-02      1.4733e-02      8.4627e-03    7.549e+01     2.600e+01       2.73e+03    3.43e+02    57397 
    200.195     200.000         0.800      8920.060      1.9536e-01      7.1233e-02      1.3916e-02      7.9714e-03    7.111e+01     2.760e+01       2.57e+03    3.23e+02    58353 
    200.195     200.000         0.900      8920.060      1.9536e-01      6.7523e-02      1.3191e-02      7.5325e-03    6.719e+01     2.921e+01       2.43e+03    3.05e+02    59043 
    200.195     200.000         1.000      8920.060      1.9536e-01      6.4411e-02      1.2584e-02      7.1712e-03    6.397e+01     3.068e+01       2.31e+03    2.91e+02    59569 
    200.195     200.000         1.500      8920.060      1.9536e-01      4.9803e-02      9.7296e-03      5.4993e-03    4.905e+01     4.001e+01       1.77e+03    2.23e+02    60717 
    200.195     200.000         2.000      8920.060      1.9536e-01      4.0838e-02      7.9781e-03      4.4744e-03    3.991e+01     4.917e+01       1.44e+03    1.81e+02    61208 
    200.195     200.000         2.500      8920.060      1.9536e-01      3.4950e-02      6.8279e-03      3.8218e-03    3.409e+01     5.756e+01       1.23e+03    1.55e+02    61356 
    200.195     200.000         3.000      8920.060      1.9536e-01      2.9329e-02      5.7297e-03      3.2108e-03    2.864e+01     6.852e+01       1.03e+03    1.30e+02    61298 
    200.195     200.000         4.000      8920.060      1.9536e-01      2.3089e-02      4.5107e-03      2.5037e-03    2.233e+01     8.787e+01       8.06e+02    1.02e+02    61264 
    200.195     200.000         5.000      8920.060      1.9536e-01      1.9447e-02      3.7991e-03      2.1084e-03    1.881e+01     1.043e+02       6.79e+02    8.55e+01    61342 
    200.195     200.000         6.000      8920.060      1.9536e-01      1.6456e-02      3.2148e-03      1.7874e-03    1.594e+01     1.231e+02       5.76e+02    7.25e+01    61347 
    200.195     200.000         7.000      8920.060      1.9536e-01      1.4414e-02      2.8159e-03      1.5566e-03    1.388e+01     1.413e+02       5.01e+02    6.31e+01    61313 
    200.195     200.000         8.000      8920.060      1.9536e-01      1.2707e-02      2.4825e-03      1.3662e-03    1.219e+01     1.610e+02       4.40e+02    5.54e+01    61248 
    200.195     200.000         9.000      8920.060      1.9536e-01      1.1240e-02      2.1958e-03      1.2113e-03    1.080e+01     1.816e+02       3.90e+02    4.91e+01    61167 
    200.195     200.000         10.000     8920.060      1.9536e-01      1.0398e-02      2.0314e-03      1.1162e-03    9.957e+00     1.971e+02       3.59e+02    4.53e+01    61237 
    300.204     300.000         0.010      1372.878      1.7905e-01      4.0988e-05      7.3387e-06      5.7378e-06    7.877e-03     3.834e+04       2.84e-01    3.58e-02    22 
    300.204     300.000         0.015      1372.878      1.7905e-01      2.3210e-04      4.1556e-05      3.3759e-05    4.635e-02     6.517e+03       1.67e+00    2.11e-01    111 
    300.204     300.000         0.020      1372.878      1.7905e-01      9.6159e-04      1.7217e-04      1.4100e-04    1.936e-01     1.560e+03       6.99e+00    8.80e-01    394 
    300.204     300.000         0.025      1372.878      1.7905e-01      2.2372e-03      4.0056e-04      3.1629e-04    4.342e-01     6.956e+02       1.57e+01    1.97e+00    795 
    300.204     300.000         0.030      1372.878      1.7905e-01      3.7306e-03      6.6794e-04      5.3518e-04    7.347e-01     4.111e+02       2.65e+01    3.34e+00    1360 
    300.204     300.000         0.040      1372.878      1.7905e-01      8.7101e-03      1.5595e-03      1.2109e-03    1.662e+00     1.817e+02       6.00e+01    7.56e+00    2826 
    300.204     300.000         0.050      1372.878      1.7905e-01      1.4318e-02      2.5636e-03      1.9856e-03    2.726e+00     1.108e+02       9.84e+01    1.24e+01    4590 
    300.204     300.000         0.060      1372.878      1.7905e-01      2.0861e-02      3.7351e-03      2.8781e-03    3.951e+00     7.644e+01       1.43e+02    1.80e+01    6446 
    300.204     300.000         0.070      1372.878      1.7905e-01      2.7256e-02      4.8801e-03      3.7322e-03    5.124e+00     5.895e+01       1.85e+02    2.33e+01    8307 
    300.204     300.000         0.080      1372.878      1.7905e-01      3.3503e-02      5.9986e-03      4.5735e-03    6.279e+00     4.810e+01       2.27e+02    2.85e+01    10216 
    300.204     300.000         0.090      1372.878      1.7905e-01      4.0242e-02      7.2052e-03      5.4856e-03    7.531e+00     4.011e+01       2.72e+02    3.42e+01    12249 
    300.204     300.000         0.100      1372.878      1.7905e-01      4.5025e-02      8.0615e-03      6.1290e-03    8.414e+00     3.589e+01       3.04e+02    3.82e+01    13909 
    300.204     300.000         0.150      1372.878      1.7905e-01      6.6947e-02      1.1987e-02      9.0071e-03    1.237e+01     2.443e+01       4.46e+02    5.62e+01    21430 
    300.204     300.000         0.200      1372.878      1.7905e-01      8.0156e-02      1.4351e-02      1.0750e-02    1.476e+01     2.047e+01       5.33e+02    6.71e+01    27249 
    300.204     300.000         0.250      1372.878      1.7905e-01      8.7900e-02      1.5738e-02      1.1746e-02    1.613e+01     1.873e+01       5.82e+02    7.33e+01    31320 
    300.204     300.000         0.300      1372.878      1.7905e-01      9.1164e-02      1.6322e-02      1.2140e-02    1.667e+01     1.812e+01       6.02e+02    7.58e+01    34528 
    300.204     300.000         0.400      1372.878      1.7905e-01      9.3549e-02      1.6750e-02      1.2405e-02    1.703e+01     1.774e+01       6.15e+02    7.74e+01    38860 
    300.204     300.000         0.500      1372.878      1.7905e-01      9.2274e-02      1.6521e-02      1.2184e-02    1.673e+01     1.806e+01       6.04e+02    7.60e+01    41816 
    300.204     300.000         0.600      1372.878      1.7905e-01      9.0224e-02      1.6154e-02      1.1867e-02    1.629e+01     1.854e+01       5.88e+02    7.41e+01    44010 
    300.204     300.000         0.700      1372.878      1.7905e-01      8.5486e-02      1.5306e-02      1.1226e-02    1.541e+01     1.960e+01       5.56e+02    7.01e+01    45100 
    300.204     300.000         0.800      1372.878      1.7905e-01      8.1598e-02      1.4610e-02      1.0685e-02    1.467e+01     2.059e+01       5.30e+02    6.67e+01    46198 
    300.204     300.000         0.900      1372.878      1.7905e-01      7.7197e-02      1.3822e-02      1.0093e-02    1.386e+01     2.180e+01       5.00e+02    6.30e+01    46753 
    300.204     300.000         1.000      1372.878      1.7905e-01      7.3623e-02      1.3182e-02      9.6020e-03    1.318e+01     2.291e+01       4.76e+02    5.99e+01    47453 
    300.204     300.000         1.500      1372.878      1.7905e-01      5.9489e-02      1.0651e-02      7.7087e-03    1.058e+01     2.854e+01       3.82e+02    4.81e+01    48954 
