 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
    90.678     90.505         0.010      31677.811      5.5961e-02      3.1731e-05      1.7757e-06      4.2452e-07    1.345e-02     5.182e+05       4.85e-01    6.11e-02    213 
    90.678     90.505         0.015      31677.811      5.5961e-02      1.6706e-04      9.3492e-06      2.3563e-06    7.464e-02     9.337e+04       2.69e+00    3.39e-01    1031 
    90.678     90.505         0.020      31677.811      5.5961e-02      5.2519e-04      2.9391e-05      7.2902e-06    2.309e-01     3.018e+04       8.34e+00    1.05e+00    2872 
    90.678     90.505         0.025      31677.811      5.5961e-02      1.1840e-03      6.6259e-05      1.6734e-05    5.301e-01     1.315e+04       1.91e+01    2.41e+00    5949 
    90.678     90.505         0.030      31677.811      5.5961e-02      2.0907e-03      1.1700e-04      2.9615e-05    9.381e-01     7.429e+03       3.39e+01    4.26e+00    9939 
    90.678     90.505         0.040      31677.811      5.5961e-02      4.8155e-03      2.6948e-04      6.7929e-05    2.152e+00     3.239e+03       7.77e+01    9.78e+00    21969 
    90.678     90.505         0.050      31677.811      5.5961e-02      8.6986e-03      4.8678e-04      1.2223e-04    3.872e+00     1.800e+03       1.40e+02    1.76e+01    38221 
    90.678     90.505         0.060      31677.811      5.5961e-02      1.3063e-02      7.3100e-04      1.8293e-04    5.795e+00     1.203e+03       2.09e+02    2.63e+01    56052 
    90.678     90.505         0.070      31677.811      5.5961e-02      1.8093e-02      1.0125e-03      2.5217e-04    7.988e+00     8.724e+02       2.88e+02    3.63e+01    76025 
    90.678     90.505         0.080      31677.811      5.5961e-02      2.3123e-02      1.2940e-03      3.2027e-04    1.015e+01     6.869e+02       3.66e+02    4.61e+01    96240 
    90.678     90.505         0.090      31677.811      5.5961e-02      2.7980e-02      1.5658e-03      3.8525e-04    1.220e+01     5.711e+02       4.41e+02    5.55e+01    115306 
    90.678     90.505         0.100      31677.811      5.5961e-02      3.2864e-02      1.8391e-03      4.4942e-04    1.424e+01     4.895e+02       5.14e+02    6.47e+01    134897 
    90.678     90.505         0.150      31677.811      5.5961e-02      5.3803e-02      3.0109e-03      7.0716e-04    2.240e+01     3.111e+02       8.09e+02    1.02e+02    219402 
    90.678     90.505         0.200      31677.811      5.5961e-02      6.8005e-02      3.8056e-03      8.5758e-04    2.717e+01     2.565e+02       9.81e+02    1.23e+02    280096 
    90.678     90.505         0.250      31677.811      5.5961e-02      7.7285e-02      4.3250e-03      9.3581e-04    2.964e+01     2.351e+02       1.07e+03    1.35e+02    323942 
    90.678     90.505         0.300      31677.811      5.5961e-02      8.3071e-02      4.6488e-03      9.6990e-04    3.072e+01     2.268e+02       1.11e+03    1.40e+02    355096 
    90.678     90.505         0.400      31677.811      5.5961e-02      8.7946e-02      4.9216e-03      9.6392e-04    3.054e+01     2.282e+02       1.10e+03    1.39e+02    396198 
    90.678     90.505         0.500      31677.811      5.5961e-02      8.8554e-02      4.9556e-03      9.2156e-04    2.919e+01     2.387e+02       1.05e+03    1.33e+02    418842 
    90.678     90.505         0.600      31677.811      5.5961e-02      8.6826e-02      4.8589e-03      8.6799e-04    2.750e+01     2.535e+02       9.93e+02    1.25e+02    432888 
