# width_GeV,Expected_limit_GeV
6.6711066e-14,1.8600000e+03
6.0662161e-14,1.9000000e+03
5.7640518e-14,1.9201200e+03
5.4811019e-14,1.9400000e+03
4.9284219e-14,1.9800000e+03
4.5205146e-14,2.0103100e+03
4.3963056e-14,2.0200000e+03
3.8759474e-14,2.0600000e+03
3.5451766e-14,2.0865500e+03
3.3825006e-14,2.1000000e+03
2.9228591e-14,2.1400000e+03
2.7803398e-14,2.1529900e+03
2.4972837e-14,2.1800000e+03
2.1804588e-14,2.2124500e+03
2.1097834e-14,2.2200000e+03
1.7370322e-14,2.2600000e+03
1.7100070e-14,2.2626800e+03
1.3573688e-14,2.3000000e+03
1.3410899e-14,2.3015000e+03
1.0517388e-14,2.3296700e+03
9.2951816e-15,2.3400000e+03
8.2481752e-15,2.3491200e+03
6.4686980e-15,2.3612400e+03
5.0730586e-15,2.3677300e+03
3.9785414e-15,2.3701400e+03
3.1201673e-15,2.3695000e+03
2.4469882e-15,2.3662300e+03
1.9190438e-15,2.3602000e+03
1.5050082e-15,2.3509800e+03
1.2140397e-15,2.3400000e+03
1.1803013e-15,2.3382200e+03
9.2565015e-16,2.3217800e+03
7.2593958e-16,2.3026800e+03
7.0277124e-16,2.3000000e+03
5.6931716e-16,2.2814000e+03
4.5224094e-16,2.2600000e+03
4.4648603e-16,2.2587100e+03
3.5015625e-16,2.2347900e+03
3.0358470e-16,2.2200000e+03
2.7460970e-16,2.2100000e+03
2.1536240e-16,2.1848100e+03
2.0591495e-16,2.1800000e+03
1.6889737e-16,2.1592700e+03
1.4200116e-16,2.1400000e+03
1.3245760e-16,2.1322500e+03
1.0387975e-16,2.1026000e+03
1.0170584e-16,2.1000000e+03
8.1467592e-17,2.0688500e+03
7.6671486e-17,2.0600000e+03
6.3890734e-17,2.0306700e+03
5.9741741e-17,2.0200000e+03
5.0105786e-17,1.9888400e+03
4.7473131e-17,1.9800000e+03
3.9295958e-17,1.9449500e+03
3.8038018e-17,1.9400000e+03
3.0817534e-17,1.9019300e+03
3.0294088e-17,1.9000000e+03
2.4168955e-17,1.8642900e+03
2.3023846e-17,1.8600000e+03
1.8954306e-17,1.8395800e+03
1.4864759e-17,1.8247200e+03
