#                prod                 mint                mhscp              mrec400 
                 2001                 1497                  350                  0.0 
                 1685                 1536                 1400       0.428827915797 
                 3820                 3815                 1100       0.237086917164 
                 2569                 2166                 1300       0.553102236575 
                 1494                 1489                 1300        0.50621774962 
                 3274                 3269                 1200       0.413479136356 
                 3767                 1156                  350                  0.0 
                 1731                  255                  250                  0.0 
                  970                  965                  150                  0.0 
                 4470                 2630                 2200       0.186729535173 
                 1763                  705                  700       0.459390960034 
                 5100                 1489                  800       0.249331063284 
                 1147                  216                  150                  0.0 
                 2972                  105                  100                  0.0 
                 2742                  505                  500                  0.0 
                 2468                 2463                 2000       0.286932526092 
                 1616                 1498                 1200       0.547994427731 
                  598                  593                  100                  0.0 
                 4475                  105                  100                  0.0 
                 2365                 2073                 1400       0.477604557084 
                 1710                 1595                 1300       0.518111288509 
                 2676                 2671                 2600       0.132831150267 
                 2375                  900                  550                  0.0 
                 1494                 1305                 1300       0.474582652307 
                 1404                  383                  100                  0.0 
                  974                  969                  800       0.485274311127 
                 1272                 1065                 1000       0.481092224999 
                 3285                 2208                  300                  0.0 
                 1273                  717                  400                  0.0 
                 3783                  853                  400                  0.0 
                 2167                 2162                  150                  0.0 
                 1343                  705                  700       0.512918210369 
                 5100                 3949                 1100       0.102179589676 
                 3518                 3513                 2000       0.250694988122 
                 5100                 1604                  500                  0.0 
                 1446                  715                  350                  0.0 
                 2375                 1461                  550                  0.0 
                 1620                  805                  800       0.521522517579 
                 5100                 5095                  200                  0.0 
                  471                  309                  200                  0.0 
                  552                  455                  450                  0.0 
                 4471                 2992                 2000       0.252977186055 
                  666                  661                  500                  0.0 
                 1903                 1178                 1000       0.550915680129 
                 2037                 1187                  400                  0.0 
                 1987                 1713                 1100       0.589843155806 
                 2812                  834                  450                  0.0 
                 2681                 1605                 1600       0.422169601517 
                 3948                 3330                 2000       0.246822172658 
                 3165                 2517                 2000       0.266715624771 
                  404                  399                  150                  0.0 
                  356                  351                  300                  0.0 
                 2569                 2564                 1300       0.547075694905 
                 1147                  155                  150                  0.0 
                  636                  255                  250                  0.0 
                 3784                 1348                  800       0.380633099973 
                  894                  355                  350                  0.0 
                  684                  455                  300                  0.0 
                 5100                 2025                  800       0.333031205142 
                 3948                 2374                 2000       0.243855597309 
                 2650                 2005                 2000       0.274853410631 
                 1769                  409                  300                  0.0 
                 1092                  849                  400                  0.0 
                 5100                  455                  450                  0.0 
                  552                  499                  450                  0.0 
                 1467                  505                  500                  0.0 
                 4757                 4180                 4000      0.0198719015387 
                 3798                  255                  250                  0.0 
                 2676                 2605                 2600       0.130220002843 
                 3165                 2005                 2000       0.250265318256 
                 5100                 1805                 1800       0.129095148481 
                 3390                 1605                 1600       0.360501945414 
                  911                  805                  800       0.423240070619 
                 1429                 1424                  900        0.58273518957 
                  888                  883                  250                  0.0 
                 2351                 2346                  350                  0.0 
                  463                  295                  250                  0.0 
                 1644                  166                  100                  0.0 
                 5100                 3316                 1400       0.336880121304 
                 2071                 1502                  300                  0.0 
                 3232                  998                  550                  0.0 
                 3750                  505                  500                  0.0 
                  987                  551                  450                  0.0 
                 3326                 1305                 1300       0.356352994843 
                 4404                 3679                 1500       0.299129931705 
                 4390                 3430                 1000       0.177874123866 
                 5100                 3746                  800       0.022858469034 
                 5100                 3081                 2600       0.160009204702 
                  767                  430                  350                  0.0 
                  933                  403                  300                  0.0 
                 4523                 4518                 2600        0.14769606232 
                 3767                  555                  550                  0.0 
                 3813                 3808                  300                  0.0 
                 1709                 1505                 1500       0.405185890988 
                 1772                 1459                 1200       0.547639504514 
                  741                  736                  500                  0.0 
                 4475                  685                  100                  0.0 
                  576                  400                  350                  0.0 
                 2204                 1401                 1200       0.565699941513 
                  716                  711                  100                  0.0 
                 3226                 3221                  350                  0.0 
                 2897                 2405                 2400       0.148121728681 
                 2757                  499                  350                  0.0 
                 2342                 1402                  500                  0.0 
                 3264                 1394                  250                  0.0 
                 2337                 2090                 1500       0.445625188094 
                 4416                 1160                  300                  0.0 
                  688                  471                  150                  0.0 
                 1316                 1006                  450                  0.0 
                 1099                  626                  200                  0.0 
                 1298                 1293                  200                  0.0 
                 1604                 1043                  900       0.523635593726 
                  933                  532                  300                  0.0 
                 3861                 3856                 1600       0.331285751305 
                 1693                 1302                 1000        0.54562509891 
                 1285                  894                  300                  0.0 
                 1592                 1405                 1400       0.422430735603 
                  636                  503                  250                  0.0 
                 5100                  863                  350                  0.0 
                 3798                 1542                  250                  0.0 
                 3880                  775                  150                  0.0 
                 4393                 1068                  800      0.0861618428528 
                 1702                 1697                  350                  0.0 
                 1903                 1898                 1000       0.610247640171 
                 1404                 1399                  100                  0.0 
                 3261                 3256                  800        0.17540819063 
                 3783                 3030                 1000       0.305197259473 
                 1155                  805                  800       0.495940367393 
                 2209                 1605                 1600       0.425322696836 
                 3861                 2488                 1600       0.426409970766 
                 1588                  228                  150                  0.0 
                  933                  305                  300                  0.0 
                 3536                 2790                 2200       0.178079841377 
                 3578                 3539                 3500      0.0564646829181 
                  987                  455                  450                  0.0 
                 1772                 1767                 1200       0.614181468327 
                  557                  552                  400                  0.0 
                 2284                 2279                 1300       0.575352489638 
                 4428                 2059                 1400       0.383035577035 
                 2897                 2892                 2400        0.14823526549 
                 5100                 1140                  250                  0.0 
                 1272                 1196                 1000       0.495751724289 
                 3416                 1069                  100                  0.0 
                 2204                 2199                 1200        0.61809498015 
                  964                  905                  900        0.42428739458 
                 1763                 1113                  700       0.525025925921 
                 3848                 3005                 3000      0.0852973504628 
                 4370                 1176                  900       0.135686533785 
                 3078                 3039                 3000      0.0939954701465 
                 4406                  664                  450                  0.0 
                 1862                 1425                 1300       0.511681916776 
                 2893                 2888                 1100       0.471403301832 
                 2823                  927                  300                  0.0 
                 4356                 4122                 3500      0.0419617021014 
                 4172                 3261                 3000      0.0834711856984 
                 3255                 1856                  600                  0.0 
                 1509                  712                  550                  0.0 
                 2468                 2340                 2000       0.280961729354 
                 4057                 2909                 2600        0.13018652948 
                 1613                 1608                 1100       0.601331829163 
                 1668                 1663                 1600       0.414523910675 
                 1050                  516                  250                  0.0 
                 2103                 1424                  200                  0.0 
                 1195                  794                  100                  0.0 
                 5100                 2358                  500                  0.0 
