#               mhscp              mrec400 
                  600                  0.0 
                  550                  0.0 
                  750       0.417046411961 
                  200                  0.0 
                  150                  0.0 
                  100                  0.0 
                  650                  0.0 
                  700       0.400710758715 
                  250                  0.0 
                  350                  0.0 
                  400                  0.0 
                  800       0.426285048973 
                  450                  0.0 
                  300                  0.0 
                  500                  0.0 
