#               mhscp              mrec500 
                  600                  0.0 
                 1000       0.500443488692 
                  550                  0.0 
                  750                  0.0 
                  200                  0.0 
                  150                  0.0 
                  900       0.482046193062 
                  950       0.486584934401 
                  100                  0.0 
                  650                  0.0 
                  700                  0.0 
                  850       0.468273635471 
                  250                  0.0 
                  350                  0.0 
                  400                  0.0 
                  800                  0.0 
                  450                  0.0 
                  300                  0.0 
                  500                  0.0 
