#                prod                 mint                mhscp              mrec200 
                  557                  552                  400       0.484162922632 
                 1273                  953                  400       0.455190090579 
                 2079                  905                  900       0.588579160343 
                  974                  805                  800        0.51058791425 
                 4406                 1415                  450       0.128183127443 
                 4179                 4089                 4000      0.0508005276918 
                 5100                  450                  100                  0.0 
                 2383                 1318                  400       0.180313982642 
                 1147                  819                  150                  0.0 
                 1352                  222                  150                  0.0 
                 1054                  860                  800       0.531946548727 
                 1494                 1489                 1300       0.526806114058 
                 1731                  482                  250                  0.0 
                 4410                 1105                 1100      0.0341438486595 
                 4390                 2099                 1000        0.28388535626 
                 1763                 1113                  700       0.624572319639 
                 1741                 1736                  400       0.148280048148 
                 2744                 2739                 2400       0.173986796092 
                 4377                  724                  500     0.00346158548393 
                 1266                 1261                 1200       0.516867901644 
                  541                  445                  250                  0.0 
                 5100                 1746                  200                  0.0 
                 1091                  897                  500       0.571603250632 
                 2742                 2737                  500       0.032913529191 
                  577                  413                  150                  0.0 
                 1763                  886                  700       0.607562018704 
                 3784                 2785                  600      0.0287901945339 
                  512                  447                  300                  0.0 
                 4395                  842                  600      0.0093670700905 
                 4386                 1205                 1200      0.0645740590612 
                 3027                 2657                 1800       0.444860644488 
                 4757                 4180                 4000       0.035807040506 
                 2576                 2571                  100                  0.0 
                 2367                  862                  700       0.400993110871 
                  853                  149                  100                  0.0 
                 3285                 1000                  300                  0.0 
                 1404                  590                  100                  0.0 
                 3267                 2203                 1000       0.447094877978 
                 1262                 1001                  500       0.563184461881 
                  933                  928                  300                  0.0 
                 1693                 1688                 1000       0.639148367197 
                 1520                 1459                 1400       0.462705347002 
                 4045                 2405                 2400       0.177286277416 
                 2383                  731                  400       0.183987463551 
                 3369                  155                  150                  0.0 
                 1521                 1114                 1000       0.624210796218 
                 1315                 1307                 1300       0.490666255566 
                 3859                 2327                 1400       0.385698136677 
                 1592                 1493                 1400       0.478506179531 
                 4428                 3018                 1400       0.290508604276 
                  940                  935                  400       0.512641823786 
                 1116                 1057                 1000       0.503603400169 
                 4757                 4553                 4000      0.0336691125501 
                  662                  657                  350       0.513075195529 
                 2036                 2031                  250                  0.0 
                 4454                 4449                  150                  0.0 
                 2676                 2638                 2600       0.154543153632 
                  512                  346                  300                  0.0 
                 1693                 1302                 1000       0.647179487895 
                 1147                  587                  150                  0.0 
                  365                  357                  350       0.385870301413 
                 4805                 4800                 4500      0.0205289051857 
                  452                  355                  350       0.446816548533 
                 2342                 2270                 2200       0.221180413679 
                 1280                  805                  800       0.600629663981 
                 1796                 1791                  200                  0.0 
                 1731                  255                  250                  0.0 
                 2744                 2567                 2400       0.171081006497 
                 3389                 3170                 2600       0.164509467253 
                 5100                 3061                 1100       0.208442976652 
                  862                  533                  450       0.553216369511 
                 1493                 1339                 1200       0.571249316547 
                 4390                 3430                 1000      0.0922194542433 
                 2071                  794                  300                  0.0 
                 2605                 2268                 1500       0.499712652212 
                 2893                 2888                 1100       0.461574522818 
                 4386                 3533                 1200       0.170679396596 
                 3783                 2604                  400     0.00313389935576 
                 1115                 1107                 1100       0.502034828903 
                 1352                  655                  150                  0.0 
                 2273                 2268                 2200       0.220188431973 
                  576                  355                  350       0.498659986125 
                 2204                 1892                 1200       0.661592515773 
                 3820                 1105                 1100        0.13486036574 
                 3369                  432                  150                  0.0 
                 1383                 1088                 1000       0.590160884596 
                 4416                 2826                  300                  0.0 
                 3954                 3414                 2200        0.21247080591 
                 1668                 1634                 1600       0.429999105852 
                 5100                 1895                  700       0.167102978375 
                 4377                 1486                  500       0.142010072848 
                 1509                  555                  550       0.482282048387 
                 3657                 3652                 2400       0.181795174962 
                 3404                 3399                 3000       0.121577841747 
                  758                  455                  450       0.531475054796 
                  115                  107                  100                  0.0 
                  606                  601                  450       0.478221052407 
                 5100                 2005                 2000       0.124115048604 
                 3783                 1563                 1000       0.341115916205 
                 3861                 3097                 1600       0.390109165106 
                 4470                 3138                 2200        0.19712644544 
                 4389                 1897                  350      0.0425858579286 
                 1521                 1005                 1000       0.629580604197 
                  987                  551                  450       0.560830579577 
                 4374                 3224                  700      0.0197154124824 
                 3335                 2239                 1500       0.453112222665 
                  839                  834                  600       0.519439071487 
                  797                  491                  300                  0.0 
                 1091                  612                  500       0.581420679113 
                 5100                 2358                  500      0.0653100948711 
                 2001                 1004                  500       0.398345305393 
                 1195                 1190                  100                  0.0 
                 2797                  844                  250                  0.0 
                 3344                 2611                 2400       0.181496239115 
                 2722                 2323                 2200       0.233930293447 
                 2981                 2976                 2600       0.159432206486 
                 1186                  705                  700       0.590568042501 
                 3657                 3290                 2400       0.178691265605 
                  471                  309                  200                  0.0 
                 1404                  162                  100                  0.0 
                 2932                 2367                 2200       0.233231134986 
                 5100                  605                  600    0.000404417924054 
                 3798                  255                  250                  0.0 
                 2415                 1825                  450      0.0981939665093 
                 1751                 1746                  550       0.383983032833 
                 5100                 5095                 1800       0.130840158548 
                 3271                 3266                  450     0.00739905171171 
                 3226                 3221                  350     0.00432365927881 
                 3078                 3039                 3000        0.12401933699 
                 1529                  559                  200                  0.0 
                 2755                  885                  700       0.259295679586 
                 1195                  530                  100                  0.0 
                 2375                 1147                  550       0.367033770169 
                 1099                 1094                  200                  0.0 
                 1533                 1259                  700       0.615408705427 
                 3767                  764                  550      0.0218097751773 
                 1616                 1611                 1200       0.612814772441 
                 2755                 1747                  700       0.378799369221 
                 2039                 2034                  700       0.458645529331 
                 3390                 2809                 1600       0.450557417322 
                 2421                  858                  300                  0.0 
                 3907                 3698                 3500      0.0814417043458 
                  931                  833                  600       0.552665328765 
                 1351                 1102                  600       0.597521291747 
                  741                  555                  500       0.529268351449 
                 4426                 1900                 1600       0.265676558008 
                 1059                  780                  700         0.5695183275 
                 2337                 1679                 1500       0.502615462223 
                 5100                 3005                 3000       0.128576422478 
                  812                  754                  700       0.462262059643 
                 5100                 3429                 3000       0.117814899898 
                  853                  423                  100                  0.0 
                 1710                 1305                 1300       0.579560637511 
                 3217                 3212                  900       0.194465788058 
                 2626                 2405                 2400       0.168370031184 
                 1230                  484                  350       0.402018438593 
                 2456                  709                  200                  0.0 
                 1017                 1012                  900       0.483523885429 
                 4395                 1630                  600       0.170806420205 
                 1186                 1181                  700       0.588953095712 
                 5100                 4253                 4000       0.034789621055 
                 3518                 2654                 2000       0.305586351422 
