#               mhscp              mrec000 
                  700        0.42501142683 
                 3500      0.0479852028234 
                 1000       0.432961916937 
                  300       0.287632890271 
                  150       0.161528651376 
                  800       0.432529913484 
                  350       0.312371533337 
                  500       0.375436683912 
                 2800      0.0749961273048 
                  550       0.388199529413 
                 1900       0.215697839986 
                 2200        0.12186909779 
                 5000     0.00488628296714 
                 1450       0.275027917242 
                  950       0.439465484942 
                 4000      0.0307908983865 
                 1600       0.251264345318 
                  600        0.40269852424 
                 3000      0.0693392441733 
                  850       0.435430059257 
                  100      0.0743097355483 
                  200       0.209021999452 
                 4500      0.0150289368481 
                 1350       0.344231425844 
                 1300       0.382848917522 
                 1150        0.41505546312 
                 1700       0.254842956477 
                 1400       0.299584091595 
                  750       0.426838958069 
                 2400      0.0864355365481 
                 1050       0.424896725213 
                  250       0.255943776279 
                  900       0.438774624636 
                 2600      0.0810742950637 
                 1800       0.241502157408 
                 1250        0.40414650167 
                 1100        0.42429802711 
                  650        0.41359738185 
                  400       0.335128813537 
                 1200       0.409641660644 
                  450       0.357141232085 
                 2000       0.182618023911 
                 1500       0.258135137218 
