#               mhscp              mrec400 
                  700       0.437660775094 
                  300                  0.0 
                  150                  0.0 
                  800       0.446535796818 
                  350                  0.0 
                  500                  0.0 
                  550                  0.0 
                  600                  0.0 
                  100                  0.0 
                  200                  0.0 
                  750       0.445476953691 
                  250                  0.0 
                  650                  0.0 
                  400                  0.0 
                  450                  0.0 
