#               mhscp              mrec300 
                 5000     0.00400045085676 
                  600        0.40798914837 
                 1000       0.500443488692 
                 2800       0.108413823712 
                 1500       0.411741919429 
                 1400       0.429292850247 
                 1250       0.514806232665 
                  550       0.402088596963 
                  750       0.452281816295 
                  200                  0.0 
                  150                  0.0 
                  900       0.482046193062 
                 2400       0.127210278799 
                  950       0.486584934401 
                  100                  0.0 
                 1700       0.414678073516 
                 4000       0.027016600676 
                 3000      0.0836345681241 
                 1450       0.420928624702 
                  650       0.425994187922 
                 2600       0.119327114187 
                 2000       0.251370661254 
                  700       0.434609655354 
                 1600       0.416184954532 
                  850       0.468273635471 
                 2200        0.16210911014 
                 1100       0.521202227971 
                 1800       0.378128203089 
                  250                  0.0 
                  350                  0.0 
                  400                  0.0 
                 4500      0.0139572788595 
                 1200       0.531528337375 
                  800       0.460307563742 
                 1350       0.455464530796 
                 3500      0.0509162466195 
                  450                  0.0 
                 1900       0.309781150015 
                 1300         0.4879768008 
                  300                  0.0 
                  500       0.387251825118 
                 1050       0.507914099086 
                 1150       0.530401245392 
