#: table_doi: 10.17182/hepdata.86565.v1/t18
#: name: Table 17
#: description: Upper cross-section limit in meta-stable gluino R-hadron search.
#: data_file: data17.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: SIG | CLS
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
#WIDTH [GeV],TRUE MASS [GEV],EXP LIMIT [FB],error +,error -
6.582e-17,1000,1.602,0.753,-0.289
6.582e-17,1200,1.314,0.628,-0.167
6.582e-17,1400,1.149,0.462,-0.136
6.582e-17,1600,1.167,0.488,-0.067
6.582e-17,1800,1.104,0.456,-0.035
6.582e-17,2000,1.072,0.447,-0.079
6.582e-17,2200,1.174,0.416,-0.037
6.582e-17,2400,1.168,0.475,-0.049
2.194e-17,1000,0.850,0.402,-0.114
2.194e-17,1200,0.768,0.299,-0.121
2.194e-17,1400,0.705,0.277,-0.105
2.194e-17,1600,0.642,0.239,-0.081
2.194e-17,1800,0.631,0.244,-0.031
2.194e-17,2000,0.654,0.255,-0.040
2.194e-17,2200,0.650,0.255,-0.030
2.194e-17,2400,0.719,0.268,-0.088
1.316e-17,1000,0.825,0.399,-0.138
1.316e-17,1200,0.724,0.327,-0.103
1.316e-17,1400,0.618,0.268,-0.084
1.316e-17,1600,0.622,0.264,-0.052
1.316e-17,1800,0.601,0.254,-0.034
1.316e-17,2000,0.580,0.241,-0.015
1.316e-17,2200,0.665,0.245,-0.063
1.316e-17,2400,0.727,0.254,-0.024

