#: table_doi: 10.17182/hepdata.86565.v1/t25
#: name: Table 24
#: description: Candidate reconstruction efficiency for ID+Calo selection (IDCaloEff).
#: data_file: data24.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK- | P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,,,13000.0
ABS(ETA),ABS(ETA) LOW,ABS(ETA) HIGH,TRUE BETA,TRUE BETA LOW,TRUE BETA HIGH,EFF,error +,error -
0.175,0.0,0.35,0.25,0.2,0.3,0.202,0.018,-0.018
0.525,0.35,0.7,0.25,0.2,0.3,0.105,0.014,-0.014
0.9,0.7,1.1,0.25,0.2,0.3,0.009,0.003,-0.003
1.175,1.1,1.25,0.25,0.2,0.3,0.000,0.000,-0.000
1.45,1.25,1.65,0.25,0.2,0.3,0.000,0.000,-0.000
1.825,1.65,2.0,0.25,0.2,0.3,0.000,0.000,-0.000
0.175,0.0,0.35,0.35,0.3,0.4,0.550,0.030,-0.030
0.525,0.35,0.7,0.35,0.3,0.4,0.578,0.029,-0.029
0.9,0.7,1.1,0.35,0.3,0.4,0.283,0.022,-0.022
1.175,1.1,1.25,0.35,0.3,0.4,0.070,0.016,-0.016
1.45,1.25,1.65,0.35,0.3,0.4,0.011,0.005,-0.005
1.825,1.65,2.0,0.35,0.3,0.4,0.000,0.000,-0.000
0.175,0.0,0.35,0.45,0.4,0.5,0.646,0.031,-0.031
0.525,0.35,0.7,0.45,0.4,0.5,0.680,0.036,-0.036
0.9,0.7,1.1,0.45,0.4,0.5,0.546,0.034,-0.034
1.175,1.1,1.25,0.45,0.4,0.5,0.571,0.063,-0.063
1.45,1.25,1.65,0.45,0.4,0.5,0.355,0.033,-0.033
1.825,1.65,2.0,0.45,0.4,0.5,0.000,0.000,-0.000
0.175,0.0,0.35,0.525,0.5,0.55,0.697,0.052,-0.052
0.525,0.35,0.7,0.525,0.5,0.55,0.742,0.045,-0.045
0.9,0.7,1.1,0.525,0.5,0.55,0.624,0.043,-0.043
1.175,1.1,1.25,0.525,0.5,0.55,0.706,0.087,-0.087
1.45,1.25,1.65,0.525,0.5,0.55,0.586,0.061,-0.061
1.825,1.65,2.0,0.525,0.5,0.55,0.000,0.000,-0.000
0.175,0.0,0.35,0.575,0.55,0.6,0.705,0.066,-0.066
0.525,0.35,0.7,0.575,0.55,0.6,0.758,0.056,-0.056
0.9,0.7,1.1,0.575,0.55,0.6,0.643,0.042,-0.042
1.175,1.1,1.25,0.575,0.55,0.6,0.732,0.084,-0.084
1.45,1.25,1.65,0.575,0.55,0.6,0.579,0.051,-0.051
1.825,1.65,2.0,0.575,0.55,0.6,0.000,0.000,-0.000
0.175,0.0,0.35,0.625,0.6,0.65,0.741,0.058,-0.058
0.525,0.35,0.7,0.625,0.6,0.65,0.759,0.062,-0.062
0.9,0.7,1.1,0.625,0.6,0.65,0.614,0.053,-0.053
1.175,1.1,1.25,0.625,0.6,0.65,0.671,0.090,-0.090
1.45,1.25,1.65,0.625,0.6,0.65,0.626,0.067,-0.067
1.825,1.65,2.0,0.625,0.6,0.65,0.000,0.000,-0.000
0.175,0.0,0.35,0.675,0.65,0.7,0.540,0.051,-0.051
0.525,0.35,0.7,0.675,0.65,0.7,0.580,0.062,-0.062
0.9,0.7,1.1,0.675,0.65,0.7,0.452,0.039,-0.039
1.175,1.1,1.25,0.675,0.65,0.7,0.516,0.070,-0.070
1.45,1.25,1.65,0.675,0.65,0.7,0.447,0.043,-0.043
1.825,1.65,2.0,0.675,0.65,0.7,0.000,0.000,-0.000
0.175,0.0,0.35,0.725,0.7,0.75,0.172,0.028,-0.028
0.525,0.35,0.7,0.725,0.7,0.75,0.229,0.034,-0.034
0.9,0.7,1.1,0.725,0.7,0.75,0.194,0.032,-0.032
1.175,1.1,1.25,0.725,0.7,0.75,0.208,0.036,-0.036
1.45,1.25,1.65,0.725,0.7,0.75,0.207,0.050,-0.050
1.825,1.65,2.0,0.725,0.7,0.75,0.000,0.000,-0.000
0.175,0.0,0.35,0.775,0.75,0.8,0.128,0.058,-0.058
