#: table_doi: 10.17182/hepdata.86565.v1/t22
#: name: Table 21
#: description: Flavor composition of 800 GeV anti-stop R-hadrons simulated using the Regge model as a function of radial distance from the interaction point.
#: data_file: data21.yaml
#: data_license:   
#: keyword reactions: P P --> STOP+ STOP-
#: keyword observables: RATIO
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(ANTISTOP D)-,error +,error -
0.025,0.0,0.05,0.522,0.012,-0.012
0.075,0.05,0.1,0.522,0.012,-0.012
0.125,0.1,0.15,0.522,0.012,-0.012
0.175,0.15,0.2,0.522,0.012,-0.012
0.225,0.2,0.25,0.522,0.012,-0.012
0.275,0.25,0.3,0.522,0.012,-0.012
0.325,0.3,0.35,0.522,0.012,-0.012
0.375,0.35,0.4,0.522,0.012,-0.012
0.425,0.4,0.45,0.522,0.012,-0.012
0.475,0.45,0.5,0.522,0.012,-0.012
0.525,0.5,0.55,0.522,0.012,-0.012
0.575,0.55,0.6,0.522,0.012,-0.012
0.625,0.6,0.65,0.522,0.012,-0.012
0.675,0.65,0.7,0.522,0.012,-0.012
0.725,0.7,0.75,0.522,0.012,-0.012
0.775,0.75,0.8,0.522,0.012,-0.012
0.825,0.8,0.85,0.522,0.012,-0.012
0.875,0.85,0.9,0.522,0.012,-0.012
0.925,0.9,0.95,0.522,0.012,-0.012
0.975,0.95,1.0,0.522,0.012,-0.012
1.025,1.0,1.05,0.522,0.012,-0.012
1.075,1.05,1.1,0.522,0.012,-0.012
1.125,1.1,1.15,0.522,0.012,-0.012
1.175,1.15,1.2,0.522,0.012,-0.012
1.225,1.2,1.25,0.522,0.012,-0.012
1.275,1.25,1.3,0.523,0.012,-0.012
1.325,1.3,1.35,0.523,0.012,-0.012
1.375,1.35,1.4,0.524,0.012,-0.012
1.425,1.4,1.45,0.524,0.012,-0.012
