#: table_doi: 10.17182/hepdata.86565.v1/t3
#: name: Table 2
#: description: Lower mass requirement for signal regions.
#: data_file: data2.yaml
#: data_license:   
#: keyword reactions: P P --> STAU+ STAU- | P P --> CHI+ CHI-
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
TRUE MASS [GEV],SR-1CAND-FULLDET MINIMUM MASS [GEV]
200,175
250,225
287,250
300,250
318,275
349,300
350,300
380,325
400,350
411,350
442,375
450,375
473,400
500,425
504,425
536,450
550,450
567,475
598,500
600,500
629,500
650,525
660,525
692,550
700,550
723,575
750,600
754,600
785,625
800,625
817,650
848,675
850,675
879,675
900,700
911,700
950,725
1000,750
1100,825
1200,875
1300,925
1400,975
1500,1025

#: SQRT(S) [GEV],13000.0
TRUE MASS [GEV],SR-2CAND-FULLDET MINIMUM MASS [GEV]
200,150
250,200
287,225
300,225
318,250
349,275
350,275
380,300
400,325
411,325
442,350
450,350
473,375
500,400
504,400
536,425
550,425
567,425
598,450
600,450
629,475
650,500
660,500
692,525
700,525
723,550
750,575
754,575
785,600
800,600
817,600
848,625
850,625
879,650
900,675
911,675
950,700
1000,725
1100,800
1200,850
1300,900
1400,975
1500,1025

