#: table_doi: 10.17182/hepdata.86565.v1/t20
#: name: Table 19
#: description: Flavor composition of 800 GeV anti-stop R-hadrons simulated using the generic model as a function of radial distance from the interaction point.
#: data_file: data19.yaml
#: data_license:   
#: keyword reactions: P P --> STOP+ STOP-
#: keyword observables: RATIO
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(ANTISTOP D)-,error +,error -
0.025,0.0,0.05,0.430,0.011,-0.011
0.075,0.05,0.1,0.430,0.011,-0.011
0.125,0.1,0.15,0.430,0.011,-0.011
0.175,0.15,0.2,0.430,0.011,-0.011
0.225,0.2,0.25,0.430,0.011,-0.011
0.275,0.25,0.3,0.430,0.011,-0.011
0.325,0.3,0.35,0.430,0.011,-0.011
0.375,0.35,0.4,0.430,0.011,-0.011
0.425,0.4,0.45,0.430,0.011,-0.011
0.475,0.45,0.5,0.430,0.011,-0.011
0.525,0.5,0.55,0.430,0.011,-0.011
0.575,0.55,0.6,0.430,0.011,-0.011
0.625,0.6,0.65,0.430,0.011,-0.011
0.675,0.65,0.7,0.430,0.011,-0.011
0.725,0.7,0.75,0.430,0.011,-0.011
0.775,0.75,0.8,0.430,0.011,-0.011
0.825,0.8,0.85,0.430,0.011,-0.011
0.875,0.85,0.9,0.430,0.011,-0.011
0.925,0.9,0.95,0.430,0.011,-0.011
0.975,0.95,1.0,0.430,0.011,-0.011
1.025,1.0,1.05,0.430,0.011,-0.011
1.075,1.05,1.1,0.430,0.011,-0.011
1.125,1.1,1.15,0.431,0.011,-0.011
1.175,1.15,1.2,0.431,0.011,-0.011
1.225,1.2,1.25,0.431,0.011,-0.011
1.275,1.25,1.3,0.431,0.011,-0.011
1.325,1.3,1.35,0.431,0.011,-0.011
1.375,1.35,1.4,0.432,0.011,-0.011
1.425,1.4,1.45,0.431,0.011,-0.011
1.475,1.45,1.5,0.433,0.011,-0.011
1.525,1.5,1.55,0.435,0.011,-0.011
1.575,1.55,1.6,0.438,0.011,-0.011
1.625,1.6,1.65,0.440,0.011,-0.011
1.675,1.65,1.7,0.441,0.011,-0.011
1.725,1.7,1.75,0.444,0.011,-0.011
1.775,1.75,1.8,0.446,0.011,-0.011
1.825,1.8,1.85,0.449,0.011,-0.011
1.875,1.85,1.9,0.449,0.011,-0.011
1.925,1.9,1.95,0.455,0.011,-0.011
1.975,1.95,2.0,0.457,0.011,-0.011
2.025,2.0,2.05,0.457,0.011,-0.011
2.075,2.05,2.1,0.458,0.011,-0.011
2.125,2.1,2.15,0.459,0.011,-0.011
2.175,2.15,2.2,0.460,0.011,-0.011
2.225,2.2,2.25,0.462,0.011,-0.011
