#: table_doi: 10.17182/hepdata.86565.v1/t16
#: name: Table 15
#: description: Lower mass limit as function of gluino lifetime.
#: data_file: data15.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: M | CLS
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
SIMULATED LIFETIME [NS],EXP LIMIT [GEV]
10,1980
30,2080
50,2090
stable MS-agno,2060
stable FullDet,2050

#: SQRT(S) [GEV],13000.0
SIMULATED LIFETIME [NS],OBS LIMIT [GEV]
10,1860
30,1960
50,1980
stable MS-agno,1950
stable FullDet,2000

