#: table_doi: 10.17182/hepdata.86565.v1/t6
#: name: Table 5
#: description: Expected signal yield and acceptance x efficiency, estimated background and observed number of events in data for the full range of simulated masses in the full-detector R-hadron search.
#: data_file: data5.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK-
#: keyword observables: N | ACC | EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
SPARTICLE,MASS [GEV],EXPECTED (LOOSE),error +,error -
gluino,400,60000,20000,-20000
gluino,600,11000,4000,-4000
gluino,800,2400,600,-600
gluino,1000,500,100,-100
gluino,1200,160,40,-40
gluino,1400,60,10,-10
gluino,1600,17,4,-4
gluino,1800,5,1,-1
gluino,2000,1.9,0.4,-0.4
gluino,2200,0.6,0.1,-0.1
gluino,2400,0.18,0.04,-0.04
gluino,2600,0.07,0.01,-0.01
gluino,2800,0.019,0.004,-0.004
gluino,3000,0.007,0.002,-0.002
sbottom,600,200,50,-50
sbottom,800,38,8,-8
sbottom,1000,9,2,-2
sbottom,1200,2.5,0.5,-0.5
sbottom,1400,0.7,0.1,-0.1
stop,600,390,70,-70
stop,800,80,20,-20
stop,1000,18,4,-4
stop,1200,5,1,-1
stop,1400,1.6,0.3,-0.3

#: SQRT(S) [GEV],13000.0
SPARTICLE,MASS [GEV],ACC X EFF (LOOSE),error +,error -
gluino,400,0.016,0.002,-0.002
gluino,600,0.033,0.003,-0.003
gluino,800,0.044,0.003,-0.003
gluino,1000,0.045,0.003,-0.003
gluino,1200,0.053,0.004,-0.004
gluino,1400,0.063,0.005,-0.005
gluino,1600,0.057,0.004,-0.004
gluino,1800,0.052,0.004,-0.004
gluino,2000,0.053,0.003,-0.003
gluino,2200,0.043,0.003,-0.003
gluino,2400,0.037,0.002,-0.002
gluino,2600,0.036,0.002,-0.002
gluino,2800,0.027,0.002,-0.002
gluino,3000,0.028,0.002,-0.002
sbottom,600,0.032,0.002,-0.002
sbottom,800,0.037,0.003,-0.003
sbottom,1000,0.040,0.003,-0.003
sbottom,1200,0.043,0.003,-0.003
sbottom,1400,0.042,0.003,-0.003
stop,600,0.062,0.004,-0.004
stop,800,0.075,0.004,-0.004
stop,1000,0.083,0.004,-0.004
stop,1200,0.088,0.004,-0.004
stop,1400,0.093,0.005,-0.005

#: SQRT(S) [GEV],13000.0
SPARTICLE,MASS [GEV],ESTIMATED (LOOSE),error +,error -
gluino,400,1.5,0.5,-0.5
gluino,600,0.5,0.2,-0.2
gluino,800,0.3,0.1,-0.1
gluino,1000,0.14,0.05,-0.05
gluino,1200,0.10,0.04,-0.04
gluino,1400,0.07,0.03,-0.03
gluino,1600,0.06,0.03,-0.03
gluino,1800,0.05,0.03,-0.03
gluino,2000,0.05,0.02,-0.02
gluino,2200,0.05,0.02,-0.02
gluino,2400,0.05,0.02,-0.02
gluino,2600,0.05,0.02,-0.02
gluino,2800,0.05,0.02,-0.02
gluino,3000,0.05,0.02,-0.02
sbottom,600,0.5,0.2,-0.2
sbottom,800,0.3,0.1,-0.1
sbottom,1000,0.14,0.05,-0.05
sbottom,1200,0.10,0.04,-0.04
sbottom,1400,0.07,0.03,-0.03
stop,600,0.5,0.2,-0.2
stop,800,0.3,0.1,-0.1
stop,1000,0.14,0.05,-0.05
stop,1200,0.10,0.04,-0.04
stop,1400,0.07,0.03,-0.03

#: SQRT(S) [GEV],13000.0
SPARTICLE,MASS [GEV],OBSERVED (LOOSE)
gluino,400,1
gluino,600,1
gluino,800,1
gluino,1000,0
gluino,1200,0
gluino,1400,0
gluino,1600,0
gluino,1800,0
gluino,2000,0
gluino,2200,0
gluino,2400,0
gluino,2600,0
gluino,2800,0
gluino,3000,0
sbottom,600,1
sbottom,800,1
sbottom,1000,0
sbottom,1200,0
sbottom,1400,0
stop,600,1
stop,800,1
stop,1000,0
stop,1200,0
stop,1400,0

#: SQRT(S) [GEV],13000.0
SPARTICLE,MASS [GEV],EXPECTED (IDCALO),error +,error -
gluino,400,160000,3000,-3000
gluino,600,24000,4000,-4000
gluino,800,4500,800,-800
gluino,1000,1100,200,-200
gluino,1200,300,50,-50
gluino,1400,100,20,-20
gluino,1600,30,6,-6
gluino,1800,10,2,-2
gluino,2000,2.9,0.6,-0.6
gluino,2200,1.0,0.2,-0.2
gluino,2400,0.38,0.07,-0.07
gluino,2600,0.13,0.02,-0.02
gluino,2800,0.049,0.009,-0.009
gluino,3000,0.017,0.003,-0.003
sbottom,600,300,60,-60
sbottom,800,60,10,-10
sbottom,1000,14,3,-3
sbottom,1200,3.9,0.7,-0.7
sbottom,1400,1.1,0.2,-0.2
stop,600,370,70,-70
stop,800,80,20,-20
stop,1000,18,3,-3
stop,1200,4.9,0.9,-0.9
stop,1400,1.5,0.3,-0.3

#: SQRT(S) [GEV],13000.0
SPARTICLE,MASS [GEV],ACC X EFF (IDCALO),error +,error -
gluino,400,0.044,0.003,-0.003
gluino,600,0.071,0.004,-0.004
gluino,800,0.083,0.004,-0.004
gluino,1000,0.091,0.005,-0.005
gluino,1200,0.096,0.005,-0.005
gluino,1400,0.104,0.006,-0.006
gluino,1600,0.104,0.006,-0.006
gluino,1800,0.099,0.006,-0.006
gluino,2000,0.083,0.004,-0.004
gluino,2200,0.079,0.003,-0.003
gluino,2400,0.079,0.004,-0.004
gluino,2600,0.074,0.003,-0.003
gluino,2800,0.071,0.003,-0.003
gluino,3000,0.066,0.003,-0.003
sbottom,600,0.047,0.003,-0.003
sbottom,800,0.061,0.003,-0.003
sbottom,1000,0.064,0.003,-0.003
sbottom,1200,0.068,0.003,-0.003
sbottom,1400,0.069,0.003,-0.003
stop,600,0.059,0.004,-0.004
stop,800,0.077,0.004,-0.004
stop,1000,0.081,0.004,-0.004
stop,1200,0.085,0.004,-0.004
stop,1400,0.089,0.004,-0.004

#: SQRT(S) [GEV],13000.0
SPARTICLE,MASS [GEV],ESTIMATED (IDCALO),error +,error -
gluino,400,9.0,2.0,-2.0
gluino,600,4.0,1.0,-1.0
gluino,800,2.5,0.7,-0.7
gluino,1000,1.6,0.4,-0.4
gluino,1200,1.3,0.4,-0.4
gluino,1400,1.1,0.3,-0.3
gluino,1600,1.0,0.3,-0.3
gluino,1800,0.9,0.3,-0.3
gluino,2000,0.9,0.2,-0.2
gluino,2200,0.9,0.2,-0.2
gluino,2400,0.9,0.2,-0.2
gluino,2600,0.9,0.2,-0.2
gluino,2800,0.9,0.2,-0.2
gluino,3000,0.9,0.2,-0.2
sbottom,600,4.0,1.0,-1.0
sbottom,800,2.5,0.7,-0.7
sbottom,1000,1.6,0.4,-0.4
sbottom,1200,1.3,0.4,-0.4
sbottom,1400,1.1,0.3,-0.3
stop,600,4,1,-1
stop,800,2.5,0.7,-0.7
stop,1000,1.6,0.4,-0.4
stop,1200,1.3,0.4,-0.4
stop,1400,1.1,0.3,-0.3

#: SQRT(S) [GEV],13000.0
SPARTICLE,MASS [GEV],OBSERVED (IDCALO)
gluino,400,13
gluino,600,9
gluino,800,5
gluino,1000,3
gluino,1200,2
gluino,1400,2
gluino,1600,2
gluino,1800,2
gluino,2000,2
gluino,2200,2
gluino,2400,2
gluino,2600,2
gluino,2800,2
gluino,3000,2
sbottom,600,9
sbottom,800,5
sbottom,1000,3
sbottom,1200,2
sbottom,1400,2
stop,600,9
stop,800,5
stop,1000,3
stop,1200,2
stop,1400,2

