txName: T2tt
constraint: [[['t']],[['t']]]
condition: None
conditionDescription: None
susyProcess: pp --> stop stop, stop  --> top lsp
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13011/fig20a.pdf
dataUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13011/topneutralino_cutbased.root
source: CMS
validated: True
axes: [[x, y], [x, y]]
upperLimits: [[[[100*GeV,0*GeV],[100*GeV,0*GeV]],1142.5*pb],
[[[125*GeV,0*GeV],[125*GeV,0*GeV]],258.62*pb],
[[[125*GeV,25*GeV],[125*GeV,25*GeV]],265.66*pb],
[[[150*GeV,0*GeV],[150*GeV,0*GeV]],72.227*pb],
[[[150*GeV,25*GeV],[150*GeV,25*GeV]],58.926*pb],
[[[150*GeV,50*GeV],[150*GeV,50*GeV]],100.44*pb],
[[[175*GeV,0*GeV],[175*GeV,0*GeV]],43.891*pb],
[[[175*GeV,25*GeV],[175*GeV,25*GeV]],19.134*pb],
[[[175*GeV,50*GeV],[175*GeV,50*GeV]],33.738*pb],
[[[175*GeV,75*GeV],[175*GeV,75*GeV]],40.943*pb],
[[[200*GeV,0*GeV],[200*GeV,0*GeV]],19.215*pb],
[[[200*GeV,25*GeV],[200*GeV,25*GeV]],34.739*pb],
[[[200*GeV,50*GeV],[200*GeV,50*GeV]],9.9167*pb],
[[[200*GeV,75*GeV],[200*GeV,75*GeV]],17.098*pb],
[[[200*GeV,100*GeV],[200*GeV,100*GeV]],25.76*pb],
[[[225*GeV,0*GeV],[225*GeV,0*GeV]],4.7493*pb],
[[[225*GeV,25*GeV],[225*GeV,25*GeV]],6.5942*pb],
[[[225*GeV,50*GeV],[225*GeV,50*GeV]],14.847*pb],
[[[225*GeV,75*GeV],[225*GeV,75*GeV]],4.9205*pb],
[[[225*GeV,100*GeV],[225*GeV,100*GeV]],8.713*pb],
[[[225*GeV,125*GeV],[225*GeV,125*GeV]],19.612*pb],
[[[250*GeV,0*GeV],[250*GeV,0*GeV]],1.759*pb],
[[[250*GeV,25*GeV],[250*GeV,25*GeV]],2.2281*pb],
[[[250*GeV,50*GeV],[250*GeV,50*GeV]],3.4427*pb],
[[[250*GeV,75*GeV],[250*GeV,75*GeV]],9.5209*pb],
[[[250*GeV,100*GeV],[250*GeV,100*GeV]],3.7789*pb],
[[[250*GeV,125*GeV],[250*GeV,125*GeV]],5.1198*pb],
[[[250*GeV,150*GeV],[250*GeV,150*GeV]],14.711*pb],
[[[275*GeV,0*GeV],[275*GeV,0*GeV]],0.76363*pb],
[[[275*GeV,25*GeV],[275*GeV,25*GeV]],0.90212*pb],
[[[275*GeV,50*GeV],[275*GeV,50*GeV]],1.2189*pb],
[[[275*GeV,75*GeV],[275*GeV,75*GeV]],2.1181*pb],
[[[275*GeV,100*GeV],[275*GeV,100*GeV]],4.497*pb],
[[[275*GeV,125*GeV],[275*GeV,125*GeV]],3.1782*pb],
[[[275*GeV,150*GeV],[275*GeV,150*GeV]],3.2304*pb],
[[[275*GeV,175*GeV],[275*GeV,175*GeV]],8.0667*pb],
[[[300*GeV,0*GeV],[300*GeV,0*GeV]],0.41826*pb],
[[[300*GeV,25*GeV],[300*GeV,25*GeV]],0.44134*pb],
[[[300*GeV,50*GeV],[300*GeV,50*GeV]],0.61214*pb],
[[[300*GeV,75*GeV],[300*GeV,75*GeV]],0.82957*pb],
[[[300*GeV,100*GeV],[300*GeV,100*GeV]],1.5334*pb],
[[[300*GeV,125*GeV],[300*GeV,125*GeV]],3.215*pb],
[[[300*GeV,150*GeV],[300*GeV,150*GeV]],1.6843*pb],
[[[300*GeV,175*GeV],[300*GeV,175*GeV]],2.6525*pb],
[[[300*GeV,200*GeV],[300*GeV,200*GeV]],4.4558*pb],
[[[325*GeV,0*GeV],[325*GeV,0*GeV]],0.24776*pb],
[[[325*GeV,25*GeV],[325*GeV,25*GeV]],0.25873*pb],
[[[325*GeV,50*GeV],[325*GeV,50*GeV]],0.29362*pb],
