 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   100.165     100.000         0.010      382012.568      1.2179e-01      3.1217e-03      3.8018e-04      1.6888e-04    6.452e+01     1.303e+03       2.33e+03    2.93e+02    385 
    100.165     100.000         0.015      382012.568      1.2179e-01      9.9035e-03      1.2061e-03      5.1620e-04    1.972e+02     4.262e+02       7.12e+03    8.96e+02    1038 
    100.165     100.000         0.020      382012.568      1.2179e-01      1.7852e-02      2.1742e-03      9.1604e-04    3.499e+02     2.402e+02       1.26e+04    1.59e+03    1781 
    100.165     100.000         0.025      382012.568      1.2179e-01      2.6471e-02      3.2238e-03      1.3449e-03    5.138e+02     1.636e+02       1.85e+04    2.34e+03    2591 
    100.165     100.000         0.030      382012.568      1.2179e-01      3.5137e-02      4.2792e-03      1.7664e-03    6.748e+02     1.245e+02       2.44e+04    3.07e+03    3404 
    100.165     100.000         0.040      382012.568      1.2179e-01      4.9231e-02      5.9957e-03      2.4548e-03    9.378e+02     8.962e+01       3.39e+04    4.26e+03    4809 
    100.165     100.000         0.050      382012.568      1.2179e-01      6.0868e-02      7.4129e-03      3.0212e-03    1.154e+03     7.282e+01       4.17e+04    5.25e+03    6017 
    100.165     100.000         0.060      382012.568      1.2179e-01      7.1188e-02      8.6698e-03      3.5046e-03    1.339e+03     6.277e+01       4.83e+04    6.09e+03    7197 
    100.165     100.000         0.070      382012.568      1.2179e-01      7.5276e-02      9.1676e-03      3.6884e-03    1.409e+03     5.965e+01       5.09e+04    6.40e+03    7977 
    100.165     100.000         0.080      382012.568      1.2179e-01      8.0762e-02      9.8357e-03      3.9266e-03    1.500e+03     5.603e+01       5.41e+04    6.82e+03    8729 
    100.165     100.000         0.090      382012.568      1.2179e-01      8.6818e-02      1.0573e-02      4.2140e-03    1.610e+03     5.221e+01       5.81e+04    7.32e+03    9482 
