 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   100.000     99.843         0.010      6084.913      6.1707e-02      6.1969e-06      3.8239e-07      9.1415e-08    5.563e-04     2.407e+06       2.01e-02    2.53e-03    6 
    100.000     99.843         0.015      6084.913      6.1707e-02      7.0292e-05      4.3375e-06      1.1785e-06    7.171e-03     1.867e+05       2.59e-01    3.26e-02    50 
    100.000     99.843         0.020      6084.913      6.1707e-02      4.2152e-04      2.6011e-05      6.6306e-06    4.035e-02     3.318e+04       1.46e+00    1.83e-01    248 
    100.000     99.843         0.025      6084.913      6.1707e-02      9.1875e-04      5.6693e-05      1.4373e-05    8.746e-02     1.531e+04       3.16e+00    3.98e-01    521 
    100.000     99.843         0.030      6084.913      6.1707e-02      1.7518e-03      1.0810e-04      2.6875e-05    1.635e-01     8.186e+03       5.90e+00    7.43e-01    919 
    100.000     99.843         0.040      6084.913      6.1707e-02      4.3401e-03      2.6781e-04      6.3385e-05    3.857e-01     3.471e+03       1.39e+01    1.75e+00    2114 
    100.000     99.843         0.050      6084.913      6.1707e-02      7.6041e-03      4.6923e-04      1.1176e-04    6.801e-01     1.968e+03       2.46e+01    3.09e+00    3718 
    100.000     99.843         0.060      6084.913      6.1707e-02      1.2563e-02      7.7521e-04      1.8329e-04    1.115e+00     1.200e+03       4.03e+01    5.07e+00    5815 
    100.000     99.843         0.070      6084.913      6.1707e-02      1.6780e-02      1.0355e-03      2.4218e-04    1.474e+00     9.084e+02       5.32e+01    6.70e+00    7869 
    100.000     99.843         0.080      6084.913      6.1707e-02      2.1291e-02      1.3138e-03      3.0667e-04    1.866e+00     7.174e+02       6.74e+01    8.48e+00    9812 
    100.000     99.843         0.090      6084.913      6.1707e-02      2.5373e-02      1.5657e-03      3.6216e-04    2.204e+00     6.075e+02       7.96e+01    1.00e+01    11833 
    100.000     99.843         0.100      6084.913      6.1707e-02      3.0886e-02      1.9059e-03      4.3964e-04    2.675e+00     5.004e+02       9.66e+01    1.22e+01    14190 
    100.000     99.843         0.150      6084.913      6.1707e-02      5.0998e-02      3.1470e-03      7.0321e-04    4.279e+00     3.129e+02       1.54e+02    1.94e+01    23354 
    100.000     99.843         0.200      6084.913      6.1707e-02      6.7104e-02      4.1408e-03      8.8856e-04    5.407e+00     2.476e+02       1.95e+02    2.46e+01    30928 
    100.000     99.843         0.250      6084.913      6.1707e-02      7.6509e-02      4.7212e-03      9.8288e-04    5.981e+00     2.238e+02       2.16e+02    2.72e+01    36341 
    100.000     99.843         0.300      6084.913      6.1707e-02      8.3493e-02      5.1521e-03      1.0385e-03    6.319e+00     2.118e+02       2.28e+02    2.87e+01    40530 
    100.000     99.843         0.400      6084.913      6.1707e-02      9.0713e-02      5.5976e-03      1.0671e-03    6.493e+00     2.062e+02       2.34e+02    2.95e+01    46526 
    100.000     99.843         0.500      6084.913      6.1707e-02      9.1191e-02      5.6272e-03      1.0223e-03    6.221e+00     2.152e+02       2.25e+02    2.83e+01    49495 
    100.000     99.843         0.600      6084.913      6.1707e-02      9.0332e-02      5.5741e-03      9.8064e-04    5.967e+00     2.243e+02       2.15e+02    2.71e+01    51537 
    100.000     99.843         0.700      6084.913      6.1707e-02      8.7666e-02      5.4096e-03      9.1381e-04    5.560e+00     2.408e+02       2.01e+02    2.53e+01    53092 
    100.000     99.843         0.800      6084.913      6.1707e-02      8.5619e-02      5.2833e-03      8.7332e-04    5.314e+00     2.519e+02       1.92e+02    2.42e+01    54254 
    100.000     99.843         0.900      6084.913      6.1707e-02      8.1832e-02      5.0496e-03      8.1135e-04    4.937e+00     2.712e+02       1.78e+02    2.24e+01    54907 
    100.000     99.843         1.000      6084.913      6.1707e-02      7.8373e-02      4.8362e-03      7.6123e-04    4.632e+00     2.890e+02       1.67e+02    2.11e+01    55302 
    100.000     99.843         1.500      6084.913      6.1707e-02      6.5021e-02      4.0122e-03      5.9251e-04    3.605e+00     3.713e+02       1.30e+02    1.64e+01    56898 
    100.000     99.843         2.000      6084.913      6.1707e-02      5.4806e-02      3.3819e-03      4.7276e-04    2.877e+00     4.653e+02       1.04e+02    1.31e+01    57336 
