 C_Mass(GeV)   N_Mass(GeV)    tau(ns)    Init_xs(fb)     EAxEE          TAxTE         EAxEExTAxTE      total_eff     xs100(fb)     xslim(fb)         Ntr          r       MCev 
   100.000     99.843         0.010      818.184      7.3089e-02      8.0298e-05      5.8689e-06      1.7534e-06    1.435e-03     1.255e+05       5.18e-02    6.52e-03    567 
    100.000     99.843         0.015      818.184      7.3089e-02      3.5086e-04      2.5644e-05      7.8342e-06    6.410e-03     2.808e+04       2.31e-01    2.91e-02    2385 
    100.000     99.843         0.020      818.184      7.3089e-02      9.8749e-04      7.2174e-05      2.1279e-05    1.741e-02     1.034e+04       6.29e-01    7.91e-02    6389 
    100.000     99.843         0.025      818.184      7.3089e-02      2.0061e-03      1.4662e-04      4.2505e-05    3.478e-02     5.176e+03       1.26e+00    1.58e-01    12803 
    100.000     99.843         0.030      818.184      7.3089e-02      3.5441e-03      2.5904e-04      7.4780e-05    6.118e-02     2.942e+03       2.21e+00    2.78e-01    21886 
    100.000     99.843         0.040      818.184      7.3089e-02      7.6785e-03      5.6122e-04      1.5835e-04    1.296e-01     1.389e+03       4.68e+00    5.89e-01    45507 
    100.000     99.843         0.050      818.184      7.3089e-02      1.3080e-02      9.5600e-04      2.6821e-04    2.194e-01     8.203e+02       7.92e+00    9.97e-01    75647 
    100.000     99.843         0.060      818.184      7.3089e-02      1.9014e-02      1.3897e-03      3.8479e-04    3.148e-01     5.717e+02       1.14e+01    1.43e+00    107860 
    100.000     99.843         0.070      818.184      7.3089e-02      2.5056e-02      1.8313e-03      5.0136e-04    4.102e-01     4.388e+02       1.48e+01    1.86e+00    141516 
    100.000     99.843         0.080      818.184      7.3089e-02      3.1277e-02      2.2860e-03      6.2278e-04    5.095e-01     3.533e+02       1.84e+01    2.32e+00    175707 
    100.000     99.843         0.090      818.184      7.3089e-02      3.7149e-02      2.7152e-03      7.3337e-04    6.000e-01     3.000e+02       2.17e+01    2.73e+00    209284 
    100.000     99.843         0.100      818.184      7.3089e-02      4.2773e-02      3.1263e-03      8.4115e-04    6.882e-01     2.615e+02       2.48e+01    3.13e+00    240928 
    100.000     99.843         0.150      818.184      7.3089e-02      6.5126e-02      4.7600e-03      1.2456e-03    1.019e+00     1.766e+02       3.68e+01    4.63e+00    376995 
    100.000     99.843         0.200      818.184      7.3089e-02      7.9334e-02      5.7984e-03      1.4798e-03    1.211e+00     1.487e+02       4.37e+01    5.50e+00    475191 
    100.000     99.843         0.250      818.184      7.3089e-02      8.7312e-02      6.3815e-03      1.5891e-03    1.300e+00     1.384e+02       4.69e+01    5.91e+00    545114 
    100.000     99.843         0.300      818.184      7.3089e-02      9.1427e-02      6.6823e-03      1.6324e-03    1.336e+00     1.348e+02       4.82e+01    6.07e+00    594816 
    100.000     99.843         0.400      818.184      7.3089e-02      9.3658e-02      6.8454e-03      1.6092e-03    1.317e+00     1.367e+02       4.75e+01    5.98e+00    658628 
    100.000     99.843         0.500      818.184      7.3089e-02      9.2009e-02      6.7248e-03      1.5270e-03    1.249e+00     1.441e+02       4.51e+01    5.68e+00    696730 
    100.000     99.843         0.600      818.184      7.3089e-02      8.8480e-02      6.4669e-03      1.4310e-03    1.171e+00     1.537e+02       4.23e+01    5.32e+00    720206 
    100.000     99.843         0.700      818.184      7.3089e-02      8.4430e-02      6.1709e-03      1.3372e-03    1.094e+00     1.645e+02       3.95e+01    4.97e+00    735062 
    100.000     99.843         0.800      818.184      7.3089e-02      8.0764e-02      5.9029e-03      1.2544e-03    1.026e+00     1.754e+02       3.71e+01    4.67e+00    745573 
    100.000     99.843         0.900      818.184      7.3089e-02      7.6480e-02      5.5898e-03      1.1673e-03    9.551e-01     1.885e+02       3.45e+01    4.34e+00    752599 
    100.000     99.843         1.000      818.184      7.3089e-02      7.3273e-02      5.3555e-03      1.1022e-03    9.018e-01     1.996e+02       3.26e+01    4.10e+00    757736 
    100.000     99.843         1.500      818.184      7.3089e-02      5.8724e-02      4.2921e-03      8.3687e-04    6.847e-01     2.629e+02       2.47e+01    3.11e+00    768937 
    100.000     99.843         2.000      818.184      7.3089e-02      4.8590e-02      3.5514e-03      6.7025e-04    5.484e-01     3.282e+02       1.98e+01    2.49e+00    771428 
    100.000     99.843         2.500      818.184      7.3089e-02      4.1252e-02      3.0151e-03      5.5546e-04    4.545e-01     3.961e+02       1.64e+01    2.07e+00    770842 
    100.000     99.843         3.000      818.184      7.3089e-02      3.5840e-02      2.6195e-03      4.7403e-04    3.878e-01     4.641e+02       1.40e+01    1.76e+00    770385 
    100.000     99.843         4.000      818.184      7.3089e-02      2.8508e-02      2.0836e-03      3.6880e-04    3.017e-01     5.965e+02       1.09e+01    1.37e+00    769228 
    100.000     99.843         5.000      818.184      7.3089e-02      2.3660e-02      1.7292e-03      3.0199e-04    2.471e-01     7.285e+02       8.92e+00    1.12e+00    768027 
    100.000     99.843         6.000      818.184      7.3089e-02      2.0165e-02      1.4739e-03      2.5256e-04    2.066e-01     8.711e+02       7.46e+00    9.39e-01    766994 
    100.000     99.843         7.000      818.184      7.3089e-02      1.7559e-02      1.2834e-03      2.1968e-04    1.797e-01     1.001e+03       6.49e+00    8.17e-01    766561 
    100.000     99.843         8.000      818.184      7.3089e-02      1.5652e-02      1.1440e-03      1.9452e-04    1.592e-01     1.131e+03       5.75e+00    7.23e-01    765820 
    100.000     99.843         9.000      818.184      7.3089e-02      1.4084e-02      1.0294e-03      1.7484e-04    1.431e-01     1.258e+03       5.16e+00    6.50e-01    765356 
    100.000     99.843         10.000      818.184     7.3089e-02      1.2841e-02      9.3851e-04      1.5802e-04    1.293e-01     1.392e+03       4.67e+00    5.88e-01    764924 
    200.000     199.843         0.010      61.753      1.6721e-01      1.8725e-06      3.1310e-07      7.8675e-08    4.858e-06     2.796e+06       1.75e-04    2.21e-05    81 
    200.000     199.843         0.015      61.753      1.6721e-01      3.1124e-05      5.2042e-06      1.3584e-06    8.389e-05     1.619e+05       3.03e-03    3.81e-04    951 
    200.000     199.843         0.020      61.753      1.6721e-01      1.5611e-04      2.6102e-05      6.7145e-06    4.146e-04     3.276e+04       1.50e-02    1.88e-03    3879 
    200.000     199.843         0.025      61.753      1.6721e-01      4.4304e-04      7.4079e-05      1.8848e-05    1.164e-03     1.167e+04       4.20e-02    5.29e-03    9761 
    200.000     199.843         0.030      61.753      1.6721e-01      9.6377e-04      1.6115e-04      4.0476e-05    2.500e-03     5.435e+03       9.02e-02    1.14e-02    19431 
    200.000     199.843         0.040      61.753      1.6721e-01      2.7682e-03      4.6287e-04      1.1486e-04    7.093e-03     1.915e+03       2.56e-01    3.22e-02    50593 
    200.000     199.843         0.050      61.753      1.6721e-01      5.5817e-03      9.3330e-04      2.2966e-04    1.418e-02     9.579e+02       5.12e-01    6.45e-02    96124 
    200.000     199.843         0.060      61.753      1.6721e-01      9.2630e-03      1.5488e-03      3.7978e-04    2.345e-02     5.793e+02       8.47e-01    1.07e-01    152614 
    200.000     199.843         0.070      61.753      1.6721e-01      1.3506e-02      2.2584e-03      5.5019e-04    3.398e-02     3.999e+02       1.23e+00    1.54e-01    217278 
    200.000     199.843         0.080      61.753      1.6721e-01      1.8086e-02      3.0241e-03      7.3543e-04    4.541e-02     2.991e+02       1.64e+00    2.06e-01    285884 
    200.000     199.843         0.090      61.753      1.6721e-01      2.2939e-02      3.8356e-03      9.2869e-04    5.735e-02     2.369e+02       2.07e+00    2.61e-01    358529 
    200.000     199.843         0.100      61.753      1.6721e-01      2.7897e-02      4.6646e-03      1.1253e-03    6.949e-02     1.955e+02       2.51e+00    3.16e-01    432561 
    200.000     199.843         0.150      61.753      1.6721e-01      5.0274e-02      8.4062e-03      2.0111e-03    1.242e-01     1.094e+02       4.48e+00    5.65e-01    783707 
    200.000     199.843         0.200      61.753      1.6721e-01      6.7349e-02      1.1261e-02      2.6793e-03    1.655e-01     8.211e+01       5.97e+00    7.52e-01    1079963 
    200.000     199.843         0.250      61.753      1.6721e-01      7.9191e-02      1.3241e-02      3.1364e-03    1.937e-01     7.014e+01       6.99e+00    8.80e-01    1317225 
    200.000     199.843         0.300      61.753      1.6721e-01      8.7113e-02      1.4566e-02      3.4341e-03    2.121e-01     6.406e+01       7.66e+00    9.64e-01    1507245 
    200.000     199.843         0.400      61.753      1.6721e-01      9.4996e-02      1.5884e-02      3.7107e-03    2.292e-01     5.929e+01       8.27e+00    1.04e+00    1779798 
    200.000     199.843         0.500      61.753      1.6721e-01      9.7273e-02      1.6265e-02      3.7666e-03    2.326e-01     5.841e+01       8.40e+00    1.06e+00    1963612 
    200.000     199.843         0.600      61.753      1.6721e-01      9.6495e-02      1.6135e-02      3.7057e-03    2.288e-01     5.937e+01       8.26e+00    1.04e+00    2088385 
    200.000     199.843         0.700      61.753      1.6721e-01      9.4175e-02      1.5747e-02      3.5888e-03    2.216e-01     6.130e+01       8.00e+00    1.01e+00    2175553 
    200.000     199.843         0.800      61.753      1.6721e-01      9.1221e-02      1.5253e-02      3.4522e-03    2.132e-01     6.373e+01       7.70e+00    9.69e-01    2241165 
    200.000     199.843         0.900      61.753      1.6721e-01      8.8139e-02      1.4737e-02      3.3141e-03    2.047e-01     6.638e+01       7.39e+00    9.30e-01    2291353 
    200.000     199.843         1.000      61.753      1.6721e-01      8.4951e-02      1.4204e-02      3.1742e-03    1.960e-01     6.931e+01       7.08e+00    8.91e-01    2330062 
    200.000     199.843         1.500      61.753      1.6721e-01      7.0030e-02      1.1709e-02      2.5542e-03    1.577e-01     8.613e+01       5.69e+00    7.17e-01    2427335 
    200.000     199.843         2.000      61.753      1.6721e-01      5.9112e-02      9.8839e-03      2.1206e-03    1.310e-01     1.037e+02       4.73e+00    5.95e-01    2465461 
    200.000     199.843         2.500      61.753      1.6721e-01      5.0984e-02      8.5249e-03      1.8069e-03    1.116e-01     1.218e+02       4.03e+00    5.07e-01    2480815 
    200.000     199.843         3.000      61.753      1.6721e-01      4.4623e-02      7.4613e-03      1.5673e-03    9.678e-02     1.404e+02       3.49e+00    4.40e-01    2489392 
    200.000     199.843         4.000      61.753      1.6721e-01      3.5817e-02      5.9889e-03      1.2397e-03    7.656e-02     1.775e+02       2.76e+00    3.48e-01    2494473 
    200.000     199.843         5.000      61.753      1.6721e-01      2.9798e-02      4.9824e-03      1.0218e-03    6.310e-02     2.153e+02       2.28e+00    2.87e-01    2495035 
    200.000     199.843         6.000      61.753      1.6721e-01      2.5571e-02      4.2756e-03      8.7105e-04    5.379e-02     2.526e+02       1.94e+00    2.44e-01    2495529 
    200.000     199.843         7.000      61.753      1.6721e-01      2.2398e-02      3.7451e-03      7.5912e-04    4.688e-02     2.898e+02       1.69e+00    2.13e-01    2493894 
    200.000     199.843         8.000      61.753      1.6721e-01      1.9952e-02      3.3361e-03      6.7398e-04    4.162e-02     3.264e+02       1.50e+00    1.89e-01    2492986 
    200.000     199.843         9.000      61.753      1.6721e-01      1.7976e-02      3.0057e-03      6.0510e-04    3.737e-02     3.636e+02       1.35e+00    1.70e-01    2492174 
    200.000     199.843         10.000     61.753      1.6721e-01      1.6303e-02      2.7260e-03      5.4716e-04    3.379e-02     4.021e+02       1.22e+00    1.54e-01    2490662 
    300.000     299.843         0.010      12.279      1.6075e-01      1.0069e-06      1.6187e-07      7.1905e-08    8.829e-07     3.060e+06       3.19e-05    4.01e-06    23 
