txName: THSCPM1b
constraint: [[],[]]
condition: None
susyProcess: pp --> stau stau, stau stau --> stau stau
figureUrl: None
dataUrl: None
source: SModelS
validated: True
axes: [[x], [x]]
finalState: ['HSCP', 'HSCP']
efficiencyMap: [[[[2.2000E+03*GeV],[2.2000E+03*GeV]],0.045977],
[[[1.2500E+03*GeV],[1.2500E+03*GeV]],0.47146],
[[[2.0000E+02*GeV],[2.0000E+02*GeV]],0.0],
[[[1.0500E+03*GeV],[1.0500E+03*GeV]],0.57441],
[[[2.0000E+03*GeV],[2.0000E+03*GeV]],0.091786],
[[[9.5000E+02*GeV],[9.5000E+02*GeV]],0.61708],
[[[2.4000E+03*GeV],[2.4000E+03*GeV]],0.02881],
[[[1.9000E+03*GeV],[1.9000E+03*GeV]],0.12934],
[[[4.0000E+02*GeV],[4.0000E+02*GeV]],0.52858],
[[[1.4500E+03*GeV],[1.4500E+03*GeV]],0.27356],
[[[6.0000E+02*GeV],[6.0000E+02*GeV]],0.6371],
[[[2.6000E+03*GeV],[2.6000E+03*GeV]],0.02099],
[[[1.1500E+03*GeV],[1.1500E+03*GeV]],0.5207],
[[[1.0000E+02*GeV],[1.0000E+02*GeV]],0.0],
[[[3.0000E+02*GeV],[3.0000E+02*GeV]],0.0],
[[[1.3500E+03*GeV],[1.3500E+03*GeV]],0.37037],
[[[7.0000E+02*GeV],[7.0000E+02*GeV]],0.65579],
[[[1.8000E+03*GeV],[1.8000E+03*GeV]],0.17666],
[[[8.5000E+02*GeV],[8.5000E+02*GeV]],0.64751],
[[[5.0000E+02*GeV],[5.0000E+02*GeV]],0.60152],
[[[9.0000E+02*GeV],[9.0000E+02*GeV]],0.63707],
[[[3.0000E+03*GeV],[3.0000E+03*GeV]],0.0055595],
[[[4.5000E+02*GeV],[4.5000E+02*GeV]],0.56317],
[[[5.0000E+01*GeV],[5.0000E+01*GeV]],0.0],
[[[1.4000E+03*GeV],[1.4000E+03*GeV]],0.31412],
[[[1.6000E+03*GeV],[1.6000E+03*GeV]],0.22622],
[[[6.5000E+02*GeV],[6.5000E+02*GeV]],0.65396],
[[[1.2000E+03*GeV],[1.2000E+03*GeV]],0.49629],
[[[2.5000E+02*GeV],[2.5000E+02*GeV]],0.0],
[[[1.0000E+03*GeV],[1.0000E+03*GeV]],0.59716],
[[[7.5000E+02*GeV],[7.5000E+02*GeV]],0.65696],
[[[1.7000E+03*GeV],[1.7000E+03*GeV]],0.21181],
[[[8.0000E+02*GeV],[8.0000E+02*GeV]],0.65758],
[[[1.5000E+03*GeV],[1.5000E+03*GeV]],0.24805],
[[[2.8000E+03*GeV],[2.8000E+03*GeV]],0.012733],
[[[5.5000E+02*GeV],[5.5000E+02*GeV]],0.61549],
[[[1.1000E+03*GeV],[1.1000E+03*GeV]],0.55104],
[[[1.5000E+02*GeV],[1.5000E+02*GeV]],0.0],
[[[3.5000E+03*GeV],[3.5000E+03*GeV]],6.1312e-05],
[[[3.5000E+02*GeV],[3.5000E+02*GeV]],0.4861],
[[[1.3000E+03*GeV],[1.3000E+03*GeV]],0.42697]]
