#Data digitized from
#http://cms-results.web.cern.ch/cms-results/public-results/publications/SUS-19-009/CMS-SUS-19-009_Figure_006.pdf
#using PDFLimitReader
# stop mass (GeV)     LSP mass (GeV)
     1.5531339e+02     0.0000000e+00
     1.6625905e+02     1.2269665e+01
     1.8422671e+02     2.1045158e+01
     1.8968984e+02     2.8170109e+01
     1.9980753e+02     3.1324237e+01
     2.0633293e+02     3.4973645e+01
     2.1168384e+02     3.4278477e+01
     2.1324995e+02     2.5763191e+01
     2.1217385e+02     1.6765930e+01
     2.0764697e+02     0.0000000e+00
     5.4874091e+02     4.8539911e+02
     5.5282814e+02     4.9027209e+02
     5.7325767e+02     5.0489101e+02
     5.8347244e+02     5.0976398e+02
     5.9368721e+02     5.1950993e+02
     6.0185837e+02     5.3169237e+02
     6.1207313e+02     5.3656534e+02
     6.2433151e+02     5.3900183e+02
     6.3045906e+02     5.3412886e+02
     6.3572440e+02     5.2291037e+02
     6.3722174e+02     5.0717965e+02
     6.3287124e+02     4.9318168e+02
     6.2228790e+02     4.7808965e+02
     6.2024429e+02     4.7321668e+02
     6.2024429e+02     4.7078019e+02
     6.2079715e+02     4.7030117e+02
     6.3287124e+02     4.7030117e+02
     6.3658989e+02     4.7078019e+02
     6.4067383e+02     4.7321668e+02
     6.4680466e+02     4.7808965e+02
     6.5497582e+02     4.8539911e+02
     6.6314698e+02     4.9027209e+02
     6.7540536e+02     4.9270857e+02
     6.8357651e+02     4.9514506e+02
     6.9787850e+02     5.0001803e+02
     7.1218050e+02     5.0489101e+02
     7.2443888e+02     5.0732750e+02
     7.3465364e+02     5.1463696e+02
     7.4282480e+02     5.2438291e+02
     7.5099596e+02     5.3169237e+02
     7.5916711e+02     5.3900183e+02
     7.7142549e+02     5.4631129e+02
     7.8981142e+02     5.5605724e+02
     8.0820063e+02     5.6580023e+02
     8.2454295e+02     5.7310969e+02
     8.4701609e+02     5.8285564e+02
     8.8174762e+02     5.9503808e+02
     9.0217716e+02     6.0234754e+02
     9.2260669e+02     6.0722052e+02
     9.6346577e+02     6.0965700e+02
     9.9819730e+02     6.0965700e+02
     1.0267980e+03     6.0478403e+02
     1.0492711e+03     5.9991105e+02
     1.0819591e+03     5.8772862e+02
     1.1003450e+03     5.7310969e+02
     1.1207745e+03     5.4631129e+02
     1.1412073e+03     5.2681939e+02
     1.1575497e+03     4.9758155e+02
     1.1677644e+03     4.7078019e+02
     1.1820664e+03     4.3667232e+02
     1.1922812e+03     4.0987096e+02
     1.2004523e+03     3.6601419e+02
     1.2024959e+03     3.5139823e+02
     1.2106671e+03     3.0266848e+02
     1.2167947e+03     2.6368469e+02
     1.2188383e+03     2.4175926e+02
     1.2208819e+03     2.1008493e+02
     1.2229255e+03     1.8572005e+02
     1.2249691e+03     1.5891870e+02
     1.2249691e+03     1.3212029e+02
     1.2249691e+03     9.0700011e+01
     1.2270094e+03     5.1717694e+01
     1.2270094e+03     2.2480734e+01
     1.2290530e+03     5.5294067e-01
     1.2290530e+03     0.0000000e+00
