#Data digitized from
#http://cms-results.web.cern.ch/cms-results/public-results/publications/SUS-19-009/CMS-SUS-19-009_Figure_007.pdf
#using PDFLimitReader
# stop mass (GeV)     LSP mass (GeV)            UL (pb)
     2.0000000e+02     0.0000000e+00     9.5585523e+00
     2.2500000e+02     0.0000000e+00     9.5585523e+00
     2.5000000e+02     0.0000000e+00     9.5585523e+00
     2.7500000e+02     0.0000000e+00     5.8169927e+00
     3.0000000e+02     0.0000000e+00     2.8246979e+00
     3.2500000e+02     0.0000000e+00     1.3716569e+00
     3.5000000e+02     0.0000000e+00     6.3667056e-01
     3.7500000e+02     0.0000000e+00     3.5400771e-01
     4.0000000e+02     0.0000000e+00     1.9683878e-01
     4.2500000e+02     0.0000000e+00     1.3111045e-01
     4.5000000e+02     0.0000000e+00     8.7332463e-02
     4.7500000e+02     0.0000000e+00     6.0856443e-02
     5.0000000e+02     0.0000000e+00     4.2408138e-02
     5.2500000e+02     0.0000000e+00     3.2344488e-02
     5.5000000e+02     0.0000000e+00     2.5808774e-02
     5.7500000e+02     0.0000000e+00     2.1544029e-02
     6.0000000e+02     0.0000000e+00     1.7984494e-02
     6.2500000e+02     0.0000000e+00     1.5013071e-02
     6.5000000e+02     0.0000000e+00     1.2532591e-02
     6.7500000e+02     0.0000000e+00     1.1450400e-02
     7.0000000e+02     0.0000000e+00     1.0461655e-02
     7.2500000e+02     0.0000000e+00     8.3477128e-03
     7.5000000e+02     0.0000000e+00     6.9684922e-03
     7.7500000e+02     0.0000000e+00     6.3667616e-03
     8.0000000e+02     0.0000000e+00     5.8169905e-03
     8.2500000e+02     0.0000000e+00     5.3148365e-03
     8.5000000e+02     0.0000000e+00     4.6415758e-03
     8.7500000e+02     0.0000000e+00     4.6415758e-03
     9.0000000e+02     0.0000000e+00     4.2407749e-03
     9.2500000e+02     0.0000000e+00     3.8746883e-03
     9.5000000e+02     0.0000000e+00     3.5401082e-03
     9.7500000e+02     0.0000000e+00     3.3838594e-03
     1.0000000e+03     0.0000000e+00     3.0916625e-03
     1.0250000e+03     0.0000000e+00     2.9552066e-03
     1.0500000e+03     0.0000000e+00     2.7000240e-03
     1.0750000e+03     0.0000000e+00     2.7000240e-03
