txName: T1ttttoff
conditionDescription: None
condition: None
constraint: [[['b','W','b','W']],[['b','W','b','W']]]
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13004/T2ttRazorXSEC.pdf
dataUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13004/xsecUL_SMS_Razor.root
validated: True
axes: 2*Eq(mother,x)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[400.0*GeV, 0.0*GeV], [400.0*GeV, 0.0*GeV]], 0.61353*pb],
[[[400.0*GeV, 25.0*GeV], [400.0*GeV, 25.0*GeV]], 0.73914*pb],
[[[400.0*GeV, 50.0*GeV], [400.0*GeV, 50.0*GeV]], 0.94906*pb],
[[[400.0*GeV, 75.0*GeV], [400.0*GeV, 75.0*GeV]], 1.3104*pb],
[[[400.0*GeV, 100.0*GeV], [400.0*GeV, 100.0*GeV]], 1.9473*pb],
[[[400.0*GeV, 125.0*GeV], [400.0*GeV, 125.0*GeV]], 2.9599*pb],
[[[400.0*GeV, 150.0*GeV], [400.0*GeV, 150.0*GeV]], 4.3931*pb],
[[[400.0*GeV, 175.0*GeV], [400.0*GeV, 175.0*GeV]], 18.821*pb],
[[[425.0*GeV, 0.0*GeV], [425.0*GeV, 0.0*GeV]], 0.50751*pb],
[[[425.0*GeV, 25.0*GeV], [425.0*GeV, 25.0*GeV]], 0.60603*pb],
[[[425.0*GeV, 50.0*GeV], [425.0*GeV, 50.0*GeV]], 0.75814*pb],
[[[425.0*GeV, 75.0*GeV], [425.0*GeV, 75.0*GeV]], 1.0298*pb],
[[[425.0*GeV, 100.0*GeV], [425.0*GeV, 100.0*GeV]], 1.5072*pb],
[[[425.0*GeV, 125.0*GeV], [425.0*GeV, 125.0*GeV]], 2.3105*pb],
[[[425.0*GeV, 150.0*GeV], [425.0*GeV, 150.0*GeV]], 3.468*pb],
[[[425.0*GeV, 175.0*GeV], [425.0*GeV, 175.0*GeV]], 4.888*pb],
[[[425.0*GeV, 200.0*GeV], [425.0*GeV, 200.0*GeV]], 12.567*pb],
[[[450.0*GeV, 0.0*GeV], [450.0*GeV, 0.0*GeV]], 0.43229*pb],
[[[450.0*GeV, 25.0*GeV], [450.0*GeV, 25.0*GeV]], 0.4991*pb],
[[[450.0*GeV, 50.0*GeV], [450.0*GeV, 50.0*GeV]], 0.60376*pb],
[[[450.0*GeV, 75.0*GeV], [450.0*GeV, 75.0*GeV]], 0.78155*pb],
[[[450.0*GeV, 100.0*GeV], [450.0*GeV, 100.0*GeV]], 1.0961*pb],
[[[450.0*GeV, 125.0*GeV], [450.0*GeV, 125.0*GeV]], 1.6345*pb],
[[[450.0*GeV, 150.0*GeV], [450.0*GeV, 150.0*GeV]], 2.4523*pb],
[[[450.0*GeV, 175.0*GeV], [450.0*GeV, 175.0*GeV]], 3.4806*pb],
[[[450.0*GeV, 200.0*GeV], [450.0*GeV, 200.0*GeV]], 4.5044*pb],
[[[450.0*GeV, 225.0*GeV], [450.0*GeV, 225.0*GeV]], 6.3122*pb],
[[[475.0*GeV, 0.0*GeV], [475.0*GeV, 0.0*GeV]], 0.35459*pb],
[[[475.0*GeV, 25.0*GeV], [475.0*GeV, 25.0*GeV]], 0.41547*pb],
[[[475.0*GeV, 50.0*GeV], [475.0*GeV, 50.0*GeV]], 0.47645*pb],
[[[475.0*GeV, 75.0*GeV], [475.0*GeV, 75.0*GeV]], 0.58006*pb],
[[[475.0*GeV, 100.0*GeV], [475.0*GeV, 100.0*GeV]], 0.75369*pb],
[[[475.0*GeV, 125.0*GeV], [475.0*GeV, 125.0*GeV]], 1.0797*pb],
[[[475.0*GeV, 150.0*GeV], [475.0*GeV, 150.0*GeV]], 1.6078*pb],
[[[475.0*GeV, 175.0*GeV], [475.0*GeV, 175.0*GeV]], 2.3171*pb],
[[[475.0*GeV, 200.0*GeV], [475.0*GeV, 200.0*GeV]], 3.0872*pb],
[[[475.0*GeV, 225.0*GeV], [475.0*GeV, 225.0*GeV]], 3.8155*pb],
[[[475.0*GeV, 250.0*GeV], [475.0*GeV, 250.0*GeV]], 4.8638*pb],
[[[500.0*GeV, 0.0*GeV], [500.0*GeV, 0.0*GeV]], 0.29427*pb],
[[[500.0*GeV, 25.0*GeV], [500.0*GeV, 25.0*GeV]], 0.33333*pb],
[[[500.0*GeV, 50.0*GeV], [500.0*GeV, 50.0*GeV]], 0.37671*pb],
[[[500.0*GeV, 75.0*GeV], [500.0*GeV, 75.0*GeV]], 0.43745*pb],
[[[500.0*GeV, 100.0*GeV], [500.0*GeV, 100.0*GeV]], 0.53089*pb],
[[[500.0*GeV, 125.0*GeV], [500.0*GeV, 125.0*GeV]], 0.69156*pb],
[[[500.0*GeV, 150.0*GeV], [500.0*GeV, 150.0*GeV]], 1.0168*pb],
[[[500.0*GeV, 175.0*GeV], [500.0*GeV, 175.0*GeV]], 1.4807*pb],
[[[500.0*GeV, 200.0*GeV], [500.0*GeV, 200.0*GeV]], 2.0272*pb],
[[[500.0*GeV, 225.0*GeV], [500.0*GeV, 225.0*GeV]], 2.6297*pb],
[[[500.0*GeV, 250.0*GeV], [500.0*GeV, 250.0*GeV]], 3.2621*pb],
[[[500.0*GeV, 275.0*GeV], [500.0*GeV, 275.0*GeV]], 3.4155*pb],
[[[525.0*GeV, 0.0*GeV], [525.0*GeV, 0.0*GeV]], 0.2411*pb],
[[[525.0*GeV, 25.0*GeV], [525.0*GeV, 25.0*GeV]], 0.27397*pb],
