txName: T4tbWoff
conditionDescription: not yet assigned
condition: not yet assigned
constraint: not yet assigned
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS14011/T2tbHybridNew0Lp1Lp2LXSEC.pdf
validated: None
axes: Eq(mother,x)_Eq(inter0,y+5.0)_Eq(lsp,y)+Eq(mother,x)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[100.0*GeV, 5.0*GeV, 0.0*GeV], [100.0*GeV, 0.0*GeV]], 164.008232158*pb],
[[[125.0*GeV, 5.0*GeV, 0.0*GeV], [125.0*GeV, 0.0*GeV]], 137.454148095*pb],
[[[125.0*GeV, 30.0*GeV, 25.0*GeV], [125.0*GeV, 25.0*GeV]], 194.428298141*pb],
[[[150.0*GeV, 5.0*GeV, 0.0*GeV], [150.0*GeV, 0.0*GeV]], 99.0061046553*pb],
[[[150.0*GeV, 30.0*GeV, 25.0*GeV], [150.0*GeV, 25.0*GeV]], 162.627750418*pb],
[[[150.0*GeV, 55.0*GeV, 50.0*GeV], [150.0*GeV, 50.0*GeV]], 173.917051265*pb],
[[[175.0*GeV, 5.0*GeV, 0.0*GeV], [175.0*GeV, 0.0*GeV]], 54.0675859615*pb],
[[[175.0*GeV, 30.0*GeV, 25.0*GeV], [175.0*GeV, 25.0*GeV]], 79.3454153836*pb],
[[[175.0*GeV, 55.0*GeV, 50.0*GeV], [175.0*GeV, 50.0*GeV]], 104.329496417*pb],
[[[175.0*GeV, 80.0*GeV, 75.0*GeV], [175.0*GeV, 75.0*GeV]], 122.170170231*pb],
[[[200.0*GeV, 5.0*GeV, 0.0*GeV], [200.0*GeV, 0.0*GeV]], 25.438651551*pb],
[[[200.0*GeV, 30.0*GeV, 25.0*GeV], [200.0*GeV, 25.0*GeV]], 37.2982961577*pb],
[[[200.0*GeV, 55.0*GeV, 50.0*GeV], [200.0*GeV, 50.0*GeV]], 55.6769956646*pb],
[[[200.0*GeV, 80.0*GeV, 75.0*GeV], [200.0*GeV, 75.0*GeV]], 73.27063237*pb],
[[[200.0*GeV, 105.0*GeV, 100.0*GeV], [200.0*GeV, 100.0*GeV]], 88.6406097415*pb],
[[[225.0*GeV, 5.0*GeV, 0.0*GeV], [225.0*GeV, 0.0*GeV]], 11.0956562565*pb],
[[[225.0*GeV, 30.0*GeV, 25.0*GeV], [225.0*GeV, 25.0*GeV]], 15.3880549876*pb],
[[[225.0*GeV, 55.0*GeV, 50.0*GeV], [225.0*GeV, 50.0*GeV]], 26.7416584432*pb],
[[[225.0*GeV, 80.0*GeV, 75.0*GeV], [225.0*GeV, 75.0*GeV]], 39.8561639796*pb],
[[[225.0*GeV, 105.0*GeV, 100.0*GeV], [225.0*GeV, 100.0*GeV]], 52.348419237*pb],
[[[225.0*GeV, 130.0*GeV, 125.0*GeV], [225.0*GeV, 125.0*GeV]], 65.9753865433*pb],
[[[250.0*GeV, 5.0*GeV, 0.0*GeV], [250.0*GeV, 0.0*GeV]], 4.74976440524*pb],
[[[250.0*GeV, 30.0*GeV, 25.0*GeV], [250.0*GeV, 25.0*GeV]], 6.50848034885*pb],
[[[250.0*GeV, 55.0*GeV, 50.0*GeV], [250.0*GeV, 50.0*GeV]], 10.8783107061*pb],
[[[250.0*GeV, 80.0*GeV, 75.0*GeV], [250.0*GeV, 75.0*GeV]], 18.8379793851*pb],
[[[250.0*GeV, 105.0*GeV, 100.0*GeV], [250.0*GeV, 100.0*GeV]], 27.0088887531*pb],
[[[250.0*GeV, 130.0*GeV, 125.0*GeV], [250.0*GeV, 125.0*GeV]], 38.0903226136*pb],
[[[250.0*GeV, 155.0*GeV, 150.0*GeV], [250.0*GeV, 150.0*GeV]], 50.5898926551*pb],
