#            mhscp               ctau              width        SR1FULL_175
     5.0000000e+01      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.9732700e-22      1.0000000e+06      0.0000000e+00
     7.5000000e+01      1.0000000e+99      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.2500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.5000000e+02      1.0000000e+99      0.0000000e+00      2.5590081e-06
     1.5000000e+02      1.9732700e+06      1.0000000e-22      2.5590035e-06
     1.5000000e+02      6.1664687e+01      3.2000000e-18      2.3825127e-06
     1.5000000e+02      1.9732700e+01      1.0000000e-17      1.9173347e-06
     1.5000000e+02      4.2897174e+00      4.6000000e-17      4.1097138e-07
     1.5000000e+02      2.9018676e+00      6.8000000e-17      1.5628054e-07
     1.5000000e+02      1.9732700e+00      1.0000000e-16      4.1685136e-08
     1.5000000e+02      1.3155133e+00      1.5000000e-16      7.4466660e-09
     1.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.7500000e+02      1.0000000e+99      0.0000000e+00      8.2690054e-03
     1.7500000e+02      1.9732700e+03      1.0000000e-19      8.2389232e-03
     1.7500000e+02      6.1664687e+01      3.2000000e-18      7.3016302e-03
     1.7500000e+02      1.9732700e+01      1.0000000e-17      5.4059826e-03
     1.7500000e+02      6.1664687e+00      3.2000000e-17      1.8131623e-03
     1.7500000e+02      4.2897174e+00      4.6000000e-17      8.8687648e-04
     1.7500000e+02      2.9018676e+00      6.8000000e-17      2.9192974e-04
     1.7500000e+02      1.9732700e+00      1.0000000e-16      6.1724239e-05
     1.7500000e+02      1.3155133e+00      1.5000000e-16      7.1905256e-06
     1.7500000e+02      8.9694091e-01      2.2000000e-16      9.5717687e-07
     1.7500000e+02      6.1664687e-01      3.2000000e-16      1.9468801e-07
     1.7500000e+02      4.2897174e-01      4.6000000e-16      3.5382294e-08
     1.7500000e+02      2.9018676e-01      6.8000000e-16      3.7923900e-09
     1.7500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.0000000e+02      1.0000000e+99      0.0000000e+00      3.3200198e-02
     2.0000000e+02      3.9465400e+02      5.0000000e-19      3.2326647e-02
     2.0000000e+02      6.1664687e+01      3.2000000e-18      2.7968502e-02
     2.0000000e+02      1.9732700e+01      1.0000000e-17      1.9360215e-02
     2.0000000e+02      6.1664687e+00      3.2000000e-17      5.9151139e-03
     2.0000000e+02      4.2897174e+00      4.6000000e-17      2.8198740e-03
     2.0000000e+02      2.9018676e+00      6.8000000e-17      9.0453273e-04
     2.0000000e+02      1.9732700e+00      1.0000000e-16      1.8583271e-04
