#            mhscp               ctau              width        SR1FULL_600
     5.0000000e+01      1.0000000e+99      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.9732700e-22      1.0000000e+06      0.0000000e+00
     7.5000000e+01      1.0000000e+99      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.2500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     1.7500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     1.7500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     2.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.2500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     2.2500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.5000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     2.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     2.7500000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     2.7500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     3.0000000e+02      1.0000000e+99      0.0000000e+00      0.0000000e+00
     3.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     3.2500000e+02      1.0000000e+99      0.0000000e+00      3.0767904e-18
     3.2500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     3.5000000e+02      1.0000000e+99      0.0000000e+00      4.5469042e-14
     3.5000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     3.7500000e+02      1.0000000e+99      0.0000000e+00      7.9382929e-11
     3.7500000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     4.0000000e+02      1.0000000e+99      0.0000000e+00      1.9273500e-08
     4.0000000e+02      3.9465400e+02      5.0000000e-19      1.8690183e-08
     4.0000000e+02      6.1664687e+01      3.2000000e-18      1.5849923e-08
     4.0000000e+02      1.9732700e+01      1.0000000e-17      1.0546024e-08
     4.0000000e+02      1.3155133e+01      1.5000000e-17      7.8649707e-09
     4.0000000e+02      1.9732700e-22      1.0000000e+06      0.0000000e+00
     4.2500000e+02      1.0000000e+99      0.0000000e+00      1.1540956e-06
     4.2500000e+02      1.9732700e+02      1.0000000e-18      1.0854463e-06
     4.2500000e+02      3.5236964e+01      5.6000000e-18      8.2134070e-07
     4.2500000e+02      6.1664687e+00      3.2000000e-17      1.7975298e-07
     4.2500000e+02      4.2897174e+00      4.6000000e-17      8.3518948e-08
