Path: /HepData/8542/d48-x1-y1
Acceptance for slepL-mediated simplified model using SR0taua bin 20
Location: Auxiliary Figure 4A
RE : P P --> CHARGINO1+ NEUTRALINO2 X
RE : P P --> CHARGINO1- NEUTRALINO2 X
SQRT(S) : 8000.0 GeV
x : M(CHARGINO1) IN GEV
x2: M(NEUTRALINO1) IN GEV
y : Acceptance IN PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	112.5	112.5	112.5		12.5	12.5	12.5	0.015
	130.0	130.0	130.0		30.0	30.0	30.0	0.0025
	155.0	155.0	155.0		5.0	5.0	5.0	0.04
	150.0	150.0	150.0		50.0	50.0	50.0	0.0075
	175.0	175.0	175.0		25.0	25.0	25.0	0.1125
	175.0	175.0	175.0		75.0	75.0	75.0	0.01
	200.0	200.0	200.0		50.0	50.0	50.0	0.1225
	250.0	250.0	250.0		0.0	0.0	0.0	1.015
	225.0	225.0	225.0		125.0	125.0	125.0	0.0125
	250.0	250.0	250.0		100.0	100.0	100.0	0.2375
	300.0	300.0	300.0		50.0	50.0	50.0	1.66
	350.0	350.0	350.0		0.0	0.0	0.0	3.745
	300.0	300.0	300.0		200.0	200.0	200.0	0.03
	325.0	325.0	325.0		175.0	175.0	175.0	0.275
	375.0	375.0	375.0		125.0	125.0	125.0	2.47666667
	425.0	425.0	425.0		75.0	75.0	75.0	5.5401385
	500.0	500.0	500.0		0.0	0.0	0.0	9.0975
	425.0	425.0	425.0		325.0	325.0	325.0	0.0475
	450.0	450.0	450.0		300.0	300.0	300.0	0.4175
	500.0	500.0	500.0		250.0	250.0	250.0	3.1725
	550.0	550.0	550.0		200.0	200.0	200.0	7.105
	625.0	625.0	625.0		125.0	125.0	125.0	11.305
	750.0	750.0	750.0		0.0	0.0	0.0	14.8578714
	117.5	117.5	117.5		82.5	82.5	82.5	0.0025
	142.5	142.5	142.5		107.5	107.5	107.5	0.0025
	192.5	192.5	192.5		157.5	157.5	157.5	0.0075
	392.5	392.5	392.5		357.5	357.5	357.5	0.0075
	550.0	550.0	550.0		450.0	450.0	450.0	0.0625
	575.0	575.0	575.0		425.0	425.0	425.0	0.52
	625.0	625.0	625.0		375.0	375.0	375.0	3.645
	675.0	675.0	675.0		325.0	325.0	325.0	7.7775
	750.0	750.0	750.0		250.0	250.0	250.0	12.320308
	675.0	675.0	675.0		575.0	575.0	575.0	0.0625
	700.0	700.0	700.0		550.0	550.0	550.0	0.6675
	750.0	750.0	750.0		500.0	500.0	500.0	4.0075
	455.0	455.0	455.0		420.0	420.0	420.0	0.0025000625
	112.5	112.5	112.5		47.5	47.5	47.5	0.0075
	157.5	157.5	157.5		92.5	92.5	92.5	0.0025
	207.5	207.5	207.5		142.5	142.5	142.5	0.005
	282.5	282.5	282.5		217.5	217.5	217.5	0.02
	407.5	407.5	407.5		342.5	342.5	342.5	0.0125
	470.0	470.0	470.0		405.0	405.0	405.0	0.015
	532.5	532.5	532.5		467.5	467.5	467.5	0.0125
	562.5	562.5	562.5		312.5	312.5	312.5	3.445
	487.5	487.5	487.5		387.5	387.5	387.5	0.045
	512.5	512.5	512.5		362.5	362.5	362.5	0.5925
	612.5	612.5	612.5		262.5	262.5	262.5	7.5025
	800.0	800.0	800.0		450.0	450.0	450.0	8.11027569
	687.5	687.5	687.5		187.5	187.5	187.5	11.84
	875.0	875.0	875.0		375.0	375.0	375.0	12.95
	625.0	625.0	625.0		0.0	0.0	0.0	12.4525
	687.5	687.5	687.5		62.5	62.5	62.5	13.4639966
	750.0	750.0	750.0		125.0	125.0	125.0	14.475
	812.5	812.5	812.5		187.5	187.5	187.5	14.535
	812.5	812.5	812.5		62.5	62.5	62.5	15.6175
	875.0	875.0	875.0		125.0	125.0	125.0	16.1
	875.0	875.0	875.0		0.0	0.0	0.0	16.4629116

