Path: /HepData/8542/d54-x1-y1
Efficiency for stauL-mediated simplified model using SR2taua
Location: Auxiliary Figure 5C
RE : P P --> CHARGINO1+ NEUTRALINO2 X
RE : P P --> CHARGINO1- NEUTRALINO2 X
SQRT(S) : 8000.0 GeV
x : M(CHARGINO1) IN GEV
x2: M(NEUTRALINO1) IN GEV
y : Efficiency IN PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	100.0	100.0	100.0		0.0	0.0	0.0	6.98094347
	100.0	100.0	100.0		35.0	35.0	35.0	1.961934
	112.5	112.5	112.5		12.5	12.5	12.5	7.65073518
	130.0	130.0	130.0		30.0	30.0	30.0	4.90984468
	112.5	112.5	112.5		47.5	47.5	47.5	4.8635629
	150.0	150.0	150.0		50.0	50.0	50.0	9.14973237
	175.0	175.0	175.0		25.0	25.0	25.0	10.5465503
	200.0	200.0	200.0		0.0	0.0	0.0	13.5021296
	132.5	132.5	132.5		67.5	67.5	67.5	4.75215381
	175.0	175.0	175.0		75.0	75.0	75.0	9.06129037
	200.0	200.0	200.0		50.0	50.0	50.0	8.84906681
	225.0	225.0	225.0		25.0	25.0	25.0	9.88694349
	250.0	250.0	250.0		0.0	0.0	0.0	10.3270408
	157.5	157.5	157.5		92.5	92.5	92.5	6.36403508
	200.0	200.0	200.0		100.0	100.0	100.0	7.48025862
	225.0	225.0	225.0		75.0	75.0	75.0	12.5604778
	250.0	250.0	250.0		50.0	50.0	50.0	10.6284627
	275.0	275.0	275.0		25.0	25.0	25.0	11.1995481
	300.0	300.0	300.0		0.0	0.0	0.0	9.54386094
	167.5	167.5	167.5		132.5	132.5	132.5	6.50336068
	225.0	225.0	225.0		125.0	125.0	125.0	6.20198492
	250.0	250.0	250.0		100.0	100.0	100.0	9.63140254
	275.0	275.0	275.0		75.0	75.0	75.0	10.6121833
	300.0	300.0	300.0		50.0	50.0	50.0	9.96048933
	325.0	325.0	325.0		25.0	25.0	25.0	10.4845624
	350.0	350.0	350.0		0.0	0.0	0.0	10.668368
	207.5	207.5	207.5		142.5	142.5	142.5	5.66579758
	250.0	250.0	250.0		150.0	150.0	150.0	9.32625215
	275.0	275.0	275.0		125.0	125.0	125.0	7.66831491
	300.0	300.0	300.0		100.0	100.0	100.0	8.97575335
	325.0	325.0	325.0		75.0	75.0	75.0	9.33406795
	350.0	350.0	350.0		50.0	50.0	50.0	9.55851803
	375.0	375.0	375.0		25.0	25.0	25.0	9.427437
	400.0	400.0	400.0		0.0	0.0	0.0	10.8372247
	275.0	275.0	275.0		175.0	175.0	175.0	6.5844713
	300.0	300.0	300.0		150.0	150.0	150.0	9.37439496
	325.0	325.0	325.0		125.0	125.0	125.0	9.22805477
	350.0	350.0	350.0		100.0	100.0	100.0	9.70346476
	375.0	375.0	375.0		75.0	75.0	75.0	10.9634706
	400.0	400.0	400.0		50.0	50.0	50.0	10.2020366
	425.0	425.0	425.0		25.0	25.0	25.0	11.2710085
	450.0	450.0	450.0		0.0	0.0	0.0	9.78924426
	242.5	242.5	242.5		207.5	207.5	207.5	8.98513842
	300.0	300.0	300.0		200.0	200.0	200.0	7.84531082
	325.0	325.0	325.0		175.0	175.0	175.0	11.1373228
	350.0	350.0	350.0		150.0	150.0	150.0	8.39836023
	375.0	375.0	375.0		125.0	125.0	125.0	10.6010543
	400.0	400.0	400.0		100.0	100.0	100.0	10.4432524
	425.0	425.0	425.0		75.0	75.0	75.0	10.4240394
	450.0	450.0	450.0		50.0	50.0	50.0	9.74533292
	475.0	475.0	475.0		25.0	25.0	25.0	10.2412997
	500.0	500.0	500.0		0.0	0.0	0.0	11.1911698
	282.5	282.5	282.5		217.5	217.5	217.5	6.06818613
	387.5	387.5	387.5		237.5	237.5	237.5	8.11777836
	412.5	412.5	412.5		212.5	212.5	212.5	10.0959124
	437.5	437.5	437.5		187.5	187.5	187.5	11.2045189
	462.5	462.5	462.5		162.5	162.5	162.5	10.6897156
	487.5	487.5	487.5		137.5	137.5	137.5	11.5169076

