Path: /HepData/8542/d52-x1-y1
Efficiency for slepL-mediated simplified model using SR0taua bin 20
Location: Auxiliary Figure 5A
RE : P P --> CHARGINO1+ NEUTRALINO2 X
RE : P P --> CHARGINO1- NEUTRALINO2 X
SQRT(S) : 8000.0 GeV
x : M(CHARGINO1) IN GEV
x2: M(NEUTRALINO1) IN GEV
y : Efficiency IN PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	112.5	112.5	112.5		12.5	12.5	12.5	60.3102457
	155.0	155.0	155.0		5.0	5.0	5.0	61.3816497
	150.0	150.0	150.0		50.0	50.0	50.0	57.2904574
	175.0	175.0	175.0		25.0	25.0	25.0	61.9764738
	175.0	175.0	175.0		75.0	75.0	75.0	62.533855
	200.0	200.0	200.0		50.0	50.0	50.0	46.5831914
	250.0	250.0	250.0		0.0	0.0	0.0	57.8473852
	225.0	225.0	225.0		125.0	125.0	125.0	26.8169216
	250.0	250.0	250.0		100.0	100.0	100.0	51.684491
	300.0	300.0	300.0		50.0	50.0	50.0	60.039781
	350.0	350.0	350.0		0.0	0.0	0.0	53.1753732
	300.0	300.0	300.0		200.0	200.0	200.0	31.2109298
	325.0	325.0	325.0		175.0	175.0	175.0	45.8614056
	375.0	375.0	375.0		125.0	125.0	125.0	53.8903766
	425.0	425.0	425.0		75.0	75.0	75.0	53.2426805
	500.0	500.0	500.0		0.0	0.0	0.0	52.8227157
	425.0	425.0	425.0		325.0	325.0	325.0	20.5156945
	450.0	450.0	450.0		300.0	300.0	300.0	54.4525607
	500.0	500.0	500.0		250.0	250.0	250.0	56.4907839
	550.0	550.0	550.0		200.0	200.0	200.0	51.1094973
	625.0	625.0	625.0		125.0	125.0	125.0	51.8360963
	750.0	750.0	750.0		0.0	0.0	0.0	50.6891987
	192.5	192.5	192.5		157.5	157.5	157.5	16.6889419
	392.5	392.5	392.5		357.5	357.5	357.5	24.5356383
	550.0	550.0	550.0		450.0	450.0	450.0	24.4513313
	575.0	575.0	575.0		425.0	425.0	425.0	50.7310839
	625.0	625.0	625.0		375.0	375.0	375.0	51.2376835
	675.0	675.0	675.0		325.0	325.0	325.0	54.0118107
	750.0	750.0	750.0		250.0	250.0	250.0	51.4613881
	675.0	675.0	675.0		575.0	575.0	575.0	21.4320927
	700.0	700.0	700.0		550.0	550.0	550.0	33.6783066
	750.0	750.0	750.0		500.0	500.0	500.0	51.9802642
	112.5	112.5	112.5		47.5	47.5	47.5	51.4243219
	157.5	157.5	157.5		92.5	92.5	92.5	115.797119
	282.5	282.5	282.5		217.5	217.5	217.5	4.37336338
	407.5	407.5	407.5		342.5	342.5	342.5	57.539445
	470.0	470.0	470.0		405.0	405.0	405.0	75.1967254
	532.5	532.5	532.5		467.5	467.5	467.5	46.2179868
	562.5	562.5	562.5		312.5	312.5	312.5	56.3044504
	487.5	487.5	487.5		387.5	387.5	387.5	31.5386438
	512.5	512.5	512.5		362.5	362.5	362.5	43.645629
	612.5	612.5	612.5		262.5	262.5	262.5	53.4256391
	800.0	800.0	800.0		450.0	450.0	450.0	52.2998326
	687.5	687.5	687.5		187.5	187.5	187.5	51.077013
	875.0	875.0	875.0		375.0	375.0	375.0	48.6930433
	625.0	625.0	625.0		0.0	0.0	0.0	50.8708704
	687.5	687.5	687.5		62.5	62.5	62.5	49.9536817
	750.0	750.0	750.0		125.0	125.0	125.0	49.0417351
	812.5	812.5	812.5		187.5	187.5	187.5	49.2955622
	812.5	812.5	812.5		62.5	62.5	62.5	49.3775079
	875.0	875.0	875.0		125.0	125.0	125.0	48.6477768
	875.0	875.0	875.0		0.0	0.0	0.0	47.9290795

