Path: /HepData/8542/d51-x1-y1
Acceptance for Wh-mediated simplified model using SR2taub
Location: Auxiliary Figure 4D
RE : P P --> CHARGINO1+ NEUTRALINO2 X
RE : P P --> CHARGINO1- NEUTRALINO2 X
SQRT(S) : 8000.0 GeV
x : M(CHARGINO1) IN GEV
x2: M(NEUTRALINO1) IN GEV
y : Acceptance IN PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	130.0	130.0	130.0		0.0	0.0	0.0	0.0533231467
	140.0	140.0	140.0		10.0	10.0	10.0	0.0537334332
	150.0	150.0	150.0		0.0	0.0	0.0	0.063434681
	152.5	152.5	152.5		22.5	22.5	22.5	0.0608997573
	162.5	162.5	162.5		12.5	12.5	12.5	0.065369591
	175.0	175.0	175.0		0.0	0.0	0.0	0.0681961649
	165.0	165.0	165.0		35.0	35.0	35.0	0.0599522272
	175.0	175.0	175.0		25.0	25.0	25.0	0.0766619793
	187.5	187.5	187.5		12.5	12.5	12.5	0.0806436177
	200.0	200.0	200.0		0.0	0.0	0.0	0.0944919475
	177.5	177.5	177.5		47.5	47.5	47.5	0.0609954182
	187.5	187.5	187.5		37.5	37.5	37.5	0.077945741
	200.0	200.0	200.0		25.0	25.0	25.0	0.0918450798
	190.0	190.0	190.0		60.0	60.0	60.0	0.0645117693
	200.0	200.0	200.0		50.0	50.0	50.0	0.0807749634

