Path: /HepData/8542/d50-x1-y1
Acceptance for stauL-mediated simplified model using SR2taua
Location: Auxiliary Figure 4C
RE : P P --> CHARGINO1+ NEUTRALINO2 X
RE : P P --> CHARGINO1- NEUTRALINO2 X
SQRT(S) : 8000.0 GeV
x : M(CHARGINO1) IN GEV
x2: M(NEUTRALINO1) IN GEV
y : Acceptance IN PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	100.0	100.0	100.0		0.0	0.0	0.0	0.11154405
	100.0	100.0	100.0		35.0	35.0	35.0	0.052254
	100.0	100.0	100.0		65.0	65.0	65.0	0.009082
	112.5	112.5	112.5		12.5	12.5	12.5	0.1243934
	130.0	130.0	130.0		30.0	30.0	30.0	0.2057957
	112.5	112.5	112.5		47.5	47.5	47.5	0.0567272
	150.0	150.0	150.0		50.0	50.0	50.0	0.2352169
	175.0	175.0	175.0		25.0	25.0	25.0	0.62711115
	200.0	200.0	200.0		0.0	0.0	0.0	1.00579695
	117.5	117.5	117.5		82.5	82.5	82.5	0.005006
	132.5	132.5	132.5		67.5	67.5	67.5	0.07161825
	175.0	175.0	175.0		75.0	75.0	75.0	0.2836236
	200.0	200.0	200.0		50.0	50.0	50.0	0.704522
	225.0	225.0	225.0		25.0	25.0	25.0	1.4392873
	250.0	250.0	250.0		0.0	0.0	0.0	2.272298
	142.5	142.5	142.5		107.5	107.5	107.5	0.00473715
	157.5	157.5	157.5		92.5	92.5	92.5	0.0767032
	200.0	200.0	200.0		100.0	100.0	100.0	0.2555829
	225.0	225.0	225.0		75.0	75.0	75.0	0.75560835
	250.0	250.0	250.0		50.0	50.0	50.0	1.8091267
	275.0	275.0	275.0		25.0	25.0	25.0	2.8374258
	300.0	300.0	300.0		0.0	0.0	0.0	3.9074688
	167.5	167.5	167.5		132.5	132.5	132.5	0.0102733
	182.5	182.5	182.5		117.5	117.5	117.5	0.0597786
	225.0	225.0	225.0		125.0	125.0	125.0	0.278092
	250.0	250.0	250.0		100.0	100.0	100.0	1.0095694
	275.0	275.0	275.0		75.0	75.0	75.0	2.00034
	300.0	300.0	300.0		50.0	50.0	50.0	3.34388785
	325.0	325.0	325.0		25.0	25.0	25.0	4.6480805
	350.0	350.0	350.0		0.0	0.0	0.0	5.5104633
	192.5	192.5	192.5		157.5	157.5	157.5	0.0065898
	207.5	207.5	207.5		142.5	142.5	142.5	0.0821598
	250.0	250.0	250.0		150.0	150.0	150.0	0.307448
	275.0	275.0	275.0		125.0	125.0	125.0	1.09360275
	300.0	300.0	300.0		100.0	100.0	100.0	2.2331073
	325.0	325.0	325.0		75.0	75.0	75.0	3.64730625
	350.0	350.0	350.0		50.0	50.0	50.0	5.05584205
	375.0	375.0	375.0		25.0	25.0	25.0	6.1560352
	400.0	400.0	400.0		0.0	0.0	0.0	6.93066465
	217.5	217.5	217.5		182.5	182.5	182.5	0.00713245
	232.5	232.5	232.5		167.5	167.5	167.5	0.0710941
	275.0	275.0	275.0		175.0	175.0	175.0	0.295603
	300.0	300.0	300.0		150.0	150.0	150.0	1.1390544
	325.0	325.0	325.0		125.0	125.0	125.0	2.5845696
	350.0	350.0	350.0		100.0	100.0	100.0	4.1591705
	375.0	375.0	375.0		75.0	75.0	75.0	5.3843012
	400.0	400.0	400.0		50.0	50.0	50.0	6.730867
	425.0	425.0	425.0		25.0	25.0	25.0	7.3187255
	450.0	450.0	450.0		0.0	0.0	0.0	8.20910475
	242.5	242.5	242.5		207.5	207.5	207.5	0.0075684
	257.5	257.5	257.5		192.5	192.5	192.5	0.07268
	300.0	300.0	300.0		200.0	200.0	200.0	0.33145785
	325.0	325.0	325.0		175.0	175.0	175.0	1.19275975
	350.0	350.0	350.0		150.0	150.0	150.0	2.66512566
	375.0	375.0	375.0		125.0	125.0	125.0	4.2074682
	400.0	400.0	400.0		100.0	100.0	100.0	5.87013795
	425.0	425.0	425.0		75.0	75.0	75.0	7.08681285
	450.0	450.0	450.0		50.0	50.0	50.0	8.03819785
	475.0	475.0	475.0		25.0	25.0	25.0	8.900076
	500.0	500.0	500.0		0.0	0.0	0.0	9.72477
	267.5	267.5	267.5		232.5	232.5	232.5	0.0064368
	282.5	282.5	282.5		217.5	217.5	217.5	0.0767416
	387.5	387.5	387.5		237.5	237.5	237.5	1.2979197
	412.5	412.5	412.5		212.5	212.5	212.5	3.0258455
	437.5	437.5	437.5		187.5	187.5	187.5	4.92194595
	462.5	462.5	462.5		162.5	162.5	162.5	6.6091682
	487.5	487.5	487.5		137.5	137.5	137.5	8.01355335

