Path: /HepData/8542/d55-x1-y1
Efficiency for Wh-mediated simplified model using SR2taub
Location: Auxiliary Figure 5D
RE : P P --> CHARGINO1+ NEUTRALINO2 X
RE : P P --> CHARGINO1- NEUTRALINO2 X
SQRT(S) : 8000.0 GeV
x : M(CHARGINO1) IN GEV
x2: M(NEUTRALINO1) IN GEV
y : Efficiency IN PCT
xdesc	x	xlow	xhigh	x2desc	x2	x2low	x2high	y	
	130.0	130.0	130.0		0.0	0.0	0.0	11.8517179
	140.0	140.0	140.0		10.0	10.0	10.0	12.9241433
	150.0	150.0	150.0		0.0	0.0	0.0	13.7320421
	152.5	152.5	152.5		22.5	22.5	22.5	11.5556777
	162.5	162.5	162.5		12.5	12.5	12.5	10.3326876
	175.0	175.0	175.0		0.0	0.0	0.0	12.8603849
	165.0	165.0	165.0		35.0	35.0	35.0	10.8014838
	175.0	175.0	175.0		25.0	25.0	25.0	9.6212896
	187.5	187.5	187.5		12.5	12.5	12.5	9.64599886
	200.0	200.0	200.0		0.0	0.0	0.0	8.68894463
	177.5	177.5	177.5		47.5	47.5	47.5	13.1047839
	187.5	187.5	187.5		37.5	37.5	37.5	10.8806922
	200.0	200.0	200.0		25.0	25.0	25.0	12.772099
	190.0	190.0	190.0		60.0	60.0	60.0	13.7044447
	200.0	200.0	200.0		50.0	50.0	50.0	13.0777441

