#  Mass(GeV)    Width(GeV)   c000   c100   c200   c300
1600.0  1e-22  0.103918  0.103918  0.103918  0.103908
1600.0  1e-20  0.103868  0.103868  0.103868  0.103859
1600.0  1e-19  0.103421  0.103421  0.103421  0.103411
1600.0  2e-19  0.102926  0.102926  0.102926  0.102917
1600.0  5e-19  0.101456  0.101456  0.101456  0.101447
1600.0  7e-19  0.100489  0.100489  0.100489  0.10048
1600.0  1e-18  0.0990558  0.0990558  0.0990558  0.0990469
1600.0  2e-18  0.0944343  0.0944343  0.0944343  0.0944259
1600.0  5e-18  0.0818924  0.0818924  0.0818924  0.0818853
1600.0  7e-18  0.0745222  0.0745222  0.0745222  0.0745157
1600.0  1e-17  0.0647571  0.0647571  0.0647571  0.0647516
1600.0  2e-17  0.0408892  0.0408892  0.0408892  0.040886
1600.0  5e-17  0.011022  0.011022  0.011022  0.0110213
1600.0  7e-17  0.00482196  0.00482196  0.00482196  0.00482169
1600.0  1e-16  0.00147444  0.00147444  0.00147444  0.00147437
1600.0  1e-15  6.3798e-15  6.3798e-15  6.3798e-15  6.3798e-15
1600.0  1e-14  5.07469e-107  5.07469e-107  5.07469e-107  5.07469e-107
1600.0  1e-12  0  0  0  0
1600.0  1e-10  0  0  0  0
1000.0  1e-22  0.358303  0.358303  0.358284  0.358075
1000.0  1e-20  0.358145  0.358145  0.358126  0.357917
1000.0  1e-19  0.356709  0.356709  0.35669  0.356482
1000.0  2e-19  0.35512  0.35512  0.355102  0.354895
1000.0  5e-19  0.350401  0.350401  0.350383  0.350179
1000.0  7e-19  0.347292  0.347292  0.347274  0.347072
1000.0  1e-18  0.342684  0.342684  0.342666  0.342467
1000.0  2e-18  0.32779  0.32779  0.327773  0.327583
1000.0  5e-18  0.287115  0.287115  0.287102  0.286937
1000.0  7e-18  0.26302  0.26302  0.263009  0.262859
1000.0  1e-17  0.230845  0.230845  0.230835  0.230705
1000.0  2e-17  0.150669  0.150669  0.150664  0.150582
1000.0  5e-17  0.0448637  0.0448637  0.0448628  0.0448418
1000.0  7e-17  0.0209986  0.0209986  0.0209983  0.0209895
1000.0  1e-16  0.00712631  0.00712631  0.00712626  0.00712369
1000.0  1e-15  1.07844e-12  1.07844e-12  1.07844e-12  1.07844e-12
1000.0  1e-14  1.9387e-75  1.9387e-75  1.9387e-75  1.9387e-75
1000.0  1e-12  0  0  0  0
1000.0  1e-10  0  0  0  0
2600.0  1e-22  0.00681014  0.00681014  0.00681014  0.00681014
2600.0  1e-20  0.0068062  0.0068062  0.0068062  0.0068062
2600.0  1e-19  0.00677046  0.00677046  0.00677046  0.00677046
2600.0  2e-19  0.00673097  0.00673097  0.00673097  0.00673097
2600.0  5e-19  0.00661392  0.00661392  0.00661392  0.00661392
2600.0  7e-19  0.00653705  0.00653705  0.00653705  0.00653705
2600.0  1e-18  0.00642346  0.00642346  0.00642346  0.00642346
2600.0  2e-18  0.00605928  0.00605928  0.00605928  0.00605928
2600.0  5e-18  0.00508884  0.00508884  0.00508884  0.00508884
2600.0  7e-18  0.00453195  0.00453195  0.00453195  0.00453195
2600.0  1e-17  0.00381137  0.00381137  0.00381137  0.00381137
2600.0  2e-17  0.00215234  0.00215234  0.00215234  0.00215234
2600.0  5e-17  0.000407179  0.000407179  0.000407179  0.000407179
2600.0  7e-17  0.000139192  0.000139192  0.000139192  0.000139192
2600.0  1e-16  2.91671e-05  2.91671e-05  2.91671e-05  2.91671e-05
2600.0  1e-15  9.22408e-22  9.22408e-22  9.22408e-22  9.22408e-22
2600.0  1e-14  1.67711e-173  1.67711e-173  1.67711e-173  1.67711e-173
2600.0  1e-12  0  0  0  0
2600.0  1e-10  0  0  0  0
700.0  1e-22  0.450555  0.450555  0.450415  0.449755
700.0  1e-20  0.450371  0.450371  0.45023  0.44957
700.0  1e-19  0.448696  0.448696  0.448556  0.447898
700.0  2e-19  0.446842  0.446842  0.446703  0.446049
700.0  5e-19  0.441331  0.441331  0.441194  0.440548
700.0  7e-19  0.437697  0.437697  0.437561  0.436921
700.0  1e-18  0.432307  0.432306  0.432173  0.431541
700.0  2e-18  0.414845  0.414845  0.414718  0.414113
700.0  5e-18  0.366842  0.366842  0.366734  0.366203
700.0  7e-18  0.338166  0.338166  0.338068  0.33758
700.0  1e-17  0.299556  0.299556  0.299472  0.299043
700.0  2e-17  0.201404  0.201404  0.201353  0.201072
700.0  5e-17  0.06489  0.06489  0.0648786  0.0647944
700.0  7e-17  0.0317801  0.0317801  0.0317756  0.0317366
700.0  1e-16  0.011452  0.011452  0.0114508  0.0114379
700.0  1e-15  1.08043e-11  1.08043e-11  1.08043e-11  1.08036e-11
700.0  1e-14  3.10404e-58  3.10404e-58  3.10404e-58  3.10404e-58
700.0  1e-12  0  0  0  0
700.0  1e-10  0  0  0  0
2000.0  1e-22  0.0174117  0.0174117  0.0174117  0.0174117
2000.0  1e-20  0.0174031  0.0174031  0.0174031  0.0174031
2000.0  1e-19  0.0173254  0.0173254  0.0173254  0.0173254
2000.0  2e-19  0.0172395  0.0172395  0.0172395  0.0172395
2000.0  5e-19  0.0169845  0.0169845  0.0169845  0.0169845
2000.0  7e-19  0.0168166  0.0168166  0.0168166  0.0168166
2000.0  1e-18  0.0165681  0.0165681  0.0165681  0.0165681
2000.0  2e-18  0.015767  0.015767  0.015767  0.015767
2000.0  5e-18  0.013597  0.013597  0.013597  0.013597
2000.0  7e-18  0.0123252  0.0123252  0.0123252  0.0123252
2000.0  1e-17  0.0106449  0.0106449  0.0106449  0.0106449
2000.0  2e-17  0.00657182  0.00657182  0.00657182  0.00657182
2000.0  5e-17  0.0016286  0.0016286  0.0016286  0.0016286
2000.0  7e-17  0.000667047  0.000667047  0.000667047  0.000667047
2000.0  1e-16  0.000183262  0.000183262  0.000183262  0.000183262
2000.0  1e-15  2.00101e-17  2.00101e-17  2.00101e-17  2.00101e-17
2000.0  1e-14  6.32457e-135  6.32457e-135  6.32457e-135  6.32457e-135
2000.0  1e-12  0  0  0  0
2000.0  1e-10  0  0  0  0
1700.0  1e-22  0.0963751  0.0963751  0.0963751  0.0963665
1700.0  1e-20  0.0963284  0.0963284  0.0963284  0.0963198
1700.0  1e-19  0.0959045  0.0959045  0.0959045  0.095896
1700.0  2e-19  0.0954359  0.0954359  0.0954359  0.0954274
1700.0  5e-19  0.0940446  0.0940446  0.0940446  0.0940363
1700.0  7e-19  0.093129  0.093129  0.093129  0.0931208
1700.0  1e-18  0.0917733  0.0917733  0.0917733  0.0917652
1700.0  2e-18  0.0874036  0.0874036  0.0874036  0.087396
1700.0  5e-18  0.0755696  0.0755696  0.0755696  0.0755632
1700.0  7e-18  0.0686335  0.0686335  0.0686335  0.0686278
1700.0  1e-17  0.059467  0.059467  0.059467  0.0594622
1700.0  2e-17  0.0372008  0.0372008  0.0372008  0.0371981
1700.0  5e-17  0.00978828  0.00978828  0.00978828  0.00978779
1700.0  7e-17  0.00422782  0.00422782  0.00422782  0.00422766
1700.0  1e-16  0.00127424  0.00127424  0.00127424  0.0012742
1700.0  1e-15  5.10885e-15  5.10885e-15  5.10885e-15  5.10885e-15
1700.0  1e-14  8.59684e-107  8.59684e-107  8.59684e-107  8.59684e-107
1700.0  1e-12  0  0  0  0
1700.0  1e-10  0  0  0  0
2400.0  1e-22  0.0079536  0.0079536  0.0079536  0.0079536
2400.0  1e-20  0.00794934  0.00794934  0.00794934  0.00794934
2400.0  1e-19  0.00791064  0.00791064  0.00791064  0.00791064
2400.0  2e-19  0.00786787  0.00786787  0.00786787  0.00786787
2400.0  5e-19  0.00774099  0.00774099  0.00774099  0.00774099
2400.0  7e-19  0.00765757  0.00765757  0.00765757  0.00765757
2400.0  1e-18  0.00753418  0.00753418  0.00753418  0.00753418
2400.0  2e-18  0.00713747  0.00713747  0.00713747  0.00713747
2400.0  5e-18  0.00607153  0.00607153  0.00607153  0.00607153
2400.0  7e-18  0.00545326  0.00545326  0.00545326  0.00545326
2400.0  1e-17  0.00464487  0.00464487  0.00464487  0.00464487
2400.0  2e-17  0.00273561  0.00273561  0.00273561  0.00273561
2400.0  5e-17  0.00058523  0.00058523  0.00058523  0.00058523
2400.0  7e-17  0.000216576  0.000216576  0.000216576  0.000216576
2400.0  1e-16  5.09021e-05  5.09021e-05  5.09021e-05  5.09021e-05
2400.0  1e-15  1.0135e-20  1.0135e-20  1.0135e-20  1.0135e-20
2400.0  1e-14  8.00375e-162  8.00375e-162  8.00375e-162  8.00375e-162
2400.0  1e-12  0  0  0  0
2400.0  1e-10  0  0  0  0
250.0  1e-22  0.291182  0.290888  0  0
250.0  1e-20  0.291078  0.290783  0  0
250.0  1e-19  0.290128  0.289834  0  0
250.0  2e-19  0.289076  0.288783  0  0
250.0  5e-19  0.285945  0.285656  0  0
250.0  7e-19  0.283878  0.283591  0  0
250.0  1e-18  0.280807  0.280524  0  0
250.0  2e-18  0.270825  0.270554  0  0
250.0  5e-18  0.243093  0.242853  0  0
250.0  7e-18  0.226303  0.226082  0  0
250.0  1e-17  0.203399  0.203204  0  0
250.0  2e-17  0.143291  0.14316  0  0
250.0  5e-17  0.0522811  0.0522401  0  0
250.0  7e-17  0.027477  0.0274575  0  0
250.0  1e-16  0.0108266  0.0108199  0  0
250.0  1e-15  6.4971e-11  6.49709e-11  0  0
250.0  1e-14  3.36226e-57  3.36226e-57  0  0
250.0  1e-12  0  0  0  0
250.0  1e-10  0  0  0  0
1400.0  1e-22  0.152042  0.152042  0.152042  0.152009
1400.0  1e-20  0.151971  0.151971  0.151971  0.151938
1400.0  1e-19  0.151325  0.151325  0.151325  0.151292
1400.0  2e-19  0.150611  0.150611  0.150611  0.150578
1400.0  5e-19  0.148491  0.148491  0.148491  0.148459
1400.0  7e-19  0.147096  0.147096  0.147096  0.147064
1400.0  1e-18  0.145028  0.145028  0.145028  0.144997
1400.0  2e-18  0.13836  0.13836  0.13836  0.138331
1400.0  5e-18  0.120254  0.120254  0.120254  0.12023
1400.0  7e-18  0.109605  0.109605  0.109605  0.109584
1400.0  1e-17  0.0954818  0.0954818  0.0954818  0.0954651
1400.0  2e-17  0.0608606  0.0608606  0.0608606  0.0608521
1400.0  5e-17  0.0170108  0.0170108  0.0170108  0.0170096
1400.0  7e-17  0.00766393  0.00766393  0.00766393  0.0076636
1400.0  1e-16  0.00246472  0.00246472  0.00246472  0.00246467
1400.0  1e-15  9.3728e-14  9.3728e-14  9.3728e-14  9.3728e-14
1400.0  1e-14  1.31922e-90  1.31922e-90  1.31922e-90  1.31922e-90
1400.0  1e-12  0  0  0  0
1400.0  1e-10  0  0  0  0
3000.0  1e-22  0.000883398  0.000883398  0.000883398  0.000883398
3000.0  1e-20  0.000882762  0.000882762  0.000882762  0.000882762
3000.0  1e-19  0.000876996  0.000876996  0.000876996  0.000876996
3000.0  2e-19  0.000870634  0.000870634  0.000870634  0.000870634
3000.0  5e-19  0.000851826  0.000851826  0.000851826  0.000851826
3000.0  7e-19  0.000839517  0.000839517  0.000839517  0.000839517
3000.0  1e-18  0.00082139  0.00082139  0.00082139  0.00082139
3000.0  2e-18  0.000763777  0.000763777  0.000763777  0.000763777
3000.0  5e-18  0.000614308  0.000614308  0.000614308  0.000614308
3000.0  7e-18  0.000531467  0.000531467  0.000531467  0.000531467
3000.0  1e-17  0.000427887  0.000427887  0.000427887  0.000427887
3000.0  2e-17  0.00020868  0.00020868  0.00020868  0.00020868
3000.0  5e-17  2.5356e-05  2.5356e-05  2.5356e-05  2.5356e-05
3000.0  7e-17  6.49288e-06  6.49288e-06  6.49288e-06  6.49288e-06
3000.0  1e-16  9.00983e-07  9.00983e-07  9.00983e-07  9.00983e-07
3000.0  1e-15  1.82073e-28  1.82073e-28  1.82073e-28  1.82073e-28
3000.0  1e-14  8.02612e-237  8.02612e-237  8.02612e-237  8.02612e-237
3000.0  1e-12  0  0  0  0
3000.0  1e-10  0  0  0  0
1800.0  1e-22  0.0671808  0.0671808  0.0671808  0.0671794
1800.0  1e-20  0.0671465  0.0671465  0.0671465  0.0671451
1800.0  1e-19  0.0668353  0.0668353  0.0668353  0.066834
1800.0  2e-19  0.0664914  0.0664914  0.0664914  0.06649
1800.0  5e-19  0.0654707  0.0654707  0.0654707  0.0654694
1800.0  7e-19  0.0647995  0.0647995  0.0647995  0.0647982
1800.0  1e-18  0.0638062  0.0638062  0.0638062  0.0638049
1800.0  2e-18  0.06061  0.06061  0.06061  0.0606088
1800.0  5e-18  0.0519973  0.0519973  0.0519973  0.0519963
1800.0  7e-18  0.0469817  0.0469817  0.0469817  0.0469808
1800.0  1e-17  0.0403952  0.0403952  0.0403952  0.0403944
