#               mhscp              mrec000 
                 2200  0.02080118814979644 
                 1250  0.25436891794551886 
                  200  0.19873521384295045 
                 1050   0.3344849075592002 
                 2000  0.04292257746254076 
                  950  0.37433355044357164 
                 2400 0.012671337084840034 
                 1900   0.0605917412570337 
                  400  0.33791758612096146 
                 1450  0.13019982160567156 
                  600  0.41799224026950366 
                 2600 0.009244967387134838 
                 1150   0.2908363242222638 
                  100   0.0866701254136674 
                  300  0.27683730977033427 
                 1350   0.1885306964482135 
                  700    0.427869198463368 
                 1800  0.08254699846197157 
                  850   0.4092081575319573 
                  500    0.392266961759659 
                  900  0.39625964184728907 
                 3000 0.0025240523518126837 
                  450  0.36411036757703674 
                   50 5.48236255192983e-26 
                 1400   0.1539685404403604 
                 1600   0.1056717596947408 
                  650   0.4279550793701981 
                 1200   0.2723270884873626 
                  250  0.23534953836221764 
                 1000  0.35484865943846217 
                  750   0.4257440127463129 
                 1700  0.09887959965790355 
                  800   0.4200907217961261 
                 1500  0.11624924481894242 
                 2800 0.005761382432876921 
                  550   0.4032395703143135 
                 1100   0.3147498874890473 
                  150  0.15897912447184703 
                 3500 2.6256039351156506e-05 
                  350   0.3073361184272502 
                 1300  0.22508567794166634 
