#  Mass(GeV)   Width(GeV)   c000(Andre)   c100(Andre)   c200(Andre)   c300(Andre)   c000(Suchi)   c100(Suchi)   c200(Suchi)   c300(Suchi)
2.000000e+02  1.000000e-22  3.724988e-01  3.716988e-01  0.000000e+00  0.000000e+00  3.760601e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  1.000000e-20  3.723842e-01  3.715844e-01  0.000000e+00  0.000000e+00  3.759385e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  1.000000e-19  3.713429e-01  3.705454e-01  0.000000e+00  0.000000e+00  3.748348e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  2.000000e-19  3.701884e-01  3.693933e-01  0.000000e+00  0.000000e+00  3.736119e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  5.000000e-19  3.667406e-01  3.659529e-01  0.000000e+00  0.000000e+00  3.699649e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  7.000000e-19  3.644552e-01  3.636724e-01  0.000000e+00  0.000000e+00  3.675516e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  1.000000e-18  3.610468e-01  3.602714e-01  0.000000e+00  0.000000e+00  3.639584e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  2.000000e-18  3.498584e-01  3.491070e-01  0.000000e+00  0.000000e+00  3.522116e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  5.000000e-18  3.179161e-01  3.172333e-01  0.000000e+00  0.000000e+00  3.190278e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  7.000000e-18  2.979853e-01  2.973453e-01  0.000000e+00  0.000000e+00  2.985415e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  1.000000e-17  2.701136e-01  2.695335e-01  0.000000e+00  0.000000e+00  2.701138e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  2.000000e-17  1.935508e-01  1.931351e-01  0.000000e+00  0.000000e+00  1.929200e-01  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  5.000000e-17  7.065930e-02  7.050755e-02  0.000000e+00  0.000000e+00  7.023764e-02  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  7.000000e-17  3.665022e-02  3.657150e-02  0.000000e+00  0.000000e+00  3.637580e-02  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  1.000000e-16  1.413729e-02  1.410692e-02  0.000000e+00  0.000000e+00  1.399411e-02  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  1.000000e-15  7.823264e-11  7.806462e-11  0.000000e+00  0.000000e+00  3.744255e-11  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  1.000000e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  1.000000e-12  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
2.000000e+02  1.000000e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-22  4.855985e-01  4.853985e-01  0.000000e+00  0.000000e+00  5.079536e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-20  4.854534e-01  4.852535e-01  0.000000e+00  0.000000e+00  5.077903e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-19  4.841349e-01  4.839355e-01  0.000000e+00  0.000000e+00  5.063074e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  2.000000e-19  4.826725e-01  4.824737e-01  0.000000e+00  0.000000e+00  5.046642e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  5.000000e-19  4.783011e-01  4.781041e-01  0.000000e+00  0.000000e+00  4.997628e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  7.000000e-19  4.754004e-01  4.752046e-01  0.000000e+00  0.000000e+00  4.965184e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-18  4.710697e-01  4.708757e-01  0.000000e+00  0.000000e+00  4.916866e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  2.000000e-18  4.568169e-01  4.566287e-01  0.000000e+00  0.000000e+00  4.758785e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  5.000000e-18  4.158417e-01  4.156704e-01  0.000000e+00  0.000000e+00  4.311309e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  7.000000e-18  3.900881e-01  3.899274e-01  0.000000e+00  0.000000e+00  4.034429e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-17  3.538722e-01  3.537264e-01  0.000000e+00  0.000000e+00  3.649526e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  2.000000e-17  2.534907e-01  2.533863e-01  0.000000e+00  0.000000e+00  2.601472e-01  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  5.000000e-17  9.136369e-02  9.132607e-02  0.000000e+00  0.000000e+00  9.368196e-02  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  7.000000e-17  4.686316e-02  4.684386e-02  0.000000e+00  0.000000e+00  4.814222e-02  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-16  1.779455e-02  1.778722e-02  0.000000e+00  0.000000e+00  1.834030e-02  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-15  6.120726e-11  6.118205e-11  0.000000e+00  0.000000e+00  5.157486e-11  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-14  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-12  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
3.000000e+02  1.000000e-10  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00  0.000000e+00
4.000000e+02  1.000000e-22  5.477984e-01  5.477984e-01  5.467984e-01  0.000000e+00  5.313987e-01  5.313447e-01  0.000000e+00  0.000000e+00
4.000000e+02  1.000000e-20  5.476338e-01  5.476338e-01  5.466341e-01  0.000000e+00  5.312164e-01  5.311625e-01  0.000000e+00  0.000000e+00
4.000000e+02  1.000000e-19  5.461393e-01  5.461393e-01  5.451424e-01  0.000000e+00  5.295627e-01  5.295088e-01  0.000000e+00  0.000000e+00
4.000000e+02  2.000000e-19  5.444815e-01  5.444815e-01  5.434875e-01  0.000000e+00  5.277313e-01  5.276776e-01  0.000000e+00  0.000000e+00
4.000000e+02  5.000000e-19  5.395253e-01  5.395253e-01  5.385404e-01  0.000000e+00  5.222762e-01  5.222229e-01  0.000000e+00  0.000000e+00
4.000000e+02  7.000000e-19  5.362360e-01  5.362360e-01  5.352572e-01  0.000000e+00  5.186716e-01  5.186186e-01  0.000000e+00  0.000000e+00
4.000000e+02  1.000000e-18  5.313245e-01  5.313245e-01  5.303546e-01  0.000000e+00  5.133121e-01  5.132596e-01  0.000000e+00  0.000000e+00
4.000000e+02  2.000000e-18  5.151547e-01  5.151547e-01  5.142143e-01  0.000000e+00  4.958486e-01  4.957976e-01  0.000000e+00  0.000000e+00
4.000000e+02  5.000000e-18  4.686325e-01  4.686325e-01  4.677770e-01  0.000000e+00  4.469254e-01  4.468792e-01  0.000000e+00  0.000000e+00
4.000000e+02  7.000000e-18  4.393758e-01  4.393758e-01  4.385738e-01  0.000000e+00  4.169683e-01  4.169252e-01  0.000000e+00  0.000000e+00
4.000000e+02  1.000000e-17  3.982281e-01  3.982281e-01  3.975011e-01  0.000000e+00  3.756457e-01  3.756072e-01  0.000000e+00  0.000000e+00
4.000000e+02  2.000000e-17  2.842728e-01  2.842728e-01  2.837538e-01  0.000000e+00  2.646144e-01  2.645893e-01  0.000000e+00  0.000000e+00
4.000000e+02  5.000000e-17  1.013128e-01  1.013128e-01  1.011278e-01  0.000000e+00  9.236023e-02  9.235427e-02  0.000000e+00  0.000000e+00
4.000000e+02  7.000000e-17  5.160891e-02  5.160891e-02  5.151470e-02  0.000000e+00  4.655760e-02  4.655538e-02  0.000000e+00  0.000000e+00
4.000000e+02  1.000000e-16  1.941233e-02  1.941233e-02  1.937689e-02  0.000000e+00  1.727091e-02  1.727040e-02  0.000000e+00  0.000000e+00
