## HSCPM5 efficiencies
## x	y	z	 effi
105.0	100.0	50.0	0.0
105.0	100.0	80.0	0.0
105.0	100.0	90.0	0.0
305.0	100.0	50.0	0.0
305.0	100.0	80.0	0.0
305.0	150.0	120.0	0.0
305.0	200.0	50.0	0.0
305.0	200.0	80.0	0.0
305.0	200.0	120.0	0.0
305.0	250.0	50.0	0.0
305.0	250.0	80.0	0.0
305.0	250.0	120.0	0.0
305.0	250.0	200.0	0.0
305.0	300.0	50.0	0.0
305.0	300.0	80.0	0.0
305.0	300.0	120.0	0.0
305.0	300.0	200.0	0.0
305.0	300.0	280.0	0.0
305.0	300.0	290.0	0.0
405.0	200.0	120.0	0.0
405.0	250.0	200.0	0.0
405.0	300.0	50.0	0.0
405.0	300.0	80.0	0.0
405.0	300.0	120.0	0.0
405.0	300.0	200.0	0.0
405.0	300.0	280.0	0.0
405.0	350.0	50.0	0.0
405.0	350.0	80.0	0.0
405.0	350.0	120.0	0.0
405.0	350.0	200.0	0.0
405.0	350.0	280.0	0.0
405.0	350.0	300.0	0.0
405.0	350.0	320.0	0.0
405.0	350.0	340.0	0.0
405.0	400.0	50.0	0.0
405.0	400.0	80.0	0.0
405.0	400.0	120.0	0.0
405.0	400.0	200.0	0.0
405.0	400.0	280.0	0.0
405.0	400.0	300.0	0.0
405.0	400.0	320.0	0.0
405.0	400.0	340.0	0.0
405.0	400.0	360.0	0.0
405.0	400.0	380.0	0.0
405.0	400.0	390.0	0.0
455.0	250.0	200.0	0.0
455.0	300.0	280.0	0.0
455.0	350.0	50.0	0.0
455.0	350.0	80.0	0.0
455.0	350.0	120.0	0.0
455.0	350.0	200.0	0.0
455.0	350.0	280.0	0.0
455.0	350.0	300.0	0.0
455.0	350.0	320.0	0.0
455.0	350.0	340.0	0.0
455.0	400.0	50.0	0.0
455.0	400.0	80.0	0.0
455.0	400.0	120.0	0.0
455.0	400.0	200.0	0.0
455.0	400.0	280.0	0.0
455.0	400.0	300.0	0.0
455.0	400.0	320.0	0.0
455.0	400.0	340.0	0.0
455.0	400.0	360.0	0.0
455.0	400.0	380.0	0.0
455.0	450.0	50.0	0.0
455.0	450.0	80.0	0.0
455.0	450.0	120.0	0.0
455.0	450.0	200.0	0.0
455.0	450.0	280.0	0.0
455.0	450.0	300.0	0.0
455.0	450.0	320.0	0.0
455.0	450.0	340.0	0.0
455.0	450.0	360.0	0.0
455.0	450.0	380.0	0.0
455.0	450.0	400.0	0.0
455.0	450.0	430.0	0.0
455.0	450.0	440.0	0.0
505.0	100.0	50.0	0.0
505.0	100.0	80.0	0.0
505.0	150.0	120.0	0.0
505.0	200.0	50.0	0.0
505.0	200.0	80.0	0.0
505.0	200.0	120.0	0.0
505.0	250.0	200.0	0.0
505.0	300.0	280.0	0.0
505.0	350.0	280.0	0.0
505.0	350.0	300.0	0.0
505.0	350.0	320.0	0.0
505.0	350.0	340.0	0.0
505.0	400.0	50.0	0.0
505.0	400.0	80.0	0.0
505.0	400.0	120.0	0.0
505.0	400.0	200.0	0.0
505.0	400.0	280.0	0.0
505.0	400.0	300.0	0.0
505.0	400.0	320.0	0.0
505.0	400.0	340.0	0.0
505.0	400.0	360.0	0.0
505.0	400.0	380.0	0.0
505.0	450.0	50.0	0.0
505.0	450.0	80.0	0.0
505.0	450.0	120.0	0.0
505.0	450.0	200.0	0.0
505.0	450.0	280.0	0.0
505.0	450.0	300.0	0.0
505.0	450.0	320.0	0.0
505.0	450.0	340.0	0.0
505.0	450.0	360.0	0.0
505.0	450.0	380.0	0.0
505.0	450.0	400.0	0.0
505.0	450.0	430.0	0.0
505.0	500.0	50.0	0.0
505.0	500.0	80.0	0.0
505.0	500.0	120.0	0.0
505.0	500.0	200.0	0.0
505.0	500.0	280.0	0.0
505.0	500.0	300.0	0.0
505.0	500.0	320.0	0.0
505.0	500.0	340.0	0.0
505.0	500.0	360.0	0.0
505.0	500.0	380.0	0.0
505.0	500.0	400.0	0.0
505.0	500.0	430.0	0.0
505.0	500.0	480.0	0.582
505.0	500.0	490.0	0.577
555.0	250.0	200.0	0.0
555.0	300.0	280.0	0.0
555.0	350.0	280.0	0.0
555.0	350.0	300.0	0.0
555.0	350.0	320.0	0.0
555.0	350.0	340.0	0.0
555.0	400.0	50.0	0.0
555.0	400.0	80.0	0.0
555.0	400.0	120.0	0.0
555.0	400.0	200.0	0.0
555.0	400.0	280.0	0.0
555.0	400.0	300.0	0.0
555.0	400.0	320.0	0.0
555.0	400.0	340.0	0.0
555.0	400.0	360.0	0.0
555.0	400.0	380.0	0.0
555.0	450.0	50.0	0.0
555.0	450.0	80.0	0.0
555.0	450.0	120.0	0.0
555.0	450.0	200.0	0.0
555.0	450.0	280.0	0.0
555.0	450.0	300.0	0.0
555.0	450.0	320.0	0.0
555.0	450.0	340.0	0.0
