#  Mass(GeV)    Width(GeV)   c000   c100   c200   c300
250.0  1e-22  0.435701  0.435405  0  0
250.0  1e-20  0.435583  0.435287  0  0
250.0  1e-19  0.434516  0.434221  0  0
250.0  2e-19  0.433332  0.433037  0  0
250.0  5e-19  0.42979  0.429495  0  0
250.0  7e-19  0.427437  0.427143  0  0
250.0  1e-18  0.423919  0.423626  0  0
250.0  2e-18  0.41231  0.41202  0  0
250.0  5e-18  0.378649  0.378372  0  0
250.0  7e-18  0.357272  0.357004  0  0
250.0  1e-17  0.32691  0.326659  0  0
250.0  2e-17  0.240754  0.240562  0  0
250.0  5e-17  0.0932024  0.093131  0  0
250.0  7e-17  0.0496585  0.049623  0  0
250.0  1e-16  0.0197205  0.019708  0  0
250.0  1e-15  1.26656e-10  1.26656e-10  0  0
250.0  1e-14  6.55659e-57  6.55659e-57  0  0
250.0  1e-12  0  0  0  0
250.0  1e-10  0  0  0  0
1350.0  1e-22  0.357686  0.357686  0.357686  0.357551
1350.0  1e-20  0.357514  0.357514  0.357514  0.357379
1350.0  1e-19  0.355955  0.355955  0.355955  0.35582
1350.0  2e-19  0.354231  0.354231  0.354231  0.354097
1350.0  5e-19  0.349114  0.349114  0.349114  0.348982
1350.0  7e-19  0.345747  0.345747  0.345747  0.345617
1350.0  1e-18  0.340762  0.340762  0.340762  0.340634
1350.0  2e-18  0.324698  0.324698  0.324698  0.324577
1350.0  5e-18  0.281214  0.281214  0.281214  0.281111
1350.0  7e-18  0.255733  0.255733  0.255733  0.255641
1350.0  1e-17  0.22205  0.22205  0.22205  0.221974
1350.0  2e-17  0.140086  0.140086  0.140086  0.140044
1350.0  5e-17  0.038168  0.038168  0.038168  0.0381616
1350.0  7e-17  0.0169886  0.0169886  0.0169886  0.0169868
1350.0  1e-16  0.00539655  0.00539655  0.00539655  0.00539626
1350.0  1e-15  1.44191e-13  1.44191e-13  1.44191e-13  1.44191e-13
1350.0  1e-14  7.96006e-99  7.96006e-99  7.96006e-99  7.96006e-99
1350.0  1e-12  0  0  0  0
1350.0  1e-10  0  0  0  0
1600.0  1e-22  0.220384  0.220384  0.220384  0.220366
1600.0  1e-20  0.220268  0.220268  0.220268  0.22025
1600.0  1e-19  0.219221  0.219221  0.219221  0.219203
1600.0  2e-19  0.218064  0.218064  0.218064  0.218046
1600.0  5e-19  0.214635  0.214635  0.214635  0.214617
1600.0  7e-19  0.212384  0.212384  0.212384  0.212367
1600.0  1e-18  0.20906  0.20906  0.20906  0.209043
1600.0  2e-18  0.198409  0.198409  0.198409  0.198393
1600.0  5e-18  0.170044  0.170044  0.170044  0.17003
1600.0  7e-18  0.153723  0.153723  0.153723  0.153711
1600.0  1e-17  0.13247  0.13247  0.13247  0.132459
1600.0  2e-17  0.0821163  0.0821163  0.0821163  0.0821097
1600.0  5e-17  0.0217013  0.0217013  0.0217013  0.0216997
1600.0  7e-17  0.00945315  0.00945315  0.00945315  0.00945255
1600.0  1e-16  0.00288462  0.00288462  0.00288462  0.00288447
1600.0  1e-15  1.52267e-14  1.52267e-14  1.52267e-14  1.52267e-14
1600.0  1e-14  8.66583e-107  8.66583e-107  8.66583e-107  8.66583e-107
1600.0  1e-12  0  0  0  0
1600.0  1e-10  0  0  0  0
650.0  1e-22  0.672341  0.67234  0.672177  0.671526
650.0  1e-20  0.672157  0.672157  0.671993  0.671342
650.0  1e-19  0.670486  0.670485  0.670321  0.66967
650.0  2e-19  0.66863  0.668629  0.668465  0.667812
650.0  5e-19  0.663068  0.663068  0.662903  0.662247
650.0  7e-19  0.659366  0.659366  0.659201  0.658543
650.0  1e-18  0.653823  0.653823  0.653658  0.652997
650.0  2e-18  0.635447  0.635447  0.635282  0.634614
650.0  5e-18  0.581606  0.581606  0.581443  0.580771
650.0  7e-18  0.547104  0.547104  0.546946  0.546282
650.0  1e-17  0.497872  0.497872  0.497724  0.497082
650.0  2e-17  0.358176  0.358176  0.358067  0.357546
650.0  5e-17  0.127631  0.127631  0.127599  0.127392
650.0  7e-17  0.064575  0.064575  0.0645618  0.0644564
650.0  1e-16  0.0239871  0.0239871  0.0239835  0.0239451
650.0  1e-15  2.16223e-11  2.16223e-11  2.16223e-11  2.16207e-11
650.0  1e-14  1.72155e-59  1.72155e-59  1.72155e-59  1.72155e-59
650.0  1e-12  0  0  0  0
650.0  1e-10  0  0  0  0
750.0  1e-22  0.647675  0.647675  0.647595  0.647199
750.0  1e-20  0.647493  0.647493  0.647413  0.647017
750.0  1e-19  0.645843  0.645843  0.645762  0.645366
750.0  2e-19  0.64401  0.64401  0.643929  0.643532
750.0  5e-19  0.638518  0.638517  0.638437  0.638037
750.0  7e-19  0.634862  0.634862  0.634781  0.63438
750.0  1e-18  0.629388  0.629388  0.629307  0.628904
750.0  2e-18  0.611245  0.611244  0.611162  0.610755
750.0  5e-18  0.558125  0.558124  0.558043  0.557634
750.0  7e-18  0.524133  0.524133  0.524054  0.52365
750.0  1e-17  0.475719  0.475718  0.475644  0.475256
750.0  2e-17  0.339103  0.339103  0.33905  0.338741
750.0  5e-17  0.11756  0.11756  0.117545  0.117432
750.0  7e-17  0.058481  0.058481  0.0584756  0.0584203
750.0  1e-16  0.0212253  0.0212253  0.0212239  0.021205
750.0  1e-15  1.14355e-11  1.14355e-11  1.14355e-11  1.14348e-11
750.0  1e-14  1.76194e-60  1.76194e-60  1.76194e-60  1.76194e-60
750.0  1e-12  0  0  0  0
750.0  1e-10  0  0  0  0
800.0  1e-22  0.6813  0.681289  0.681219  0.680855
800.0  1e-20  0.681098  0.681086  0.681016  0.680652
800.0  1e-19  0.679257  0.679245  0.679176  0.678811
800.0  2e-19  0.677213  0.677202  0.677132  0.676767
800.0  5e-19  0.671095  0.671084  0.671014  0.670648
800.0  7e-19  0.667026  0.667016  0.666946  0.666579
800.0  1e-18  0.66094  0.66093  0.66086  0.660492
800.0  2e-18  0.640814  0.640805  0.640735  0.640366
800.0  5e-18  0.582273  0.582268  0.582199  0.581835
800.0  7e-18  0.545089  0.545085  0.54502  0.544663
800.0  1e-17  0.49247  0.492467  0.492406  0.492068
800.0  2e-17  0.346041  0.34604  0.345998  0.345737
800.0  5e-17  0.115669  0.115669  0.115659  0.115569
800.0  7e-17  0.0563832  0.0563832  0.0563794  0.0563369
800.0  1e-16  0.019928  0.019928  0.0199272  0.0199133
800.0  1e-15  5.90167e-12  5.90167e-12  5.90167e-12  5.90146e-12
800.0  1e-14  1.75347e-67  1.75347e-67  1.75347e-67  1.75347e-67
800.0  1e-12  0  0  0  0
800.0  1e-10  0  0  0  0
1500.0  1e-22  0.239262  0.239262  0.239262  0.239238
1500.0  1e-20  0.239141  0.239141  0.239141  0.239117
1500.0  1e-19  0.238045  0.238045  0.238045  0.238021
1500.0  2e-19  0.236834  0.236834  0.236834  0.23681
1500.0  5e-19  0.233244  0.233244  0.233244  0.233221
1500.0  7e-19  0.230886  0.230886  0.230886  0.230863
1500.0  1e-18  0.227401  0.227401  0.227401  0.227378
1500.0  2e-18  0.216216  0.216216  0.216216  0.216195
1500.0  5e-18  0.186288  0.186288  0.186288  0.18627
1500.0  7e-18  0.16897  0.16897  0.16897  0.168954
1500.0  1e-17  0.146305  0.146305  0.146305  0.146291
1500.0  2e-17  0.092027  0.092027  0.092027  0.0920193
1500.0  5e-17  0.025289  0.025289  0.025289  0.0252875
1500.0  7e-17  0.01129  0.01129  0.01129  0.0112895
1500.0  1e-16  0.00357186  0.00357186  0.00357186  0.00357172
1500.0  1e-15  5.81751e-14  5.81751e-14  5.81751e-14  5.81751e-14
1500.0  1e-14  9.88299e-96  9.88299e-96  9.88299e-96  9.88299e-96
1500.0  1e-12  0  0  0  0
1500.0  1e-10  0  0  0  0
950.0  1e-22  0.628387  0.628387  0.62835  0.62808
950.0  1e-20  0.628175  0.628175  0.628137  0.627867
950.0  1e-19  0.626241  0.626241  0.626204  0.625933
950.0  2e-19  0.624098  0.624098  0.62406  0.62379
