#: table_doi: 10.17182/hepdata.81726.v1/t30
#: name: Cross section UL 4
#: description: The grey numbers show the 95% CL upper limits on the production cross section at each model point, derived from the best expected combination of results in the signal regions, in a SUSY scenario where gluinos are produced in pairs and decay via sleptons into the lightest neutralino. 

#: data_file: ulFig21a.yaml
#: keyword cmenergies: 13000.0
#: keyword phrases: Supersymmetry | SUSY
#: SQRT(S) [GEV],13000.0
'M(GLUINO) [GEV]','M(NEUTRALINO1) [GEV]','X-section U.L. [fb]'
600.0,300.0,118
800.0,300.0,2
800.0,500.0,19
1000.0,300.0,3
1000.0,500.0,7
1000.0,700.0,17
1200.0,300.0,2
1200.0,500.0,3
1200.0,700.0,6
1200.0,900.0,16
1200.0,1100.0,50
1400.0,300.0,2
1400.0,500.0,2
1400.0,700.0,3
1400.0,900.0,6
1400.0,1100.0,18
1600.0,300.0,3
1600.0,500.0,3
1600.0,700.0,2
1600.0,900.0,3
1600.0,1100.0,7
1800.0,300.0,2
1800.0,500.0,3
1800.0,700.0,2
1800.0,900.0,3
1800.0,1100.0,4
1100.0,300.0,2
1100.0,500.0,4
1100.0,700.0,7
1300.0,300.0,2
1300.0,500.0,2
1300.0,700.0,4
1500.0,300.0,3
1500.0,500.0,2
1500.0,700.0,2
600.0,400.0,75
800.0,600.0,58
1000.0,800.0,51
600.0,440.0,105
800.0,640.0,88
1000.0,840.0,85
600.0,480.0,348
800.0,680.0,75
1000.0,880.0,58
800.0,700.0,68
800.0,720.0,51
800.0,740.0,53
800.0,760.0,59
800.0,770.0,113
1000.0,960.0,47
1000.0,970.0,98
1600.0,1500.0,44
1800.0,1300.0,8
1800.0,1500.0,22
2000.0,300.0,2
2000.0,500.0,2
2000.0,700.0,3
2000.0,900.0,4
2000.0,1100.0,5
2000.0,1300.0,5
2000.0,1500.0,9
1400.0,1300.0,42
1600.0,1300.0,230
600.0,520.0,120
1000.0,976.0,191
1000.0,980.0,365
1000.0,984.0,2051
1200.0,1120.0,39
1200.0,1160.0,42
1200.0,1170.0,100
1200.0,1176.0,309
1200.0,1180.0,375
1200.0,1188.0,10746
600.0,580.0,631
600.0,584.0,30683
800.0,776.0,141
800.0,780.0,429
600.0,576.0,272
800.0,784.0,7378

