txName: T2ttoff
constraint: [[['b','W']],[['b','W']]]
condition: None
conditionDescription: None
susyProcess: pp --> stop stop, stop  --> top^* lsp
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13019/T2tt-SUS13019-final_XSEC.png
dataUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13019/T2tt-SUS13019-final_XSEC.root
source: CMS
validated: True
axes: [[x, y], [x, y]]
upperLimits: [[[[150*GeV,0*GeV],[150*GeV,0*GeV]],19.425*pb],
[[[150*GeV,25*GeV],[150*GeV,25*GeV]],59.495*pb],
[[[150*GeV,50*GeV],[150*GeV,50*GeV]],43.834*pb],
[[[175*GeV,25*GeV],[175*GeV,25*GeV]],20.821*pb],
[[[175*GeV,50*GeV],[175*GeV,50*GeV]],15.323*pb],
[[[175*GeV,75*GeV],[175*GeV,75*GeV]],44.398*pb],
[[[200*GeV,50*GeV],[200*GeV,50*GeV]],19.538*pb],
[[[200*GeV,75*GeV],[200*GeV,75*GeV]],19.829*pb],
[[[200*GeV,100*GeV],[200*GeV,100*GeV]],27.713*pb],
[[[225*GeV,75*GeV],[225*GeV,75*GeV]],18.799*pb],
[[[225*GeV,100*GeV],[225*GeV,100*GeV]],19.653*pb],
[[[225*GeV,125*GeV],[225*GeV,125*GeV]],15.801*pb],
[[[250*GeV,100*GeV],[250*GeV,100*GeV]],12.621*pb],
[[[250*GeV,125*GeV],[250*GeV,125*GeV]],14.722*pb],
[[[250*GeV,150*GeV],[250*GeV,150*GeV]],7.5348*pb],
[[[275*GeV,125*GeV],[275*GeV,125*GeV]],5.915*pb],
[[[275*GeV,150*GeV],[275*GeV,150*GeV]],8.1834*pb],
[[[275*GeV,175*GeV],[275*GeV,175*GeV]],11.863*pb],
[[[300*GeV,150*GeV],[300*GeV,150*GeV]],4.7632*pb],
[[[300*GeV,175*GeV],[300*GeV,175*GeV]],5.7042*pb],
[[[300*GeV,200*GeV],[300*GeV,200*GeV]],6.7941*pb],
[[[325*GeV,175*GeV],[325*GeV,175*GeV]],3.6778*pb],
[[[325*GeV,200*GeV],[325*GeV,200*GeV]],4.9374*pb],
[[[325*GeV,225*GeV],[325*GeV,225*GeV]],5.8712*pb],
[[[350*GeV,200*GeV],[350*GeV,200*GeV]],3.2521*pb],
[[[350*GeV,225*GeV],[350*GeV,225*GeV]],3.5855*pb],
[[[350*GeV,250*GeV],[350*GeV,250*GeV]],6.8915*pb],
[[[375*GeV,225*GeV],[375*GeV,225*GeV]],2.4872*pb],
[[[375*GeV,250*GeV],[375*GeV,250*GeV]],3.3286*pb],
[[[375*GeV,275*GeV],[375*GeV,275*GeV]],6.7038*pb],
[[[400*GeV,250*GeV],[400*GeV,250*GeV]],2.9215*pb],
[[[400*GeV,275*GeV],[400*GeV,275*GeV]],3.4653*pb],
