#          mHc_GeV            mH0_GeV          width_GeV                eff
     1.0000000e+02      9.9843000e+01      6.5820000e-14      1.7534000e-06
     1.0000000e+02      9.9843000e+01      4.3880000e-14      7.8342000e-06
     1.0000000e+02      9.9843000e+01      3.2910000e-14      2.1279000e-05
     1.0000000e+02      9.9843000e+01      2.6328000e-14      4.2505000e-05
     1.0000000e+02      9.9843000e+01      2.1940000e-14      7.4780000e-05
     1.0000000e+02      9.9843000e+01      1.6455000e-14      1.5835000e-04
     1.0000000e+02      9.9843000e+01      1.3164000e-14      2.6821000e-04
     1.0000000e+02      9.9843000e+01      1.0970000e-14      3.8479000e-04
     1.0000000e+02      9.9843000e+01      9.4028571e-15      5.0136000e-04
     1.0000000e+02      9.9843000e+01      8.2275000e-15      6.2278000e-04
     1.0000000e+02      9.9843000e+01      7.3133333e-15      7.3337000e-04
     1.0000000e+02      9.9843000e+01      6.5820000e-15      8.4115000e-04
     1.0000000e+02      9.9843000e+01      4.3880000e-15      1.2456000e-03
     1.0000000e+02      9.9843000e+01      3.2910000e-15      1.4798000e-03
     1.0000000e+02      9.9843000e+01      2.6328000e-15      1.5891000e-03
     1.0000000e+02      9.9843000e+01      2.1940000e-15      1.6324000e-03
     1.0000000e+02      9.9843000e+01      1.6455000e-15      1.6092000e-03
     1.0000000e+02      9.9843000e+01      1.3164000e-15      1.5270000e-03
     1.0000000e+02      9.9843000e+01      1.0970000e-15      1.4310000e-03
     1.0000000e+02      9.9843000e+01      9.4028571e-16      1.3372000e-03
     1.0000000e+02      9.9843000e+01      8.2275000e-16      1.2544000e-03
     1.0000000e+02      9.9843000e+01      7.3133333e-16      1.1673000e-03
     1.0000000e+02      9.9843000e+01      6.5820000e-16      1.1022000e-03
     1.0000000e+02      9.9843000e+01      4.3880000e-16      8.3687000e-04
     1.0000000e+02      9.9843000e+01      3.2910000e-16      6.7025000e-04
     1.0000000e+02      9.9843000e+01      2.6328000e-16      5.5546000e-04
     1.0000000e+02      9.9843000e+01      2.1940000e-16      4.7403000e-04
     1.0000000e+02      9.9843000e+01      1.6455000e-16      3.6880000e-04
     1.0000000e+02      9.9843000e+01      1.3164000e-16      3.0199000e-04
     1.0000000e+02      9.9843000e+01      1.0970000e-16      2.5256000e-04
     1.0000000e+02      9.9843000e+01      9.4028571e-17      2.1968000e-04
     1.0000000e+02      9.9843000e+01      8.2275000e-17      1.9452000e-04
     1.0000000e+02      9.9843000e+01      7.3133333e-17      1.7484000e-04
     1.0000000e+02      9.9843000e+01      6.5820000e-17      1.5802000e-04
     2.0000000e+02      1.9984300e+02      6.5820000e-14      7.8675000e-08
     2.0000000e+02      1.9984300e+02      4.3880000e-14      1.3584000e-06
     2.0000000e+02      1.9984300e+02      3.2910000e-14      6.7145000e-06
     2.0000000e+02      1.9984300e+02      2.6328000e-14      1.8848000e-05
     2.0000000e+02      1.9984300e+02      2.1940000e-14      4.0476000e-05
     2.0000000e+02      1.9984300e+02      1.6455000e-14      1.1486000e-04
     2.0000000e+02      1.9984300e+02      1.3164000e-14      2.2966000e-04
     2.0000000e+02      1.9984300e+02      1.0970000e-14      3.7978000e-04
     2.0000000e+02      1.9984300e+02      9.4028571e-15      5.5019000e-04
     2.0000000e+02      1.9984300e+02      8.2275000e-15      7.3543000e-04
     2.0000000e+02      1.9984300e+02      7.3133333e-15      9.2869000e-04
     2.0000000e+02      1.9984300e+02      6.5820000e-15      1.1253000e-03
     2.0000000e+02      1.9984300e+02      4.3880000e-15      2.0111000e-03
     2.0000000e+02      1.9984300e+02      3.2910000e-15      2.6793000e-03
     2.0000000e+02      1.9984300e+02      2.6328000e-15      3.1364000e-03
     2.0000000e+02      1.9984300e+02      2.1940000e-15      3.4341000e-03
     2.0000000e+02      1.9984300e+02      1.6455000e-15      3.7107000e-03
     2.0000000e+02      1.9984300e+02      1.3164000e-15      3.7666000e-03
     2.0000000e+02      1.9984300e+02      1.0970000e-15      3.7057000e-03
     2.0000000e+02      1.9984300e+02      9.4028571e-16      3.5888000e-03
     2.0000000e+02      1.9984300e+02      8.2275000e-16      3.4522000e-03
     2.0000000e+02      1.9984300e+02      7.3133333e-16      3.3141000e-03
     2.0000000e+02      1.9984300e+02      6.5820000e-16      3.1742000e-03
     2.0000000e+02      1.9984300e+02      4.3880000e-16      2.5542000e-03
     2.0000000e+02      1.9984300e+02      3.2910000e-16      2.1206000e-03
     2.0000000e+02      1.9984300e+02      2.6328000e-16      1.8069000e-03
     2.0000000e+02      1.9984300e+02      2.1940000e-16      1.5673000e-03
     2.0000000e+02      1.9984300e+02      1.6455000e-16      1.2397000e-03
     2.0000000e+02      1.9984300e+02      1.3164000e-16      1.0218000e-03
     2.0000000e+02      1.9984300e+02      1.0970000e-16      8.7105000e-04
     2.0000000e+02      1.9984300e+02      9.4028571e-17      7.5912000e-04
     2.0000000e+02      1.9984300e+02      8.2275000e-17      6.7398000e-04
     2.0000000e+02      1.9984300e+02      7.3133333e-17      6.0510000e-04
     2.0000000e+02      1.9984300e+02      6.5820000e-17      5.4716000e-04
     3.0000000e+02      2.9984300e+02      6.5820000e-14      7.1905000e-08
     3.0000000e+02      2.9984300e+02      4.3880000e-14      7.1224000e-07
     3.0000000e+02      2.9984300e+02      3.2910000e-14      3.3337000e-06
     3.0000000e+02      2.9984300e+02      2.6328000e-14      1.0468000e-05
