#          mC1_GeV            mN1_GeV          width_GeV                eff
     9.0678000e+01      9.0505000e+01      6.5820000e-14      6.1366000e-07
     9.0678000e+01      9.0505000e+01      4.3880000e-14      3.9426000e-06
     9.0678000e+01      9.0505000e+01      3.2910000e-14      1.2696000e-05
     9.0678000e+01      9.0505000e+01      2.6328000e-14      2.8128000e-05
     9.0678000e+01      9.0505000e+01      2.1940000e-14      5.0484000e-05
     9.0678000e+01      9.0505000e+01      1.6455000e-14      1.1461000e-04
     9.0678000e+01      9.0505000e+01      1.3164000e-14      2.0322000e-04
     9.0678000e+01      9.0505000e+01      1.0970000e-14      3.1320000e-04
     9.0678000e+01      9.0505000e+01      9.4028571e-15      4.2738000e-04
     9.0678000e+01      9.0505000e+01      8.2275000e-15      5.4690000e-04
     9.0678000e+01      9.0505000e+01      7.3133333e-15      6.6598000e-04
     9.0678000e+01      9.0505000e+01      6.5820000e-15      7.8397000e-04
     9.0678000e+01      9.0505000e+01      4.3880000e-15      1.2841000e-03
     9.0678000e+01      9.0505000e+01      3.2910000e-15      1.6208000e-03
     9.0678000e+01      9.0505000e+01      2.6328000e-15      1.8295000e-03
     9.0678000e+01      9.0505000e+01      2.1940000e-15      1.9567000e-03
     9.0678000e+01      9.0505000e+01      1.6455000e-15      2.0596000e-03
     9.0678000e+01      9.0505000e+01      1.3164000e-15      2.0576000e-03
     9.0678000e+01      9.0505000e+01      1.0970000e-15      2.0162000e-03
     9.0678000e+01      9.0505000e+01      9.4028571e-16      1.9445000e-03
     9.0678000e+01      9.0505000e+01      8.2275000e-16      1.8734000e-03
     9.0678000e+01      9.0505000e+01      7.3133333e-16      1.7929000e-03
     9.0678000e+01      9.0505000e+01      6.5820000e-16      1.7235000e-03
     9.0678000e+01      9.0505000e+01      4.3880000e-16      1.4053000e-03
     9.0678000e+01      9.0505000e+01      3.2910000e-16      1.1770000e-03
     9.0678000e+01      9.0505000e+01      2.6328000e-16      1.0090000e-03
     9.0678000e+01      9.0505000e+01      2.1940000e-16      8.8625000e-04
     9.0678000e+01      9.0505000e+01      1.6455000e-16      7.0760000e-04
     9.0678000e+01      9.0505000e+01      1.3164000e-16      5.9117000e-04
     9.0678000e+01      9.0505000e+01      1.0970000e-16      5.0419000e-04
     9.0678000e+01      9.0505000e+01      9.4028571e-17      4.3988000e-04
     9.0678000e+01      9.0505000e+01      8.2275000e-17      3.9382000e-04
     9.0678000e+01      9.0505000e+01      7.3133333e-17      3.5261000e-04
