#          mC1_GeV          width_GeV
     1.0698700e+02      3.2317459e-14
     1.3250700e+02      2.7373674e-14
     1.5676500e+02      2.1255571e-14
     1.7847000e+02      1.6988875e-14
     2.0144100e+02      1.4285404e-14
     2.2282100e+02      1.3400928e-14
     2.5014100e+02      1.2017528e-14
     2.6982900e+02      1.1024018e-14
     2.8952900e+02      9.2731653e-15
     3.1364300e+02      8.0175407e-15
     3.4096600e+02      7.0599592e-15
     3.7190700e+02      6.0217926e-15
     3.9481700e+02      5.1825547e-15
     4.1169000e+02      4.8857614e-15
     4.2856500e+02      4.5433524e-15     
     4.5347800e+02      4.0188057e-15     
     4.7357000e+02      3.6199643e-15     
     4.9848900e+02      3.0872855e-15
     5.1496700e+02      2.7807351e-15
     5.4189800e+02      2.2970615e-15     
     5.2943700e+02      2.5158627e-15
     5.6199700e+02      1.9678307e-15
     5.7406300e+02      1.7244361e-15
     5.8412200e+02      1.4905229e-15     
     5.9378200e+02      1.2708281e-15
     6.0344000e+02      1.1034552e-15
     6.1148100e+02      1.0306437e-15
     6.1832600e+02      9.0306647e-16
     6.2196600e+02      7.5594349e-16
     6.2359000e+02      6.6837263e-16     
     6.1879500e+02      5.6969749e-16
     6.1158900e+02      4.9226305e-16     
     6.0318200e+02      4.1385555e-16                    
     4.2234400e+02      7.3208983e-17
     5.9316500e+02      3.5758330e-16
     5.7913600e+02      3.0197093e-16     
     5.6149500e+02      2.5267765e-16     
     4.4961300e+02      9.2854624e-17
     5.3383100e+02      1.8946459e-16
     5.0134900e+02      1.4140850e-16     
     4.7287300e+02      1.1302481e-16
     
