x,Curve2
106.987,0.0203667
132.507,0.024045
156.765,0.030966
178.47,0.038743
201.441,0.046075
222.821,0.049116
250.141,0.05477
269.829,0.059706
289.529,0.070979
313.643,0.082095
340.966,0.09323
371.907,0.109303
394.817,0.127003
411.69,0.134718
422.344,8.9907
428.565,0.144871
449.613,7.0885
453.478,0.16378
472.873,5.8235
473.57,0.181825
498.489,0.213197
501.349,4.6546
514.967,0.2367
529.437,0.26162
533.831,3.474
541.898,0.28654
561.495,2.6049
561.997,0.33448
574.063,0.38169
579.136,2.17968
584.122,0.44159
593.165,1.84069
593.782,0.51793
603.182,1.59041
603.44,0.59649
611.481,0.63863
611.589,1.33709
618.326,0.72885
618.795,1.15535
621.966,0.8707
623.59,0.98478
