#: table_doi: 10.17182/hepdata.86565.v1/t11
#: name: Table 10
#: description: Upper cross-section limit in gluino R-hadron search.
#: data_file: data10.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: SIG | CLS
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
#TRUE MASS [GEV],EXP LIMIT (FULLDET) [FB],error +,error -
400,4.305,2.118,-1.146
600,1.654,0.721,-0.370
800,1.050,0.479,-0.223
1000,0.852,0.356,-0.164
1200,0.730,0.296,-0.168
1400,0.597,0.265,-0.100
1600,0.608,0.235,-0.103
1800,0.647,0.253,-0.076
2000,0.696,0.288,-0.078
2200,0.787,0.325,-0.091
2400,0.811,0.354,-0.103
2600,0.894,0.302,-0.134
2800,0.983,0.418,-0.153
3000,0.998,0.456,-0.100

