#: table_doi: 10.17182/hepdata.86565.v1/t8
#: name: Table 7
#: description: Expected signal yield and acceptance x efficiency, estimated background and observed number of events in data for the full range of simulated masses in the MS-agnostic search for metastable gluino R-hadrons.
#: data_file: data7.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO
#: keyword observables: N | ACC | EFF
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
LIFETIME [NS],MASS [GEV],EXPECTED,error +,error -
10,1000,800,100,-100
10,1200,220,40,-40
10,1400,70,10,-10
10,1600,22,4,-4
10,1800,8,1,-1
10,2000,2.8,0.5,-0.5
10,2200,1.0,0.2,-0.2
10,2400,0.35,0.06,-0.06
30,1000,1400,300,-300
30,1200,400,70,-70
30,1400,120,20,-20
30,1600,41,7,-7
30,1800,14,2,-2
30,2000,4.7,0.8,-0.8
30,2200,1.7,0.3,-0.3
30,2400,0.58,0.10,-0.10
50,1000,1500,300,-300
50,1200,410,70,-70
50,1400,140,30,-30
50,1600,41,7,-7
50,1800,14,2,-2
50,2000,5.2,0.9,-0.9
50,2200,1.7,0.3,-0.3
50,2400,0.6,0.1,-0.1

#: SQRT(S) [GEV],13000.0
LIFETIME [NS],MASS [GEV],ACC X EFF,error +,error -
10,1000,0.065,0.004,-0.004
10,1200,0.072,0.004,-0.004
10,1400,0.079,0.004,-0.004
10,1600,0.074,0.003,-0.003
10,1800,0.077,0.003,-0.003
10,2000,0.080,0.005,-0.005
10,2200,0.075,0.004,-0.004
10,2400,0.073,0.004,-0.004
30,1000,0.121,0.006,-0.006
30,1200,0.129,0.006,-0.006
30,1400,0.132,0.005,-0.005
30,1600,0.140,0.005,-0.005
30,1800,0.139,0.005,-0.005
30,2000,0.132,0.007,-0.007
30,2200,0.132,0.005,-0.005
30,2400,0.120,0.004,-0.004
50,1000,0.125,0.005,-0.005
50,1200,0.133,0.005,-0.005
50,1400,0.149,0.006,-0.006
50,1600,0.142,0.005,-0.005
50,1800,0.142,0.005,-0.005
50,2000,0.146,0.005,-0.005
50,2200,0.130,0.004,-0.004
50,2400,0.122,0.004,-0.004

#: SQRT(S) [GEV],13000.0
LIFETIME [NS],MASS [GEV],ESTIMATED,error +,error -
10,1000,1.0,0.3,-0.3
10,1200,0.7,0.3,-0.3
10,1400,0.6,0.2,-0.2
10,1600,0.5,0.2,-0.2
10,1800,0.4,0.1,-0.1
10,2000,0.4,0.1,-0.1
10,2200,0.4,0.1,-0.1
10,2400,0.4,0.1,-0.1
30,1000,1.0,0.3,-0.3
30,1200,0.7,0.3,-0.3
30,1400,0.6,0.2,-0.2
30,1600,0.5,0.2,-0.2
30,1800,0.4,0.1,-0.1
30,2000,0.4,0.1,-0.1
30,2200,0.4,0.1,-0.1
30,2400,0.4,0.1,-0.1
50,1000,1.0,0.3,-0.3
50,1200,0.7,0.3,-0.3
50,1400,0.6,0.2,-0.2
50,1600,0.5,0.2,-0.2
50,1800,0.4,0.1,-0.1
50,2000,0.4,0.1,-0.1
50,2200,0.4,0.1,-0.1
50,2400,0.4,0.1,-0.1

#: SQRT(S) [GEV],13000.0
LIFETIME [NS],MASS [GEV],OBSERVED
10,1000,2
10,1200,2
10,1400,2
10,1600,2
10,1800,2
10,2000,2
10,2200,2
10,2400,2
30,1000,2
30,1200,2
30,1400,2
30,1600,2
30,1800,2
30,2000,2
30,2200,2
30,2400,2
50,1000,2
50,1200,2
50,1400,2
50,1600,2
50,1800,2
50,2000,2
50,2200,2
50,2400,2

