#: table_doi: 10.17182/hepdata.86565.v1/t19
#: name: Table 18
#: description: Flavor composition of 800 GeV stop R-hadrons simulated using the generic model as a function of radial distance from the interaction point.
#: data_file: data18.yaml
#: data_license:   
#: keyword reactions: P P --> STOP+ STOP-
#: keyword observables: RATIO
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP DBAR)+,error +,error -
0.025,0.0,0.05,0.431,0.011,-0.011
0.075,0.05,0.1,0.431,0.011,-0.011
0.125,0.1,0.15,0.431,0.011,-0.011
0.175,0.15,0.2,0.431,0.011,-0.011
0.225,0.2,0.25,0.431,0.011,-0.011
0.275,0.25,0.3,0.431,0.011,-0.011
0.325,0.3,0.35,0.431,0.011,-0.011
0.375,0.35,0.4,0.431,0.011,-0.011
0.425,0.4,0.45,0.430,0.011,-0.011
0.475,0.45,0.5,0.430,0.011,-0.011
0.525,0.5,0.55,0.430,0.011,-0.011
0.575,0.55,0.6,0.430,0.011,-0.011
0.625,0.6,0.65,0.430,0.011,-0.011
0.675,0.65,0.7,0.430,0.011,-0.011
0.725,0.7,0.75,0.430,0.011,-0.011
0.775,0.75,0.8,0.430,0.011,-0.011
0.825,0.8,0.85,0.430,0.011,-0.011
0.875,0.85,0.9,0.429,0.011,-0.011
0.925,0.9,0.95,0.429,0.011,-0.011
0.975,0.95,1.0,0.429,0.011,-0.011
1.025,1.0,1.05,0.429,0.011,-0.011
1.075,1.05,1.1,0.429,0.011,-0.011
1.125,1.1,1.15,0.428,0.010,-0.010
1.175,1.15,1.2,0.427,0.010,-0.010
1.225,1.2,1.25,0.425,0.010,-0.010
1.275,1.25,1.3,0.420,0.010,-0.010
1.325,1.3,1.35,0.420,0.010,-0.010
1.375,1.35,1.4,0.419,0.010,-0.010
1.425,1.4,1.45,0.415,0.010,-0.010
1.475,1.45,1.5,0.409,0.010,-0.010
1.525,1.5,1.55,0.400,0.010,-0.010
1.575,1.55,1.6,0.395,0.010,-0.010
1.625,1.6,1.65,0.388,0.010,-0.010
1.675,1.65,1.7,0.378,0.010,-0.010
1.725,1.7,1.75,0.371,0.010,-0.010
1.775,1.75,1.8,0.359,0.010,-0.010
1.825,1.8,1.85,0.346,0.009,-0.009
1.875,1.85,1.9,0.334,0.009,-0.009
1.925,1.9,1.95,0.325,0.009,-0.009
1.975,1.95,2.0,0.314,0.009,-0.009
2.025,2.0,2.05,0.308,0.009,-0.009
2.075,2.05,2.1,0.299,0.009,-0.009
2.125,2.1,2.15,0.294,0.009,-0.009
2.175,2.15,2.2,0.289,0.009,-0.009
2.225,2.2,2.25,0.284,0.009,-0.009
2.275,2.25,2.3,0.281,0.008,-0.008
2.325,2.3,2.35,0.263,0.008,-0.008
2.375,2.35,2.4,0.247,0.008,-0.008
2.425,2.4,2.45,0.235,0.008,-0.008
2.475,2.45,2.5,0.221,0.008,-0.008
2.525,2.5,2.55,0.208,0.007,-0.007
2.575,2.55,2.6,0.192,0.007,-0.007
2.625,2.6,2.65,0.182,0.007,-0.007
2.675,2.65,2.7,0.172,0.007,-0.007
2.725,2.7,2.75,0.163,0.006,-0.006
2.775,2.75,2.8,0.154,0.006,-0.006
2.825,2.8,2.85,0.147,0.006,-0.006
2.875,2.85,2.9,0.138,0.006,-0.006
2.925,2.9,2.95,0.132,0.006,-0.006
2.975,2.95,3.0,0.126,0.006,-0.006
3.025,3.0,3.05,0.119,0.006,-0.006
3.075,3.05,3.1,0.109,0.005,-0.005
3.125,3.1,3.15,0.103,0.005,-0.005
3.175,3.15,3.2,0.096,0.005,-0.005
3.225,3.2,3.25,0.091,0.005,-0.005
3.275,3.25,3.3,0.086,0.005,-0.005
3.325,3.3,3.35,0.084,0.005,-0.005
3.375,3.35,3.4,0.079,0.005,-0.005
3.425,3.4,3.45,0.076,0.004,-0.004
3.475,3.45,3.5,0.075,0.004,-0.004
3.525,3.5,3.55,0.072,0.004,-0.004
3.575,3.55,3.6,0.069,0.004,-0.004
3.625,3.6,3.65,0.066,0.004,-0.004
3.675,3.65,3.7,0.062,0.004,-0.004
3.725,3.7,3.75,0.058,0.004,-0.004
3.775,3.75,3.8,0.056,0.004,-0.004
3.825,3.8,3.85,0.054,0.004,-0.004
3.875,3.85,3.9,0.051,0.004,-0.004
3.925,3.9,3.95,0.048,0.004,-0.004
3.975,3.95,4.0,0.048,0.004,-0.004

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP UBAR),error +,error -
0.025,0.0,0.05,0.416,0.010,-0.010
0.075,0.05,0.1,0.416,0.010,-0.010
0.125,0.1,0.15,0.416,0.010,-0.010
0.175,0.15,0.2,0.416,0.010,-0.010
0.225,0.2,0.25,0.416,0.010,-0.010
0.275,0.25,0.3,0.416,0.010,-0.010
0.325,0.3,0.35,0.416,0.010,-0.010
0.375,0.35,0.4,0.416,0.010,-0.010
0.425,0.4,0.45,0.416,0.010,-0.010
0.475,0.45,0.5,0.416,0.010,-0.010
0.525,0.5,0.55,0.416,0.010,-0.010
0.575,0.55,0.6,0.416,0.010,-0.010
0.625,0.6,0.65,0.416,0.010,-0.010
0.675,0.65,0.7,0.416,0.010,-0.010
0.725,0.7,0.75,0.415,0.010,-0.010
0.775,0.75,0.8,0.415,0.010,-0.010
0.825,0.8,0.85,0.415,0.010,-0.010
0.875,0.85,0.9,0.415,0.010,-0.010
0.925,0.9,0.95,0.414,0.010,-0.010
0.975,0.95,1.0,0.414,0.010,-0.010
1.025,1.0,1.05,0.412,0.010,-0.010
1.075,1.05,1.1,0.411,0.010,-0.010
1.125,1.1,1.15,0.410,0.010,-0.010
1.175,1.15,1.2,0.409,0.010,-0.010
1.225,1.2,1.25,0.407,0.010,-0.010
1.275,1.25,1.3,0.405,0.010,-0.010
1.325,1.3,1.35,0.405,0.010,-0.010
