#: table_doi: 10.17182/hepdata.86565.v1/t21
#: name: Table 20
#: description: Flavor composition of 800 GeV stop R-hadrons simulated using the Regge model as a function of radial distance from the interaction point.
#: data_file: data20.yaml
#: data_license:   
#: keyword reactions: P P --> STOP+ STOP-
#: keyword observables: RATIO
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP DBAR)+,error +,error -
0.025,0.0,0.05,0.524,0.012,-0.012
0.075,0.05,0.1,0.524,0.012,-0.012
0.125,0.1,0.15,0.524,0.012,-0.012
0.175,0.15,0.2,0.524,0.012,-0.012
0.225,0.2,0.25,0.524,0.012,-0.012
0.275,0.25,0.3,0.524,0.012,-0.012
0.325,0.3,0.35,0.524,0.012,-0.012
0.375,0.35,0.4,0.524,0.012,-0.012
0.425,0.4,0.45,0.524,0.012,-0.012
0.475,0.45,0.5,0.524,0.012,-0.012
0.525,0.5,0.55,0.524,0.012,-0.012
0.575,0.55,0.6,0.524,0.012,-0.012
0.625,0.6,0.65,0.524,0.012,-0.012
0.675,0.65,0.7,0.524,0.012,-0.012
0.725,0.7,0.75,0.524,0.012,-0.012
0.775,0.75,0.8,0.524,0.012,-0.012
0.825,0.8,0.85,0.524,0.012,-0.012
0.875,0.85,0.9,0.524,0.012,-0.012
0.925,0.9,0.95,0.524,0.012,-0.012
0.975,0.95,1.0,0.524,0.012,-0.012
1.025,1.0,1.05,0.523,0.012,-0.012
1.075,1.05,1.1,0.524,0.012,-0.012
1.125,1.1,1.15,0.523,0.012,-0.012
1.175,1.15,1.2,0.523,0.012,-0.012
1.225,1.2,1.25,0.524,0.012,-0.012
1.275,1.25,1.3,0.524,0.012,-0.012
1.325,1.3,1.35,0.524,0.012,-0.012
1.375,1.35,1.4,0.524,0.012,-0.012
1.425,1.4,1.45,0.522,0.012,-0.012
1.475,1.45,1.5,0.519,0.012,-0.012
1.525,1.5,1.55,0.518,0.012,-0.012
1.575,1.55,1.6,0.514,0.011,-0.011
1.625,1.6,1.65,0.512,0.011,-0.011
1.675,1.65,1.7,0.509,0.011,-0.011
1.725,1.7,1.75,0.506,0.011,-0.011
1.775,1.75,1.8,0.505,0.011,-0.011
1.825,1.8,1.85,0.504,0.011,-0.011
1.875,1.85,1.9,0.498,0.011,-0.011
1.925,1.9,1.95,0.493,0.011,-0.011
1.975,1.95,2.0,0.490,0.011,-0.011
2.025,2.0,2.05,0.485,0.011,-0.011
2.075,2.05,2.1,0.484,0.011,-0.011
2.125,2.1,2.15,0.479,0.011,-0.011
2.175,2.15,2.2,0.474,0.011,-0.011
2.225,2.2,2.25,0.473,0.011,-0.011
2.275,2.25,2.3,0.469,0.011,-0.011
2.325,2.3,2.35,0.462,0.011,-0.011
2.375,2.35,2.4,0.452,0.011,-0.011
2.425,2.4,2.45,0.445,0.011,-0.011
2.475,2.45,2.5,0.439,0.011,-0.011
2.525,2.5,2.55,0.436,0.011,-0.011
2.575,2.55,2.6,0.432,0.011,-0.011
2.625,2.6,2.65,0.425,0.010,-0.010
2.675,2.65,2.7,0.418,0.010,-0.010
2.725,2.7,2.75,0.409,0.010,-0.010
2.775,2.75,2.8,0.404,0.010,-0.010
2.825,2.8,2.85,0.400,0.010,-0.010
2.875,2.85,2.9,0.399,0.010,-0.010
2.925,2.9,2.95,0.397,0.010,-0.010
2.975,2.95,3.0,0.392,0.010,-0.010
3.025,3.0,3.05,0.383,0.010,-0.010
3.075,3.05,3.1,0.377,0.010,-0.010
3.125,3.1,3.15,0.372,0.010,-0.010
3.175,3.15,3.2,0.367,0.010,-0.010
3.225,3.2,3.25,0.360,0.010,-0.010
3.275,3.25,3.3,0.356,0.010,-0.010
3.325,3.3,3.35,0.350,0.009,-0.009
3.375,3.35,3.4,0.347,0.009,-0.009
3.425,3.4,3.45,0.343,0.009,-0.009
3.475,3.45,3.5,0.338,0.009,-0.009
3.525,3.5,3.55,0.333,0.009,-0.009
3.575,3.55,3.6,0.328,0.009,-0.009
3.625,3.6,3.65,0.328,0.009,-0.009
3.675,3.65,3.7,0.324,0.009,-0.009
3.725,3.7,3.75,0.321,0.009,-0.009
3.775,3.75,3.8,0.314,0.009,-0.009
3.825,3.8,3.85,0.310,0.009,-0.009
3.875,3.85,3.9,0.301,0.009,-0.009
3.925,3.9,3.95,0.297,0.009,-0.009
3.975,3.95,4.0,0.298,0.009,-0.009

#: SQRT(S) [GEV],,,13000.0
DISTANCE R [M],DISTANCE R [M] LOW,DISTANCE R [M] HIGH,(STOP UBAR),error +,error -
0.025,0.0,0.05,0.429,0.011,-0.011
0.075,0.05,0.1,0.429,0.011,-0.011
0.125,0.1,0.15,0.429,0.011,-0.011
0.175,0.15,0.2,0.429,0.011,-0.011
0.225,0.2,0.25,0.429,0.011,-0.011
0.275,0.25,0.3,0.429,0.011,-0.011
0.325,0.3,0.35,0.429,0.011,-0.011
0.375,0.35,0.4,0.429,0.011,-0.011
0.425,0.4,0.45,0.429,0.011,-0.011
0.475,0.45,0.5,0.429,0.011,-0.011
0.525,0.5,0.55,0.429,0.011,-0.011
0.575,0.55,0.6,0.429,0.011,-0.011
0.625,0.6,0.65,0.429,0.011,-0.011
0.675,0.65,0.7,0.429,0.011,-0.011
0.725,0.7,0.75,0.429,0.011,-0.011
0.775,0.75,0.8,0.429,0.011,-0.011
0.825,0.8,0.85,0.429,0.011,-0.011
0.875,0.85,0.9,0.429,0.011,-0.011
0.925,0.9,0.95,0.429,0.011,-0.011
0.975,0.95,1.0,0.429,0.011,-0.011
1.025,1.0,1.05,0.430,0.011,-0.011
1.075,1.05,1.1,0.429,0.011,-0.011
1.125,1.1,1.15,0.429,0.011,-0.011
1.175,1.15,1.2,0.429,0.011,-0.011
1.225,1.2,1.25,0.428,0.010,-0.010
1.275,1.25,1.3,0.428,0.010,-0.010
1.325,1.3,1.35,0.428,0.010,-0.010
1.375,1.35,1.4,0.428,0.010,-0.010
1.425,1.4,1.45,0.428,0.010,-0.010
1.475,1.45,1.5,0.429,0.011,-0.011
1.525,1.5,1.55,0.428,0.010,-0.010
1.575,1.55,1.6,0.430,0.011,-0.011
1.625,1.6,1.65,0.429,0.010,-0.010
1.675,1.65,1.7,0.427,0.010,-0.010
1.725,1.7,1.75,0.427,0.010,-0.010
1.775,1.75,1.8,0.425,0.010,-0.010
1.825,1.8,1.85,0.420,0.010,-0.010
1.875,1.85,1.9,0.422,0.010,-0.010
1.925,1.9,1.95,0.422,0.010,-0.010
1.975,1.95,2.0,0.422,0.010,-0.010
2.025,2.0,2.05,0.422,0.010,-0.010
2.075,2.05,2.1,0.420,0.010,-0.010
2.125,2.1,2.15,0.421,0.010,-0.010
2.175,2.15,2.2,0.423,0.010,-0.010
2.225,2.2,2.25,0.422,0.010,-0.010
2.275,2.25,2.3,0.422,0.010,-0.010
2.325,2.3,2.35,0.419,0.010,-0.010
2.375,2.35,2.4,0.417,0.010,-0.010
2.425,2.4,2.45,0.413,0.010,-0.010
2.475,2.45,2.5,0.411,0.010,-0.010
2.525,2.5,2.55,0.404,0.010,-0.010
2.575,2.55,2.6,0.400,0.010,-0.010
2.625,2.6,2.65,0.399,0.010,-0.010
2.675,2.65,2.7,0.395,0.010,-0.010
2.725,2.7,2.75,0.392,0.010,-0.010
2.775,2.75,2.8,0.386,0.010,-0.010
2.825,2.8,2.85,0.383,0.010,-0.010
2.875,2.85,2.9,0.376,0.010,-0.010
2.925,2.9,2.95,0.371,0.010,-0.010
2.975,2.95,3.0,0.367,0.010,-0.010
3.025,3.0,3.05,0.368,0.010,-0.010
3.075,3.05,3.1,0.365,0.010,-0.010
3.125,3.1,3.15,0.359,0.010,-0.010
3.175,3.15,3.2,0.356,0.010,-0.010
3.225,3.2,3.25,0.354,0.010,-0.010
3.275,3.25,3.3,0.352,0.010,-0.010
3.325,3.3,3.35,0.351,0.009,-0.009
3.375,3.35,3.4,0.347,0.009,-0.009
3.425,3.4,3.45,0.342,0.009,-0.009
