#: table_doi: 10.17182/hepdata.86565.v1/t14
#: name: Table 13
#: description: Upper cross-section limit in stau search.
#: data_file: data13.yaml
#: data_license:   
#: keyword reactions: P P --> STAU+ STAU-
#: keyword observables: SIG | CLS
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
#TRUE MASS [GEV],EXP LIMIT [FB],error +,error -
287,0.492,0.164,-0.041
318,0.441,0.097,-0.028
349,0.424,0.040,-0.033
380,0.421,0.034,-0.031
411,0.392,0.035,-0.049
442,0.385,0.038,-0.042
473,0.361,0.031,-0.032
504,0.348,0.028,-0.035
536,0.340,0.059,-0.039
567,0.314,0.038,-0.045
598,0.313,0.033,-0.053
629,0.299,0.045,-0.039
660,0.291,0.042,-0.046
692,0.298,0.041,-0.044
723,0.287,0.042,-0.044
754,0.284,0.035,-0.040
785,0.270,0.047,-0.035
817,0.265,0.052,-0.044
848,0.257,0.058,-0.032
879,0.253,0.065,-0.030
911,0.247,0.049,-0.037
