#: table_doi: 10.17182/hepdata.86565.v1/t2
#: name: Table 1
#: description: Lower mass requirement for signal regions.
#: data_file: data1.yaml
#: data_license:   
#: keyword reactions: P P --> GLUINO GLUINO | P P --> SQUARK+ SQUARK-
#: keyword observables: M
#: keyword phrases: Proton-Proton Scattering | Supersymmetry | SUSY | LLP
#: keyword cmenergies: 13000.0
#: SQRT(S) [GEV],13000.0
TRUE MASS [GEV],MINIMUM TOF MASS [GEV]
400,350
600,450
800,550
1000,650
1200,700
1400,750
1600,800
1800,850
2000,850
2200,850
2400,850
2600,850
2800,850
3000,850

#: SQRT(S) [GEV],13000.0
TRUE MASS [GEV],MINIMUM DE/DX MASS [GEV]
400,300
600,400
800,450
1000,550
1200,600
1400,650
1600,700
1800,700
2000,750
2200,750
2400,750
2600,750
2800,750
3000,750

