txName: TChiWH
constraint: [[['W']],[['higgs']]]
condition: None
conditionDescription: None
susyProcess: pp --> neutralino_2 chargino^pm_1, neutralino_2 chargino^pm_1 --> H W lsp lsp
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13006/Fig16_exclusion_TChiWH.png
dataUrl: https://twiki.cern.ch/twiki/bin/view/CMSPublic/PhysicsResultsSUS13006
source: CMS
validated: False
axes: [[x, y], [x, y]]
efficiencyMap: [[[[125*GeV,0*GeV],[125*GeV,0*GeV]],0.00059157],
[[[150*GeV,0*GeV],[150*GeV,0*GeV]],0.00082498],
[[[150*GeV,25*GeV],[150*GeV,25*GeV]],0.00069094],
[[[175*GeV,0*GeV],[175*GeV,0*GeV]],0.0015179],
[[[175*GeV,25*GeV],[175*GeV,25*GeV]],0.0012751],
[[[175*GeV,50*GeV],[175*GeV,50*GeV]],0.00074591],
[[[200*GeV,0*GeV],[200*GeV,0*GeV]],0.0025076],
[[[200*GeV,25*GeV],[200*GeV,25*GeV]],0.0026263],
[[[200*GeV,50*GeV],[200*GeV,50*GeV]],0.0016826],
[[[200*GeV,75*GeV],[200*GeV,75*GeV]],0.00087373],
[[[225*GeV,0*GeV],[225*GeV,0*GeV]],0.0042736],
[[[225*GeV,25*GeV],[225*GeV,25*GeV]],0.0042465],
[[[225*GeV,50*GeV],[225*GeV,50*GeV]],0.0027813],
[[[225*GeV,75*GeV],[225*GeV,75*GeV]],0.00207],
[[[225*GeV,100*GeV],[225*GeV,100*GeV]],0.00090032],
[[[250*GeV,0*GeV],[250*GeV,0*GeV]],0.0058385],
[[[250*GeV,25*GeV],[250*GeV,25*GeV]],0.0058439],
[[[250*GeV,50*GeV],[250*GeV,50*GeV]],0.0049131],
[[[250*GeV,75*GeV],[250*GeV,75*GeV]],0.0035556],
[[[250*GeV,100*GeV],[250*GeV,100*GeV]],0.0018305],
[[[250*GeV,125*GeV],[250*GeV,125*GeV]],0.00088839],
[[[275*GeV,0*GeV],[275*GeV,0*GeV]],0.0091515],
[[[275*GeV,25*GeV],[275*GeV,25*GeV]],0.0076803],
[[[275*GeV,50*GeV],[275*GeV,50*GeV]],0.0073255],
