#Data digitized from
#http://cms-results.web.cern.ch/cms-results/public-results/publications/SUS-19-009/CMS-SUS-19-009_Figure_006.pdf
#using PDFLimitReader
# stop mass (GeV)     LSP mass (GeV)
     1.5721879e+02     0.0000000e+00
     1.7499986e+02     1.3234206e+01
     1.8949304e+02     2.6143744e+01
     1.9180223e+02     3.0553668e+01
     1.9988058e+02     3.2175824e+01
     2.0682820e+02     3.5072110e+01
     2.1329109e+02     3.3913596e+01
     2.1543803e+02     2.6143744e+01
     2.1286690e+02     1.5860231e+01
     2.0713886e+02     0.0000000e+00
     5.1300239e+02     4.4758329e+02
     5.2500079e+02     4.5538656e+02
     5.3772976e+02     4.6312477e+02
     5.5099185e+02     4.7180328e+02
     5.6372740e+02     4.7674130e+02
     5.7282328e+02     4.8931109e+02
     5.8646711e+02     4.9559747e+02
     5.9874523e+02     4.9829120e+02
     6.0192747e+02     4.9469857e+02
     5.9692540e+02     4.8302768e+02
     5.9010348e+02     4.7135383e+02
     5.9737953e+02     4.6507041e+02
     6.0784111e+02     4.6821064e+02
     6.2057337e+02     4.7629185e+02
     6.3330893e+02     4.8751625e+02
     6.3831100e+02     4.9379967e+02
     6.4467878e+02     4.9694286e+02
     6.5000007e+02     4.9967799e+02
     6.5886230e+02     5.0346283e+02
     6.7332884e+02     5.0322923e+02
     6.8412937e+02     4.9673292e+02
     6.9606854e+02     4.9694286e+02
     7.0431539e+02     5.0301929e+02
     7.2500161e+02     5.0405421e+02
     7.3791158e+02     5.0951265e+02
     7.5319424e+02     5.2287489e+02
     7.6828274e+02     5.2990049e+02
     7.7061924e+02     5.3801718e+02
     7.8139345e+02     5.4361755e+02
     8.0045729e+02     5.4781635e+02
     8.1741499e+02     5.5695022e+02
     8.2500037e+02     5.6803269e+02
     8.3514603e+02     5.7516474e+02
     8.5018517e+02     5.8421286e+02
     8.7173359e+02     5.9891162e+02
     8.9576660e+02     6.0661139e+02
     9.1565973e+02     6.0871079e+02
     9.3472028e+02     6.1780918e+02
     9.5046695e+02     6.2620974e+02
     9.6538433e+02     6.2900993e+02
     9.8776204e+02     6.3110933e+02
     1.0000007e+03     6.3575462e+02
     1.0328367e+03     6.4540299e+02
     1.0590384e+03     6.4650887e+02
     1.0876818e+03     6.4033486e+02
     1.0999994e+03     6.3743414e+02
     1.1203697e+03     6.2411034e+02
     1.1336318e+03     6.0311042e+02
     1.1419182e+03     5.8631226e+02
     1.1500005e+03     5.6525912e+02
     1.1576648e+03     5.3451917e+02
     1.1636114e+03     5.0864036e+02
     1.1679026e+03     4.8275564e+02
     1.1717332e+03     4.4786420e+02
     1.1738097e+03     4.1991556e+02
     1.1758994e+03     3.9173037e+02
     1.1793712e+03     3.6601419e+02
     1.1843568e+03     3.3385197e+02
     1.1870356e+03     3.1372434e+02
     1.1909681e+03     2.8194060e+02
     1.1932158e+03     2.5461883e+02
     1.1954667e+03     2.2593096e+02
     1.1968719e+03     1.9860919e+02
     1.1971253e+03     1.5986786e+02
     1.1965922e+03     1.0298298e+02
     1.1959867e+03     5.2287489e+01
     1.1951837e+03     2.5117108e+01
     1.1946374e+03     0.0000000e+00
