#Data digitized from
#http://cms-results.web.cern.ch/cms-results/public-results/publications/SUS-19-009/CMS-SUS-19-009_Figure_007.pdf
#using PDFLimitReader
# stop mass (GeV)     LSP mass (GeV)
     6.4266749e+02     6.1392541e+02
     6.5122578e+02     6.1421725e+02
     6.5654904e+02     6.1495606e+02
     6.8089071e+02     6.1329703e+02
     6.9976696e+02     6.0597994e+02
     7.1594841e+02     6.0719200e+02
     7.2499953e+02     6.0970816e+02
     7.4812491e+02     6.2109000e+02
     7.6246770e+02     6.2367451e+02
     7.7055843e+02     6.2658242e+02
     7.8404191e+02     6.3167256e+02
     7.9999906e+02     6.3449107e+02
     8.3865193e+02     6.4669849e+02
     8.7101483e+02     6.4766867e+02
     8.9730889e+02     6.4815507e+02
     9.1551223e+02     6.4936714e+02
     9.3101761e+02     6.5348711e+02
     9.5663876e+02     6.4694301e+02
     9.6742429e+02     6.3627631e+02
     1.0060993e+03     5.9073316e+02
     1.0499996e+03     5.3014568e+02
     1.0518067e+03     5.2746915e+02
     1.0520847e+03     5.2509760e+02
     1.0550006e+03     5.1853247e+02
     1.0706513e+03     4.5945942e+02
     1.0765559e+03     4.2572142e+02
     1.0857144e+03     3.9382123e+02
     1.0959186e+03     3.3354400e+02
     1.0963641e+03     3.2818567e+02
     1.1053678e+03     2.5714446e+02
     1.1074624e+03     1.9691193e+02
     1.1042242e+03     1.3127374e+02
     1.1036587e+03     1.2647018e+02
     1.1000003e+03     9.8455965e+01
     1.0944433e+03     6.5638186e+01
     1.0867095e+03     3.2818567e+01
     1.0829564e+03     1.1188070e+01
     1.0802648e+03     0.0000000e+00
