#Data digitized from
#http://cms-results.web.cern.ch/cms-results/public-results/publications/EXO-19-001/CMS-EXO-19-001_Figure_003.pdf
#using PDFLimitReader
#      mass (GeV)        width (GeV)                eff
     1.0000000e+03     6.2202002e-16     1.3502494e-02
     1.1500000e+03     6.2202002e-16     1.8803123e-02
     1.3000000e+03     6.2202002e-16     2.6184203e-02
     1.6000000e+03     6.2202002e-16     3.6463247e-02
     2.1500000e+03     6.2202002e-16     5.0777502e-02
     1.0000000e+03     5.7650670e-16     1.3502494e-02
     1.1500000e+03     5.7650670e-16     1.8803123e-02
     1.3000000e+03     5.7650670e-16     2.6184203e-02
     1.6000000e+03     5.7650670e-16     3.6463247e-02
     2.1500000e+03     5.7650670e-16     5.0777502e-02
     1.0000000e+03     5.3432360e-16     1.8803123e-02
     1.1500000e+03     5.3432360e-16     2.6184203e-02
     1.3000000e+03     5.3432360e-16     3.6463247e-02
     1.5600000e+03     5.3432360e-16     5.0777502e-02
     2.1000000e+03     5.3432360e-16     7.0711055e-02
     2.9600000e+03     5.3432360e-16     9.8468356e-02
     1.0000000e+03     4.9522705e-16     1.8803123e-02
     1.1500000e+03     4.9522705e-16     2.6184203e-02
     1.3000000e+03     4.9522705e-16     3.6463247e-02
     1.5600000e+03     4.9522705e-16     5.0777502e-02
     2.1000000e+03     4.9522705e-16     7.0711055e-02
     2.9600000e+03     4.9522705e-16     9.8468356e-02
     1.0000000e+03     4.5899120e-16     2.6184203e-02
     1.1500000e+03     4.5899120e-16     3.6463247e-02
     1.3000000e+03     4.5899120e-16     5.0777502e-02
     1.6000000e+03     4.5899120e-16     7.0711055e-02
     2.2500000e+03     4.5899120e-16     9.8468356e-02
     1.0000000e+03     4.2540673e-16     2.6184203e-02
     1.1500000e+03     4.2540673e-16     3.6463247e-02
     1.3000000e+03     4.2540673e-16     5.0777502e-02
     1.6000000e+03     4.2540673e-16     7.0711055e-02
     2.2500000e+03     4.2540673e-16     9.8468356e-02
     1.0000000e+03     3.9427965e-16     3.6463247e-02
     1.2000000e+03     3.9427965e-16     5.0777502e-02
     1.4100000e+03     3.9427965e-16     7.0711055e-02
     1.7500000e+03     3.9427965e-16     9.8468356e-02
     2.4600000e+03     3.9427965e-16     1.3712375e-01
     1.0000000e+03     3.6543014e-16     3.6463247e-02
     1.0500000e+03     3.6543014e-16     5.0777502e-02
     1.2500000e+03     3.6543014e-16     7.0711055e-02
     1.5100000e+03     3.6543014e-16     9.8468356e-02
     2.0100000e+03     3.6543014e-16     1.3712375e-01
     2.8000000e+03     3.6543014e-16     1.9095396e-01
     1.0000000e+03     3.3869155e-16     3.6463247e-02
     1.0500000e+03     3.3869155e-16     5.0777502e-02
     1.2500000e+03     3.3869155e-16     7.0711055e-02
     1.5100000e+03     3.3869155e-16     9.8468356e-02
     2.0100000e+03     3.3869155e-16     1.3712375e-01
     2.8000000e+03     3.3869155e-16     1.9095396e-01
     1.0000000e+03     3.1390943e-16     5.0777502e-02
     1.1500000e+03     3.1390943e-16     7.0711055e-02
     1.3600000e+03     3.1390943e-16     9.8468356e-02
     1.7000000e+03     3.1390943e-16     1.3712375e-01
     2.3500000e+03     3.1390943e-16     1.9095396e-01
     1.0000000e+03     2.9094062e-16     5.0777502e-02
     1.1500000e+03     2.9094062e-16     7.0711055e-02
     1.3600000e+03     2.9094062e-16     9.8468356e-02
     1.7000000e+03     2.9094062e-16     1.3712375e-01
     2.3500000e+03     2.9094062e-16     1.9095396e-01
     1.0000000e+03     2.6965244e-16     5.0777502e-02
     1.0500000e+03     2.6965244e-16     7.0711055e-02
     1.2500000e+03     2.6965244e-16     9.8468356e-02
     1.5100000e+03     2.6965244e-16     1.3712375e-01
     2.0100000e+03     2.6965244e-16     1.9095396e-01
     2.8500000e+03     2.6965244e-16     2.6591206e-01
     1.0000000e+03     2.4992193e-16     5.0777502e-02
     1.0500000e+03     2.4992193e-16     7.0711055e-02
     1.2500000e+03     2.4992193e-16     9.8468356e-02
     1.5100000e+03     2.4992193e-16     1.3712375e-01
     2.0100000e+03     2.4992193e-16     1.9095396e-01
     2.8500000e+03     2.4992193e-16     2.6591206e-01
     1.0000000e+03     2.3163509e-16     7.0711055e-02
     1.1500000e+03     2.3163509e-16     9.8468356e-02
     1.4100000e+03     2.3163509e-16     1.3712375e-01
     1.8000000e+03     2.3163509e-16     1.9095396e-01
     2.5100000e+03     2.3163509e-16     2.6591206e-01
     1.0000000e+03     2.1468631e-16     7.0711055e-02
     1.1500000e+03     2.1468631e-16     9.8468356e-02
     1.4100000e+03     2.1468631e-16     1.3712375e-01
     1.8000000e+03     2.1468631e-16     1.9095396e-01
     2.5100000e+03     2.1468631e-16     2.6591206e-01
     1.0000000e+03     1.9897768e-16     7.0711055e-02
     1.1000000e+03     1.9897768e-16     9.8468356e-02
     1.3000000e+03     1.9897768e-16     1.3712375e-01
     1.6500000e+03     1.9897768e-16     1.9095396e-01
     2.2500000e+03     1.9897768e-16     2.6591206e-01
     1.0000000e+03     1.8441845e-16     7.0711055e-02
     1.1000000e+03     1.8441845e-16     9.8468356e-02
     1.3000000e+03     1.8441845e-16     1.3712375e-01
     1.6500000e+03     1.8441845e-16     1.9095396e-01
     2.2500000e+03     1.8441845e-16     2.6591206e-01
     1.0000000e+03     1.7092452e-16     7.0711055e-02
     1.1000000e+03     1.7092452e-16     9.8468356e-02
     1.3000000e+03     1.7092452e-16     1.3712375e-01
     1.6500000e+03     1.7092452e-16     1.9095396e-01
     2.2500000e+03     1.7092452e-16     2.6591206e-01
     1.0000000e+03     1.5841794e-16     7.0711055e-02
     1.1000000e+03     1.5841794e-16     9.8468356e-02
     1.3000000e+03     1.5841794e-16     1.3712375e-01
     1.6500000e+03     1.5841794e-16     1.9095396e-01
     2.2500000e+03     1.5841794e-16     2.6591206e-01
     1.0000000e+03     1.4682647e-16     7.0711055e-02
     1.1000000e+03     1.4682647e-16     9.8468356e-02
     1.3000000e+03     1.4682647e-16     1.3712375e-01
     1.6500000e+03     1.4682647e-16     1.9095396e-01
     2.2500000e+03     1.4682647e-16     2.6591206e-01
     1.0000000e+03     1.3608315e-16     7.0711055e-02
     1.1000000e+03     1.3608315e-16     9.8468356e-02
     1.3000000e+03     1.3608315e-16     1.3712375e-01
     1.6500000e+03     1.3608315e-16     1.9095396e-01
     2.2500000e+03     1.3608315e-16     2.6591206e-01
     1.0000000e+03     1.2612592e-16     7.0711055e-02
     1.1000000e+03     1.2612592e-16     9.8468356e-02
     1.3000000e+03     1.2612592e-16     1.3712375e-01
     1.6500000e+03     1.2612592e-16     1.9095396e-01
     2.2500000e+03     1.2612592e-16     2.6591206e-01
     1.0000000e+03     1.1689727e-16     7.0711055e-02
     1.1000000e+03     1.1689727e-16     9.8468356e-02
     1.3000000e+03     1.1689727e-16     1.3712375e-01
     1.6500000e+03     1.1689727e-16     1.9095396e-01
     2.2500000e+03     1.1689727e-16     2.6591206e-01
     1.0000000e+03     1.0834387e-16     7.0711055e-02
     1.1000000e+03     1.0834387e-16     9.8468356e-02
     1.3000000e+03     1.0834387e-16     1.3712375e-01
     1.6500000e+03     1.0834387e-16     1.9095396e-01
     2.3000000e+03     1.0834387e-16     2.6591206e-01
     1.0000000e+03     1.0041633e-16     7.0711055e-02
     1.1000000e+03     1.0041633e-16     9.8468356e-02
     1.3000000e+03     1.0041633e-16     1.3712375e-01
     1.6500000e+03     1.0041633e-16     1.9095396e-01
     2.3000000e+03     1.0041633e-16     2.6591206e-01
     1.0000000e+03     9.3068853e-17     7.0711055e-02
     1.1000000e+03     9.3068853e-17     9.8468356e-02
     1.3000000e+03     9.3068853e-17     1.3712375e-01
     1.6500000e+03     9.3068853e-17     1.9095396e-01
     2.3000000e+03     9.3068853e-17     2.6591206e-01
     1.0000000e+03     8.6258988e-17     7.0711055e-02
     1.1000000e+03     8.6258988e-17     9.8468356e-02
     1.3000000e+03     8.6258988e-17     1.3712375e-01
     1.6500000e+03     8.6258988e-17     1.9095396e-01
     2.3000000e+03     8.6258988e-17     2.6591206e-01
     1.0000000e+03     7.9947403e-17     7.0711055e-02
     1.1000000e+03     7.9947403e-17     9.8468356e-02
     1.3000000e+03     7.9947403e-17     1.3712375e-01
     1.6500000e+03     7.9947403e-17     1.9095396e-01
     2.3000000e+03     7.9947403e-17     2.6591206e-01
     1.0000000e+03     7.4097637e-17     7.0711055e-02
     1.1000000e+03     7.4097637e-17     9.8468356e-02
     1.3000000e+03     7.4097637e-17     1.3712375e-01
     1.6500000e+03     7.4097637e-17     1.9095396e-01
     2.3000000e+03     7.4097637e-17     2.6591206e-01
     1.0000000e+03     6.8675900e-17     7.0711055e-02
     1.1000000e+03     6.8675900e-17     9.8468356e-02
     1.3000000e+03     6.8675900e-17     1.3712375e-01
     1.6500000e+03     6.8675900e-17     1.9095396e-01
     2.3000000e+03     6.8675900e-17     2.6591206e-01
     1.0000000e+03     6.3650872e-17     7.0711055e-02
     1.1500000e+03     6.3650872e-17     9.8468356e-02
     1.3600000e+03     6.3650872e-17     1.3712375e-01
     1.7000000e+03     6.3650872e-17     1.9095396e-01
     2.4000000e+03     6.3650872e-17     2.6591206e-01
     1.0000000e+03     5.8993527e-17     7.0711055e-02
     1.1500000e+03     5.8993527e-17     9.8468356e-02
     1.3600000e+03     5.8993527e-17     1.3712375e-01
     1.7000000e+03     5.8993527e-17     1.9095396e-01
     2.4000000e+03     5.8993527e-17     2.6591206e-01
     1.0000000e+03     5.4676960e-17     7.0711055e-02
     1.2000000e+03     5.4676960e-17     9.8468356e-02
     1.4100000e+03     5.4676960e-17     1.3712375e-01
     1.8000000e+03     5.4676960e-17     1.9095396e-01
     2.5500000e+03     5.4676960e-17     2.6591206e-01
     1.0000000e+03     5.0676237e-17     7.0711055e-02
     1.2000000e+03     5.0676237e-17     9.8468356e-02
     1.4100000e+03     5.0676237e-17     1.3712375e-01
     1.8000000e+03     5.0676237e-17     1.9095396e-01
     2.5500000e+03     5.0676237e-17     2.6591206e-01
     1.0000000e+03     4.6968248e-17     5.0777502e-02
     1.0500000e+03     4.6968248e-17     7.0711055e-02
     1.2000000e+03     4.6968248e-17     9.8468356e-02
     1.4600000e+03     4.6968248e-17     1.3712375e-01
     1.9600000e+03     4.6968248e-17     1.9095396e-01
     2.8500000e+03     4.6968248e-17     2.6591206e-01
     1.0000000e+03     4.3531573e-17     5.0777502e-02
     1.0500000e+03     4.3531573e-17     7.0711055e-02
     1.2000000e+03     4.3531573e-17     9.8468356e-02
     1.4600000e+03     4.3531573e-17     1.3712375e-01
     1.9600000e+03     4.3531573e-17     1.9095396e-01
     2.8500000e+03     4.3531573e-17     2.6591206e-01
     1.0000000e+03     4.0346360e-17     5.0777502e-02
     1.1000000e+03     4.0346360e-17     7.0711055e-02
     1.2500000e+03     4.0346360e-17     9.8468356e-02
     1.5600000e+03     4.0346360e-17     1.3712375e-01
     2.1000000e+03     4.0346360e-17     1.9095396e-01
     1.0000000e+03     3.7394210e-17     5.0777502e-02
     1.1000000e+03     3.7394210e-17     7.0711055e-02
     1.2500000e+03     3.7394210e-17     9.8468356e-02
     1.5600000e+03     3.7394210e-17     1.3712375e-01
     2.1000000e+03     3.7394210e-17     1.9095396e-01
     1.0000000e+03     3.4658069e-17     5.0777502e-02
     1.1000000e+03     3.4658069e-17     7.0711055e-02
     1.3000000e+03     3.4658069e-17     9.8468356e-02
     1.6500000e+03     3.4658069e-17     1.3712375e-01
     2.3500000e+03     3.4658069e-17     1.9095396e-01
     1.0000000e+03     3.2122132e-17     5.0777502e-02
