txName: T2bbWW
constraint: [[['b','W']],[['b','W']]]
condition: None
conditionDescription: None
susyProcess: pp --> stop stop, stop  --> bottom W lsp
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS14021/efficienciesSRSL1b.png
dataUrl: https://twiki.cern.ch/twiki/bin/view/CMSPublic/PhysicsResultsSUS14021
source: CMS
validated: False
axes: [[x, y], [x, y]]
efficiencyMap: [[[[100*GeV,20*GeV],[100*GeV,20*GeV]],2.7278e-10],
[[[100*GeV,25*GeV],[100*GeV,25*GeV]],1.3653e-10],
[[[100*GeV,30*GeV],[100*GeV,30*GeV]],2.7205e-13],
[[[100*GeV,35*GeV],[100*GeV,35*GeV]],2.7205e-13],
[[[100*GeV,40*GeV],[100*GeV,40*GeV]],2.7205e-13],
[[[100*GeV,45*GeV],[100*GeV,45*GeV]],5.4819e-09],
[[[100*GeV,50*GeV],[100*GeV,50*GeV]],1.0964e-08],
[[[100*GeV,55*GeV],[100*GeV,55*GeV]],5.4819e-09],
[[[100*GeV,60*GeV],[100*GeV,60*GeV]],2.7205e-13],
[[[100*GeV,65*GeV],[100*GeV,65*GeV]],1.2919e-08],
[[[100*GeV,70*GeV],[100*GeV,70*GeV]],2.5838e-08],
[[[100*GeV,75*GeV],[100*GeV,75*GeV]],2.8585e-08],
[[[100*GeV,80*GeV],[100*GeV,80*GeV]],3.1332e-08],
[[[100*GeV,85*GeV],[100*GeV,85*GeV]],3.0842e-08],
[[[100*GeV,90*GeV],[100*GeV,90*GeV]],3.0352e-08],
[[[125*GeV,45*GeV],[125*GeV,45*GeV]],2.8143e-08],
[[[125*GeV,50*GeV],[125*GeV,50*GeV]],2.4681e-08],
[[[125*GeV,55*GeV],[125*GeV,55*GeV]],2.1218e-08],
[[[125*GeV,60*GeV],[125*GeV,60*GeV]],2.3224e-08],
[[[125*GeV,65*GeV],[125*GeV,65*GeV]],2.523e-08],
[[[125*GeV,70*GeV],[125*GeV,70*GeV]],1.5946e-08],
[[[125*GeV,75*GeV],[125*GeV,75*GeV]],6.6631e-09],
[[[125*GeV,80*GeV],[125*GeV,80*GeV]],2.8405e-08],
[[[125*GeV,85*GeV],[125*GeV,85*GeV]],5.0147e-08],
[[[125*GeV,90*GeV],[125*GeV,90*GeV]],8.5156e-08],
[[[125*GeV,95*GeV],[125*GeV,95*GeV]],1.2017e-07],
[[[125*GeV,100*GeV],[125*GeV,100*GeV]],1.259e-07],
[[[125*GeV,105*GeV],[125*GeV,105*GeV]],1.3164e-07],
[[[125*GeV,110*GeV],[125*GeV,110*GeV]],7.5609e-08],
[[[125*GeV,115*GeV],[125*GeV,115*GeV]],1.9581e-08],
[[[150*GeV,70*GeV],[150*GeV,70*GeV]],1.9787e-08],
[[[150*GeV,75*GeV],[150*GeV,75*GeV]],3.284e-08],
[[[150*GeV,80*GeV],[150*GeV,80*GeV]],4.5894e-08],
[[[150*GeV,85*GeV],[150*GeV,85*GeV]],3.66e-08],
[[[150*GeV,90*GeV],[150*GeV,90*GeV]],2.7307e-08],
[[[150*GeV,95*GeV],[150*GeV,95*GeV]],6.2657e-08],
[[[150*GeV,100*GeV],[150*GeV,100*GeV]],9.8007e-08],
[[[150*GeV,105*GeV],[150*GeV,105*GeV]],9.6071e-08],
[[[150*GeV,110*GeV],[150*GeV,110*GeV]],9.4135e-08],
[[[150*GeV,115*GeV],[150*GeV,115*GeV]],1.2628e-07],
[[[150*GeV,120*GeV],[150*GeV,120*GeV]],1.5843e-07],
[[[150*GeV,125*GeV],[150*GeV,125*GeV]],1.8253e-07],
[[[150*GeV,130*GeV],[150*GeV,130*GeV]],2.0663e-07],
[[[150*GeV,135*GeV],[150*GeV,135*GeV]],1.1769e-07],
[[[150*GeV,140*GeV],[150*GeV,140*GeV]],2.8744e-08],
[[[175*GeV,95*GeV],[175*GeV,95*GeV]],6.983e-08],
[[[175*GeV,100*GeV],[175*GeV,100*GeV]],6.6857e-08],
