# mchi1 (GeV), mchi1-mchi0 (GeV)
4.000000000000000000e+02,2.064814505542186041e+01
4.232577213546097710e+02,2.069691145815609801e+01
4.250000000000000000e+02,2.109328649760292507e+01
4.280435182410285506e+02,2.121740729641141598e+01
4.500000000000000000e+02,2.127329513440990283e+01
4.524926205356251785e+02,2.099704821425006074e+01
4.750000000000000000e+02,2.110433815822908699e+01
4.971342174603814783e+02,2.114631301584741152e+01
5.000000000000000000e+02,2.189584568088832128e+01
5.071257954887406072e+02,2.285031819549623577e+01
5.250000000000000000e+02,2.288361105058428180e+01
5.428355714934364187e+02,2.286577140262542684e+01
5.500000000000000000e+02,2.317178152310034989e+01
5.671041921855027113e+02,2.315832312579891550e+01
5.750000000000000000e+02,2.393888604691652233e+01
5.856223508962593769e+02,2.424894035850374507e+01
6.000000000000000000e+02,2.419066746765742693e+01
6.281717575601599037e+02,2.436564848796803062e+01
6.500000000000000000e+02,2.507212595404040201e+01
6.845051071871910153e+02,2.690102143743819951e+01
7.000000000000000000e+02,2.690102143743819951e+01
7.154948928128090984e+02,2.690102143743819951e+01
7.500000000000000000e+02,2.959062316571180418e+01
7.520468841714409791e+02,2.959062316571180418e+01
7.576010652902004949e+02,3.000000000000000000e+01
7.626647952848462637e+02,3.253295905696925416e+01
7.791332405805758299e+02,4.000000000000000000e+01
8.000000000000000000e+02,4.952864749489744867e+01
8.006080914325982576e+02,4.975676342696067422e+01
8.011267765048260117e+02,5.000000000000000000e+01
8.250000000000000000e+02,5.889360232859449695e+01
8.263337150209925994e+02,6.000000000000000000e+01
8.351884614888335818e+02,6.592461540446652180e+01
8.354995665391624016e+02,7.000000000000000000e+01
8.369979999857703206e+02,7.520080000569188883e+01
8.384497968043926903e+02,8.000000000000000000e+01
8.437013035971841646e+02,8.748052143887368004e+01
8.405808480304194745e+02,9.000000000000000000e+01
8.500000000000000000e+02,9.456855627711473744e+01
8.599685466097187145e+02,9.601258135611253408e+01
8.610024926501239406e+02,1.000000000000000000e+02
8.619443784760769631e+02,1.047777513904308080e+02
8.500000000000000000e+02,1.093996650115665972e+02
8.442390775011945152e+02,1.100000000000000000e+02
8.489885463707308872e+02,1.104045814517076423e+02
8.424499676620980608e+02,1.200000000000000000e+02
8.500000000000000000e+02,1.249768065899971248e+02
8.605057275243855202e+02,1.257977089902458090e+02
8.586091171435632532e+02,1.300000000000000000e+02
8.591131745315021817e+02,1.336452698126008727e+02
8.622746636300871614e+02,1.400000000000000000e+02
8.643033127551797179e+02,1.442786748979281128e+02
8.750000000000000000e+02,1.448400061717442497e+02
8.919056832249394802e+02,1.467622732899757807e+02
9.000000000000000000e+02,1.473833741099505517e+02
9.041381215070530288e+02,1.483447513971787544e+02
9.047541158334194051e+02,1.500000000000000000e+02
9.098670011396029622e+02,1.598670011396029054e+02
9.154519215280461140e+02,1.750000000000000000e+02
9.180035080851729390e+02,1.819964919148271179e+02
9.243362727372424388e+02,2.000000000000000000e+02
