#            mhscp              width               c000               c100               c200               c300
     4.5000000e+01      0.0000000e+00      4.1372081e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-22      4.1372061e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-20      4.1370084e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-19      4.1352117e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      5.0000000e-19      4.1272366e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-18      4.1172908e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.8000000e-18      4.1014307e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      3.2000000e-18      4.0738322e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      5.6000000e-18      4.0269805e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-17      3.9425715e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.5000000e-17      3.8489352e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      2.2000000e-17      3.7218008e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      3.2000000e-17      3.5478661e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      4.6000000e-17      3.3187013e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      6.8000000e-17      2.9896684e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-16      2.5710799e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.5000000e-16      2.0356007e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      2.2000000e-16      1.4732529e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      3.2000000e-16      9.3352956e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      4.6000000e-16      4.9676093e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      6.8000000e-16      1.8662724e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-15      4.5779153e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.5000000e-15      5.2874079e-11      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      2.2000000e-15      2.7773869e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      3.2000000e-15      4.7655740e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      5.6000000e-15      4.2499697e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-14      2.3973321e-25      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.8000000e-14      1.7239952e-38      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      3.7000000e-14      1.0546316e-69      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-13      3.3568068e-173      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      0.0000000e+00      2.5407508e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-22      2.5407434e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-20      2.5400099e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-19      2.5333512e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.0000000e-19      2.5039792e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-18      2.4677682e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.8000000e-18      2.4109752e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-18      2.3148844e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.6000000e-18      2.1594678e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-17      1.9026184e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5000000e-17      1.6498224e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.2000000e-17      1.3549304e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-17      1.0291070e-06      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.6000000e-17      7.1075029e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      6.8000000e-17      4.1560676e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-16      2.1608298e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5000000e-16      1.0756885e-07      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.2000000e-16      6.1871133e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-16      3.5704738e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      4.6000000e-16      1.7610425e-08      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      6.8000000e-16      5.9564685e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-15      1.2787745e-09      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.5000000e-15      1.2416959e-10      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      2.2000000e-15      5.2800388e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.2000000e-15      6.6068155e-14      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      5.6000000e-15      2.3377440e-18      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-14      2.2544898e-26      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.8000000e-14      8.8052333e-41      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      3.7000000e-14      8.8615419e-75      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-13      3.3195966e-187      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e-12      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e+06      0.0000000e+00      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      0.0000000e+00      2.5786788e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e-22      2.5786704e-04      0.0000000e+00      0.0000000e+00      0.0000000e+00
