#            mhscp              width               c000
     4.5000000e+01      0.0000000e+00      1.2828787e-08
     4.5000000e+01      1.0000000e-22      1.2828782e-08
     4.5000000e+01      1.0000000e-20      1.2828244e-08
     4.5000000e+01      1.0000000e-19      1.2823354e-08
     4.5000000e+01      5.0000000e-19      1.2801642e-08
     4.5000000e+01      1.0000000e-18      1.2774555e-08
     4.5000000e+01      1.8000000e-18      1.2731337e-08
     4.5000000e+01      3.2000000e-18      1.2656060e-08
     4.5000000e+01      5.6000000e-18      1.2528060e-08
     4.5000000e+01      1.0000000e-17      1.2296785e-08
     4.5000000e+01      1.5000000e-17      1.2039211e-08
     4.5000000e+01      2.2000000e-17      1.1687748e-08
     4.5000000e+01      3.2000000e-17      1.1203584e-08
     4.5000000e+01      4.6000000e-17      1.0559634e-08
     4.5000000e+01      6.8000000e-17      9.6224706e-09
     4.5000000e+01      1.0000000e-16      8.4073037e-09
     4.5000000e+01      1.5000000e-16      6.8113708e-09
     4.5000000e+01      2.2000000e-16      5.0772123e-09
     4.5000000e+01      3.2000000e-16      3.3426790e-09
     4.5000000e+01      4.6000000e-16      1.8683206e-09
     4.5000000e+01      6.8000000e-16      7.5488773e-10
     4.5000000e+01      1.0000000e-15      2.0535936e-10
     4.5000000e+01      1.5000000e-15      2.7798173e-11
     4.5000000e+01      2.2000000e-15      1.7863958e-12
     4.5000000e+01      3.2000000e-15      3.7988759e-14
     4.5000000e+01      5.6000000e-15      4.1905638e-18
     4.5000000e+01      1.0000000e-14      2.5181785e-25
     4.5000000e+01      1.8000000e-14      1.8886450e-38
     4.5000000e+01      3.7000000e-14      1.2721362e-69
     4.5000000e+01      1.0000000e-13      5.5720509e-173
     4.5000000e+01      1.0000000e-12      0.0000000e+00
     4.5000000e+01      1.0000000e+06      0.0000000e+00
     5.0000000e+01      0.0000000e+00      8.8590105e-07
     5.0000000e+01      1.0000000e-22      8.8589856e-07
     5.0000000e+01      1.0000000e-20      8.8565191e-07
     5.0000000e+01      1.0000000e-19      8.8341310e-07
     5.0000000e+01      5.0000000e-19      8.7353711e-07
     5.0000000e+01      1.0000000e-18      8.6136089e-07
     5.0000000e+01      1.8000000e-18      8.4226217e-07
     5.0000000e+01      3.2000000e-18      8.0994319e-07
     5.0000000e+01      5.6000000e-18      7.5765620e-07
     5.0000000e+01      1.0000000e-17      6.7119683e-07
     5.0000000e+01      1.5000000e-17      5.8602774e-07
     5.0000000e+01      2.2000000e-17      4.8654436e-07
     5.0000000e+01      3.2000000e-17      3.7636686e-07
     5.0000000e+01      4.6000000e-17      2.6822888e-07
     5.0000000e+01      6.8000000e-17      1.6696126e-07
     5.0000000e+01      1.0000000e-16      9.6695013e-08
     5.0000000e+01      1.5000000e-16      5.5503605e-08
     5.0000000e+01      2.2000000e-16      3.4788265e-08
     5.0000000e+01      3.2000000e-16      2.0714974e-08
     5.0000000e+01      4.6000000e-16      1.0394397e-08
     5.0000000e+01      6.8000000e-16      3.5802794e-09
     5.0000000e+01      1.0000000e-15      7.8325719e-10
