txName: T2tt
constraint: [[['t']],[['t']]]
condition: None
conditionDescription: None
susyProcess: pp --> stop stop, stop  --> top lsp
figureUrl: http://cms-results.web.cern.ch/cms-results/public-results/superseded/SUS-16-050/CMS-PAS-SUS-16-050_Figure_007.png
dataUrl: http://cms-results.web.cern.ch/cms-results/public-results/superseded/SUS-16-050/CMS-PAS-SUS-16-050_Figure_007.root
source: CMS
validated: True
axes: [[x, y], [x, y]]
upperLimits: [[[[2.1250E+02*GeV,0.0000E+00*GeV],[2.1250E+02*GeV,0.0000E+00*GeV]],2.7152E+02*pb],
[[[2.2500E+02*GeV,0.0000E+00*GeV],[2.2500E+02*GeV,0.0000E+00*GeV]],1.1142E+02*pb],
[[[2.2500E+02*GeV,1.2500E+01*GeV],[2.2500E+02*GeV,1.2500E+01*GeV]],1.4034E+02*pb],
[[[2.3750E+02*GeV,0.0000E+00*GeV],[2.3750E+02*GeV,0.0000E+00*GeV]],5.9670E+01*pb],
[[[2.3750E+02*GeV,1.2500E+01*GeV],[2.3750E+02*GeV,1.2500E+01*GeV]],5.9569E+01*pb],
[[[2.3750E+02*GeV,2.5000E+01*GeV],[2.3750E+02*GeV,2.5000E+01*GeV]],6.3013E+01*pb],
[[[2.5000E+02*GeV,0.0000E+00*GeV],[2.5000E+02*GeV,0.0000E+00*GeV]],8.0247E+00*pb],
[[[2.5000E+02*GeV,1.2500E+01*GeV],[2.5000E+02*GeV,1.2500E+01*GeV]],2.0223E+01*pb],
[[[2.5000E+02*GeV,2.5000E+01*GeV],[2.5000E+02*GeV,2.5000E+01*GeV]],7.7223E+00*pb],
[[[2.5000E+02*GeV,3.7500E+01*GeV],[2.5000E+02*GeV,3.7500E+01*GeV]],2.4945E+01*pb],
[[[2.6250E+02*GeV,0.0000E+00*GeV],[2.6250E+02*GeV,0.0000E+00*GeV]],5.3302E+00*pb],
[[[2.6250E+02*GeV,1.2500E+01*GeV],[2.6250E+02*GeV,1.2500E+01*GeV]],5.5758E+00*pb],
[[[2.6250E+02*GeV,2.5000E+01*GeV],[2.6250E+02*GeV,2.5000E+01*GeV]],5.5575E+00*pb],
[[[2.6250E+02*GeV,3.7500E+01*GeV],[2.6250E+02*GeV,3.7500E+01*GeV]],5.8050E+00*pb],
[[[2.6250E+02*GeV,5.0000E+01*GeV],[2.6250E+02*GeV,5.0000E+01*GeV]],1.0771E+01*pb],
[[[2.7500E+02*GeV,0.0000E+00*GeV],[2.7500E+02*GeV,0.0000E+00*GeV]],2.3902E+00*pb],
[[[2.7500E+02*GeV,1.2500E+01*GeV],[2.7500E+02*GeV,1.2500E+01*GeV]],3.2265E+00*pb],
[[[2.7500E+02*GeV,2.5000E+01*GeV],[2.7500E+02*GeV,2.5000E+01*GeV]],3.1269E+00*pb],
[[[2.7500E+02*GeV,3.7500E+01*GeV],[2.7500E+02*GeV,3.7500E+01*GeV]],3.7798E+00*pb],
[[[2.7500E+02*GeV,5.0000E+01*GeV],[2.7500E+02*GeV,5.0000E+01*GeV]],3.8877E+00*pb],
[[[2.7500E+02*GeV,6.2500E+01*GeV],[2.7500E+02*GeV,6.2500E+01*GeV]],8.2487E+00*pb],
[[[2.8750E+02*GeV,0.0000E+00*GeV],[2.8750E+02*GeV,0.0000E+00*GeV]],1.8220E+00*pb],
[[[2.8750E+02*GeV,1.2500E+01*GeV],[2.8750E+02*GeV,1.2500E+01*GeV]],1.8129E+00*pb],
[[[2.8750E+02*GeV,2.5000E+01*GeV],[2.8750E+02*GeV,2.5000E+01*GeV]],2.1188E+00*pb],
