# width_GeV,Observed_limit_GeV
6.5234581e-14,1.4314100e+03
6.3141934e-14,1.4375000e+03
5.5293983e-14,1.4625000e+03
5.2989263e-14,1.4707900e+03
4.9088287e-14,1.4875000e+03
4.4099928e-14,1.5125000e+03
4.3041548e-14,1.5184400e+03
3.9878414e-14,1.5375000e+03
3.6292583e-14,1.5625000e+03
3.4962130e-14,1.5725900e+03
3.2989663e-14,1.5875000e+03
2.9897018e-14,1.6125000e+03
2.8399316e-14,1.6248800e+03
2.6774901e-14,1.6375000e+03
2.3599232e-14,1.6625000e+03
2.3068421e-14,1.6666800e+03
2.0173343e-14,1.6875000e+03
1.8738200e-14,1.6982600e+03
1.6660111e-14,1.7125000e+03
1.5220464e-14,1.7232500e+03
1.3216847e-14,1.7375000e+03
1.2363399e-14,1.7444300e+03
1.0152147e-14,1.7625000e+03
1.0042640e-14,1.7635600e+03
8.1575149e-15,1.7815700e+03
7.5345597e-15,1.7875000e+03
6.6260984e-15,1.7976600e+03
5.3823245e-15,1.8102300e+03
5.0647951e-15,1.8125000e+03
4.3719771e-15,1.8181000e+03
3.5512797e-15,1.8207600e+03
2.8846483e-15,1.8187700e+03
2.3431542e-15,1.8132000e+03
2.3011338e-15,1.8125000e+03
1.9033071e-15,1.8054400e+03
1.5460263e-15,1.7963200e+03
1.2860086e-15,1.7875000e+03
1.2558098e-15,1.7864100e+03
1.0200745e-15,1.7763800e+03
8.2859055e-16,1.7656600e+03
7.8374048e-16,1.7625000e+03
6.7305068e-16,1.7537800e+03
5.4670819e-16,1.7391300e+03
5.3651946e-16,1.7375000e+03
4.4408170e-16,1.7199600e+03
4.1605800e-16,1.7125000e+03
3.6072054e-16,1.6948200e+03
3.4254440e-16,1.6875000e+03
2.9300760e-16,1.6640000e+03
2.9031928e-16,1.6625000e+03
2.4983419e-16,1.6375000e+03
2.3800544e-16,1.6293900e+03
2.1628275e-16,1.6125000e+03
1.9332805e-16,1.5933400e+03
