# mgluino (GeV), width (GeV), limit (pb)
1400.000000,2.19404e-13,0.038932
1400.000000,6.58212e-14,0.001642
1400.000000,1.64553e-14,0.000240
1400.000000,6.58212e-15,0.000171
1400.000000,1.64553e-15,0.000188
1400.000000,6.58212e-16,0.000248
1400.000000,2.19404e-16,0.000447
1400.000000,6.58212e-17,0.001214
1400.000000,2.68242e-17,0.002414
1400.000000,2.19404e-17,0.002799
1400.000000,1.31642e-17,0.004345
2000.000000,2.19404e-13,0.135435
2000.000000,6.58212e-14,0.001969
2000.000000,1.64553e-14,0.000239
2000.000000,6.58212e-15,0.000156
2000.000000,6.58212e-16,0.000210
2000.000000,6.58212e-17,0.000854
2000.000000,2.68242e-17,0.001732
2000.000000,2.19404e-17,0.002118
2000.000000,1.31642e-17,0.004169
