#        width_GeV    Gluino_mass_GeV  Observed_limit_fb
     6.5820000e-16      1.1000000e+03      2.9100000e-01
     2.6863208e-15      1.1000000e+03      1.9110000e-01
     1.0684590e-15      1.1000000e+03      2.3980000e-01
     4.2516536e-16      1.1000000e+03      3.5540000e-01
     1.6453484e-15      1.1000000e+03      2.1110000e-01
     1.9708695e-15      1.1000000e+03      2.0140000e-01
     7.8544880e-16      1.1000000e+03      2.6760000e-01
     3.1264960e-16      1.1000000e+03      4.3060000e-01
     3.6421504e-17      1.3000000e+03      2.2960000e+00
     2.6813770e-17      1.3000000e+03      2.8000000e+00
     2.1946126e-17      1.3000000e+03      3.2700000e+00
     2.6863208e-15      1.4000000e+03      1.7360000e-01
     1.9708695e-15      1.4000000e+03      1.7920000e-01
     1.6453484e-15      1.4000000e+03      1.8820000e-01
     1.0684590e-15      1.4000000e+03      2.1290000e-01
     4.2516536e-16      1.4000000e+03      2.8560000e-01
     3.1264960e-16      1.4000000e+03      3.4960000e-01
     2.3006888e-16      1.4000000e+03      4.3430000e-01
     1.6926138e-16      1.4000000e+03      5.5820000e-01
     1.2449671e-16      1.4000000e+03      7.3750000e-01
     9.1592071e-17      1.4000000e+03      8.5420000e-01
     6.7368655e-17      1.4000000e+03      1.1700000e+00
     4.9585863e-17      1.4000000e+03      1.5950000e+00
     3.6421504e-17      1.4000000e+03      2.1710000e+00
     2.6813770e-17      1.4000000e+03      2.4100000e+00
     2.1946126e-17      1.4000000e+03      2.7900000e+00
     1.0684590e-15      1.5000000e+03      1.9190000e-01
     7.8544880e-16      1.5000000e+03      2.1600000e-01
     6.5820000e-16      1.5000000e+03      2.3200000e-01
     4.2516536e-16      1.5000000e+03      2.7900000e-01
     3.1264960e-16      1.5000000e+03      3.3440000e-01
     2.3006888e-16      1.5000000e+03      4.2290000e-01
     1.6926138e-16      1.5000000e+03      5.4540000e-01
     1.2449671e-16      1.5000000e+03      6.9250000e-01
     9.1592071e-17      1.5000000e+03      9.0520000e-01
     6.7368655e-17      1.5000000e+03      1.1890000e+00
     4.9585863e-17      1.5000000e+03      1.5470000e+00
     3.6421504e-17      1.5000000e+03      1.9390000e+00
     2.6813770e-17      1.5000000e+03      2.6800000e+00
     2.1946126e-17      1.5000000e+03      3.1410000e+00
     1.0684590e-15      1.6000000e+03      1.8920000e-01
     7.8544880e-16      1.6000000e+03      2.1010000e-01
     6.5820000e-16      1.6000000e+03      2.2470000e-01
     4.2516536e-16      1.6000000e+03      2.7530000e-01
     3.1264960e-16      1.6000000e+03      3.2140000e-01
     2.3006888e-16      1.6000000e+03      3.8320000e-01
     1.6926138e-16      1.6000000e+03      4.6920000e-01
     2.3006888e-16      1.1000000e+03      5.4140000e-01
     1.6926138e-16      1.1000000e+03      6.8320000e-01
     1.2449671e-16      1.1000000e+03      8.9870000e-01
     9.1592071e-17      1.1000000e+03      1.0950000e+00
     6.7368655e-17      1.1000000e+03      1.4100000e+00
     4.9585863e-17      1.1000000e+03      1.8710000e+00
     3.6421504e-17      1.1000000e+03      2.6020000e+00
     2.6813770e-17      1.1000000e+03      2.7300000e+00
     2.1946126e-17      1.1000000e+03      3.0810000e+00
     2.6863208e-15      1.2000000e+03      1.8910000e-01
     1.9708695e-15      1.2000000e+03      1.9800000e-01
     1.6453484e-15      1.2000000e+03      2.0590000e-01
     1.0684590e-15      1.2000000e+03      2.3650000e-01
     7.8544880e-16      1.2000000e+03      2.4650000e-01
     6.5820000e-16      1.2000000e+03      2.7020000e-01
     4.2516536e-16      1.2000000e+03      3.4480000e-01
     3.1264960e-16      1.2000000e+03      3.8880000e-01
     2.3006888e-16      1.2000000e+03      4.8140000e-01
     1.6926138e-16      1.2000000e+03      6.1940000e-01
     1.2449671e-16      1.2000000e+03      8.0260000e-01
     9.1592071e-17      1.2000000e+03      1.0610000e+00
     6.7368655e-17      1.2000000e+03      1.4490000e+00
     4.9585863e-17      1.2000000e+03      1.8790000e+00
